q, p, r, n, CN, PCN, gens
29, 29, 1, 2, 784*, 192, (1 1 1)*: 28 (2 1 1)*: 28
29, 29, 1, 3, 23520*, 9180, (1 1 1)*: 28 (3 1 1)*: 840
29, 29, 1, 4, 614656*, 139776, (1 1 1)*: 28 (2 1 1)*: 28 (4 1 1)*: 784
29, 29, 1, 5, 19756800*, 8467200, (1 1 1)*: 28 (5 1 1)*: 705600
29, 29, 1, 6, 551873280, 114307056, (1 1 1)*: 28 (2 1 1)*: 28 (3 2 1): 703920
29, 29, 1, 7, 13492928512*, 5782683648, (1 1 1)*: 28 (7 1 1)*: 481890304
841, 29, 2, 2, 705600*, 161280, (1 1 1)*: 840 (2 1 1)*: 840
841, 29, 2, 3, 592704000*, 122760576, (1 1 1)*: 840 (3 1 1)*: 705600
