q, p, r, n, CN, PCN, gens
13, 13, 1, 2, 144*, 48, (1 1 1)*: 12 (2 1 1)*: 12
13, 13, 1, 3, 1728*, 576, (1 1 1)*: 12 (3 1 1)*: 144
13, 13, 1, 4, 20736*, 4352, (1 1 1)*: 12 (2 1 1)*: 12 (4 1 1)*: 144
13, 13, 1, 5, 342720*, 114240, (1 1 1)*: 12 (5 1 1)*: 28560
13, 13, 1, 6, 2985984*, 834048, (1 1 1)*: 12 (2 1 1)*: 12 (3 1 1)*: 144 (6 1 1)*: 144
13, 13, 1, 7, 56899584*, 18966528, (1 1 1)*: 12 (7 1 1)*: 4741632
169, 13, 2, 2, 28224*, 6144, (1 1 1)*: 168 (2 1 1)*: 168
169, 13, 2, 3, 4741632*, 1325376, (1 1 1)*: 168 (3 1 1)*: 28224
169, 13, 2, 4, 796594176*, 171343872, (1 1 1)*: 168 (2 1 1)*: 168 (4 1 1)*: 28224
