q, p, r, n, CN, PCN, gens
17, 17, 1, 2, 256*, 96, (1 1 1)*: 16 (2 1 1)*: 16
17, 17, 1, 3, 4608*, 2304, (1 1 1)*: 16 (3 1 1)*: 288
17, 17, 1, 4, 65536*, 16896, (1 1 1)*: 16 (2 1 1)*: 16 (4 1 1)*: 256
17, 17, 1, 5, 1336320*, 668160, (1 1 1)*: 16 (5 1 1)*: 83520
17, 17, 1, 6, 21086208, 5546304, (1 1 1)*: 16 (2 1 1)*: 16 (3 2 1): 82368
17, 17, 1, 7, 386201088*, 193100544, (1 1 1)*: 16 (7 1 1)*: 24137568
289, 17, 2, 2, 82944*, 21504, (1 1 1)*: 288 (2 1 1)*: 288
289, 17, 2, 3, 23887872*, 6283008, (1 1 1)*: 288 (3 1 1)*: 82944
