p,r,mipo
2,1,0:1 1:1 10:1 23:1 24:1 
2,2,0:1 1:1 40:1 47:1 48:1 
2,3,0:1 1:1 4:1 71:1 72:1 
2,4,0:1 1:1 10:1 95:1 96:1 
2,5,0:1 2:1 49:1 119:1 120:1 
2,6,0:1 2:1 30:1 143:1 144:1 
2,7,0:1 2:1 61:1 167:1 168:1 
2,8,0:1 2:1 38:1 191:1 192:1 
2,9,0:1 1:1 19:1 215:1 216:1 
2,10,0:1 2:1 9:1 239:1 240:1 
2,11,0:1 2:1 97:1 263:1 264:1 
2,12,0:1 2:1 85:1 287:1 288:1 
2,13,0:1 2:1 23:1 311:1 312:1 
2,14,0:1 2:1 11:1 335:1 336:1 
2,15,0:1 5:1 44:1 359:1 360:1 
2,16,0:1 2:1 245:1 383:1 384:1 
2,17,0:1 1:1 67:1 407:1 408:1 
2,18,0:1 2:1 162:1 431:1 432:1 
3,1,0:2 1:2 7:2 23:1 24:1 
3,2,0:2 2:2 26:1 47:1 48:1 
3,3,0:2 1:2 27:2 71:1 72:1 
3,4,0:2 2:1 15:2 95:1 96:1 
3,5,0:2 2:2 64:1 119:1 120:1 
3,6,0:2 1:1 65:2 143:1 144:1 
3,7,0:2 1:2 41:1 167:1 168:1 
3,8,0:2 2:1 7:2 191:1 192:1 
3,9,0:2 175:1 215:1 216:1 
3,10,0:2 1:2 17:1 239:1 240:1 
3,11,0:2 1:2 23:2 263:1 264:1 
5,1,0:2 1:1 2:2 23:1 24:1 
5,2,0:3 18:4 47:1 48:1 
5,3,0:3 17:2 71:1 72:1 
5,4,0:3 6:3 95:1 96:1 
5,5,0:2 77:3 119:1 120:1 
5,6,0:2 67:4 143:1 144:1 
5,7,0:3 36:1 167:1 168:1 
7,1,0:3 1:2 2:5 23:1 24:1 
7,2,0:5 10:1 47:1 48:1 
7,3,0:5 3:3 71:1 72:1 
7,4,0:5 2:6 95:1 96:1 
7,5,0:3 4:1 119:1 120:1 
7,6,0:5 4:4 143:1 144:1 
11,1,0:2 23:4 24:1 
11,2,0:8 5:3 47:1 48:1 
11,3,0:8 2:4 71:1 72:1 
11,4,0:2 3:8 95:1 96:1 
11,5,0:6 6:8 119:1 120:1 
13,1,0:11 3:6 23:1 24:1 
13,2,0:2 1:1 47:1 48:1 
13,3,0:7 4:2 71:1 72:1 
13,4,0:2 4:4 95:1 96:1 
17,1,0:10 1:9 23:1 24:1 
17,2,0:3 3:2 47:1 48:1 
17,3,0:3 2:3 71:1 72:1 
17,4,0:7 1:5 95:1 96:1 
19,1,0:15 1:12 23:1 24:1 
19,2,0:10 2:6 47:1 48:1 
19,3,0:10 1:4 71:1 72:1 
19,4,0:15 1:3 95:1 96:1 
23,1,0:5 23:2 24:1 
23,2,0:19 2:1 47:1 48:1 
23,3,0:11 1:7 71:1 72:1 
23,4,0:20 1:3 95:1 96:1 
29,1,0:8 23:6 24:1 
29,2,0:15 1:5 47:1 48:1 
29,3,0:21 2:24 71:1 72:1 
31,1,0:11 1:6 23:1 24:1 
31,2,0:21 1:4 47:1 48:1 
31,3,0:22 2:26 71:1 72:1 
37,1,0:17 1:8 23:1 24:1 
37,2,0:20 1:12 47:1 48:1 
37,3,0:18 1:1 71:1 72:1 
41,1,0:6 23:1 24:1 
41,2,0:35 1:3 47:1 48:1 
41,3,0:6 1:9 71:1 72:1 
43,1,0:12 1:1 23:1 24:1 
43,2,0:3 47:3 48:1 
43,3,0:5 2:13 71:1 72:1 
47,1,0:23 1:1 23:1 24:1 
47,2,0:5 47:7 48:1 
47,3,0:40 1:1 71:1 72:1 
53,1,0:19 1:1 23:1 24:1 
