q,p,r,n,cn,pcn,gens
5,5,1,2,16,8,(1 1 1): 4 (2 1 1): 4
5,5,1,3,96,48,(1 1 1): 4 (3 1 1): 24
5,5,1,4,256,64,(1 1 1): 4 (2 1 1): 4 (4 1 1): 16
5,5,1,5,2500,1130,(1 1 5): 2500
5,5,1,6,8448,2376,(1 1 1): 4 (2 1 1): 4 (3 2 1): 528
5,5,1,7,62496,31248,(7 1 1): 15624 (1 1 1): 4
5,5,1,8,147456,44928,(8 1 1): 576 (1 1 1): 4 (2 1 1): 4 (4 1 1): 16
5,5,1,9,1499904,687132,(1 1 1): 4 (3 1 1): 24 (9 1 1): 15624
5,5,1,10,6250000,1862760,(1 1 5): 2500 (2 1 5): 2500
5,5,1,11,39037504,19518752,(1 1 1): 4 (11 1 1): 9759376
5,5,1,12,71368704,18178944,(12 1 1): 528 (1 1 1): 4 (2 1 1): 4 (4 1 1): 16 (3 2 1): 528
