p,r,mipo
2,1,0:1 2:1 16:1 19:1 20:1 
2,2,0:1 2:1 34:1 39:1 40:1 
2,3,0:1 59:1 60:1 
2,4,0:1 1:1 12:1 79:1 80:1 
2,5,0:1 1:1 8:1 99:1 100:1 
2,6,0:1 2:1 49:1 119:1 120:1 
2,7,0:1 2:1 121:1 139:1 140:1 
2,8,0:1 1:1 72:1 159:1 160:1 
2,9,0:1 2:1 12:1 179:1 180:1 
2,10,0:1 2:1 40:1 199:1 200:1 
2,11,0:1 1:1 27:1 219:1 220:1 
2,12,0:1 2:1 9:1 239:1 240:1 
2,13,0:1 1:1 27:1 259:1 260:1 
2,14,0:1 1:1 43:1 279:1 280:1 
2,15,0:1 2:1 65:1 299:1 300:1 
2,16,0:1 1:1 66:1 319:1 320:1 
2,17,0:1 1:1 85:1 339:1 340:1 
3,1,0:2 3:1 19:1 20:1 
3,2,0:2 15:1 39:1 40:1 
3,3,0:2 55:1 59:1 60:1 
3,4,0:2 1:2 17:1 79:1 80:1 
3,5,0:2 27:1 99:1 100:1 
3,6,0:2 2:2 64:1 119:1 120:1 
3,7,0:2 23:1 139:1 140:1 
3,8,0:2 1:1 47:2 159:1 160:1 
3,9,0:2 1:1 67:2 179:1 180:1 
3,10,0:2 1:2 19:2 199:1 200:1 
5,1,0:3 8:1 19:1 20:1 
5,2,0:3 17:1 39:1 40:1 
5,3,0:3 54:3 59:1 60:1 
5,4,0:2 53:3 79:1 80:1 
5,5,0:2 22:2 99:1 100:1 
5,6,0:2 77:3 119:1 120:1 
5,7,0:2 13:3 139:1 140:1 
7,1,0:3 3:6 19:2 20:1 
7,2,0:3 39:1 40:1 
7,3,0:3 10:1 59:1 60:1 
7,4,0:3 9:5 79:2 80:1 
7,5,0:5 8:6 99:1 100:1 
7,6,0:3 4:1 119:1 120:1 
11,1,0:2 1:8 19:1 20:1 
11,2,0:2 4:2 39:1 40:1 
11,3,0:2 11:10 59:1 60:1 
11,4,0:2 1:3 79:1 80:1 
13,1,0:2 2:7 19:1 20:1 
13,2,0:6 39:1 40:1 
13,3,0:6 1:7 59:1 60:1 
13,4,0:6 4:2 79:1 80:1 
17,1,0:11 1:6 19:1 20:1 
17,2,0:10 39:1 40:1 
17,3,0:7 2:6 59:1 60:1 
17,4,0:3 5:7 79:1 80:1 
19,1,0:2 19:1 20:1 
19,2,0:3 2:5 39:1 40:1 
19,3,0:3 1:9 59:1 60:1 
19,4,0:3 79:1 80:1 
23,1,0:11 1:12 19:1 20:1 
23,2,0:7 39:1 40:1 
