p,r,mipo
563,1,0:18 11:1 12:1 
569,1,0:23 11:1 12:1 
571,1,0:53 11:1 12:1 
577,1,0:45 11:1 12:1 
587,1,0:102 11:1 12:1 
593,1,0:26 11:1 12:1 
599,1,0:7 11:1 12:1 
601,1,0:58 11:1 12:1 
607,1,0:39 11:1 12:1 
613,1,0:150 11:1 12:1 
617,1,0:91 11:1 12:1 
619,1,0:55 11:1 12:1 
631,1,0:54 11:1 12:1 
641,1,0:17 11:1 12:1 
643,1,0:14 11:1 12:1 
647,1,0:142 11:1 12:1 
653,1,0:125 11:1 12:1 
659,1,0:6 11:1 12:1 
661,1,0:102 11:1 12:1 
673,1,0:132 11:1 12:1 
677,1,0:29 11:1 12:1 
683,1,0:21 11:1 12:1 
691,1,0:267 11:1 12:1 
701,1,0:14 11:1 12:1 
709,1,0:14 11:1 12:1 
719,1,0:11 11:1 12:1 
727,1,0:124 11:1 12:1 
733,1,0:18 11:1 12:1 
739,1,0:117 11:1 12:1 
743,1,0:87 11:1 12:1 
751,1,0:158 11:1 12:1 
757,1,0:14 11:1 12:1 
761,1,0:126 11:1 12:1 
769,1,0:29 11:1 12:1 
773,1,0:41 11:1 12:1 
787,1,0:69 11:1 12:1 
797,1,0:12 11:1 12:1 
809,1,0:110 11:1 12:1 
811,1,0:33 11:1 12:1 
821,1,0:66 11:1 12:1 
823,1,0:7 11:1 12:1 
827,1,0:37 11:1 12:1 
829,1,0:21 11:1 12:1 
839,1,0:71 11:1 12:1 
853,1,0:87 11:1 12:1 
857,1,0:3 11:1 12:1 
859,1,0:29 11:1 12:1 
863,1,0:11 11:1 12:1 
877,1,0:42 11:1 12:1 
881,1,0:14 11:1 12:1 
883,1,0:34 11:1 12:1 
887,1,0:235 11:1 12:1 
907,1,0:5 11:1 12:1 
911,1,0:110 11:1 12:1 
919,1,0:19 11:1 12:1 
929,1,0:63 11:1 12:1 
937,1,0:130 11:1 12:1 
941,1,0:82 11:1 12:1 
947,1,0:57 11:1 12:1 
953,1,0:48 11:1 12:1 
967,1,0:38 11:1 12:1 
971,1,0:18 11:1 12:1 
977,1,0:13 11:1 12:1 
983,1,0:61 11:1 12:1 
991,1,0:12 11:1 12:1 
997,1,0:47 11:1 12:1 
1009,1,0:31 11:1 12:1 
1013,1,0:5 11:1 12:1 
1019,1,0:62 11:1 12:1 
1021,1,0:35 11:1 12:1 
1031,1,0:84 11:1 12:1 
1033,1,0:30 11:1 12:1 
1039,1,0:88 11:1 12:1 
