p,	poly,	modulus
2,	x^18 + x^17 + x^11 + a,	a^2 + a + 1
3,	x^18 + x^17 + x^2 + a + 2,	a^2 + 2*a + 2
5,	x^18 + x^17 + 4*x + a,	a^2 + 4*a + 2
7,	x^18 + x^17 + 3*a + 1,	a^2 + 6*a + 3
11,	x^18 + x^17 + 2*x + 3*a,	a^2 + 7*a + 2
13,	x^18 + x^17 + a,	a^2 + 12*a + 2
17,	x^18 + x^17 + a + 4,	a^2 + 16*a + 3
19,	x^18 + x^17 + 4*a + 12,	a^2 + 18*a + 2
23,	x^18 + x^17 + a + 21,	a^2 + 21*a + 5
29,	x^18 + x^17 + 2*a,	a^2 + 24*a + 2
31,	x^18 + x^17 + 10*a + 7,	a^2 + 29*a + 3
37,	x^18 + x^17 + 2*a + 25,	a^2 + 33*a + 2
41,	x^18 + x^17 + 8*a,	a^2 + 38*a + 6
43,	x^18 + x^17 + a + 30,	a^2 + 42*a + 3
47,	x^18 + x^17 + a + 14,	a^2 + 45*a + 5
53,	x^18 + x^17 + a + 32,	a^2 + 49*a + 2
59,	x^18 + x^17 + a + 6,	a^2 + 58*a + 2
61,	x^18 + x^17 + 4*a + 2,	a^2 + 60*a + 2
67,	x^18 + x^17 + 2*a + 65,	a^2 + 63*a + 2
71,	x^18 + x^17 + 2*a + 43,	a^2 + 69*a + 7
73,	x^18 + x^17 + 2*a + 63,	a^2 + 70*a + 5
79,	x^18 + x^17 + a + 21,	a^2 + 78*a + 3
83,	x^18 + x^17 + a + 38,	a^2 + 82*a + 2
89,	x^18 + x^17 + a + 31,	a^2 + 82*a + 3
97,	x^18 + x^17 + 2*a + 63,	a^2 + 96*a + 5
101,	x^18 + x^17 + a + 54,	a^2 + 97*a + 2
103,	x^18 + x^17 + a + 102,	a^2 + 102*a + 5
107,	x^18 + x^17 + a,	a^2 + 103*a + 2
109,	x^18 + x^17 + a + 99,	a^2 + 108*a + 6
113,	x^18 + x^17 + a,	a^2 + 101*a + 3
127,	x^18 + x^17 + a + 33,	a^2 + 126*a + 3
131,	x^18 + x^17 + 3*a + 118,	a^2 + 127*a + 2
137,	x^18 + x^17 + 2*a + 62,	a^2 + 131*a + 3
139,	x^18 + x^17 + a + 72,	a^2 + 138*a + 2
149,	x^18 + x^17 + a + 122,	a^2 + 145*a + 2
151,	x^18 + x^17 + a + 70,	a^2 + 149*a + 6
157,	x^18 + x^17 + a + 23,	a^2 + 152*a + 5
163,	x^18 + x^17 + a + 125,	a^2 + 159*a + 2
167,	x^18 + x^17 + a + 12,	a^2 + 166*a + 5
173,	x^18 + x^17 + 2*a + 12,	a^2 + 169*a + 2
179,	x^18 + x^17 + a + 99,	a^2 + 172*a + 2
181,	x^18 + x^17 + a,	a^2 + 177*a + 2
191,	x^18 + x^17 + a + 38,	a^2 + 190*a + 19
193,	x^18 + x^17 + a + 164,	a^2 + 192*a + 5
197,	x^18 + x^17 + a + 110,	a^2 + 192*a + 2
199,	x^18 + x^17 + a + 64,	a^2 + 193*a + 3
211,	x^18 + x^17 + a + 70,	a^2 + 207*a + 2
223,	x^18 + x^17 + a + 83,	a^2 + 221*a + 3
227,	x^18 + x^17 + a + 67,	a^2 + 220*a + 2
229,	x^18 + x^17 + a + 129,	a^2 + 228*a + 6
233,	x^18 + x^17 + a + 68,	a^2 + 232*a + 3
239,	x^18 + x^17 + a + 56,	a^2 + 237*a + 7
241,	x^18 + x^17 + a + 121,	a^2 + 238*a + 7
251,	x^18 + x^17 + 2*a + 63,	a^2 + 242*a + 6
257,	x^18 + x^17 + a + 84,	a^2 + 251*a + 3
263,	x^18 + x^17 + a,	a^2 + 261*a + 5
269,	x^18 + x^17 + a + 20,	a^2 + 268*a + 2
271,	x^18 + x^17 + a + 37,	a^2 + 269*a + 6
277,	x^18 + x^17 + a + 58,	a^2 + 274*a + 5
281,	x^18 + x^17 + a + 216,	a^2 + 280*a + 3
283,	x^18 + x^17 + a + 267,	a^2 + 282*a + 3
293,	x^18 + x^17 + a + 46,	a^2 + 292*a + 2
307,	x^18 + x^17 + a + 133,	a^2 + 306*a + 5
311,	x^18 + x^17 + a + 11,	a^2 + 310*a + 17
313,	x^18 + x^17 + a + 169,	a^2 + 310*a + 10
317,	x^18 + x^17 + a + 277,	a^2 + 313*a + 2
