p,	poly
2,	x^10 + x^9 + x^4 + x + 1
3,	x^10 + x^9 + x^7 + 2
5,	x^10 + 2*x^9 + 2*x^3 + 2
7,	x^10 + x^9 + x + 3
11,	x^10 + 3*x^9 + 3*x + 2
13,	x^10 + x^9 + x + 2
17,	x^10 + x^9 + 7
19,	x^10 + 4*x^9 + 4*x + 13
23,	x^10 + x^9 + 15
29,	x^10 + 3*x^9 + 3*x + 8
31,	x^10 + x^9 + 12
37,	x^10 + 2*x^9 + 15
41,	x^10 + x^9 + x + 28
43,	x^10 + x^9 + 33
47,	x^10 + x^9 + x + 26
53,	x^10 + x^9 + 12
59,	x^10 + x^9 + x + 44
61,	x^10 + x^9 + x + 10
67,	x^10 + x^9 + 18
71,	x^10 + x^9 + 22
73,	x^10 + x^9 + 20
79,	x^10 + x^9 + 34
83,	x^10 + x^9 + 19
89,	x^10 + x^9 + 31
97,	x^10 + x^9 + 26
101,	x^10 + x^9 + 3
103,	x^10 + x^9 + 74
107,	x^10 + x^9 + 31
109,	x^10 + x^9 + 69
113,	x^10 + x^9 + 19
127,	x^10 + x^9 + 55
131,	x^10 + x^9 + 50
137,	x^10 + x^9 + 6
139,	x^10 + x^9 + 56
149,	x^10 + x^9 + 52
151,	x^10 + x^9 + 51
157,	x^10 + x^9 + 26
163,	x^10 + x^9 + 44
167,	x^10 + x^9 + 70
173,	x^10 + x^9 + 2
179,	x^10 + x^9 + 21
181,	x^10 + x^9 + 103
191,	x^10 + x^9 + 95
193,	x^10 + x^9 + 40
197,	x^10 + x^9 + 12
199,	x^10 + x^9 + 3
211,	x^10 + x^9 + 29
223,	x^10 + x^9 + 79
227,	x^10 + x^9 + 60
229,	x^10 + x^9 + 24
233,	x^10 + x^9 + 40
239,	x^10 + x^9 + 47
241,	x^10 + x^9 + 74
251,	x^10 + x^9 + 72
257,	x^10 + x^9 + 3
263,	x^10 + x^9 + 21
269,	x^10 + x^9 + 71
271,	x^10 + x^9 + 42
277,	x^10 + x^9 + 17
281,	x^10 + x^9 + 44
283,	x^10 + x^9 + 3
293,	x^10 + x^9 + 27
307,	x^10 + x^9 + 56
311,	x^10 + x^9 + 97
313,	x^10 + x^9 + 41
317,	x^10 + x^9 + 50
331,	x^10 + x^9 + 99
337,	x^10 + x^9 + 31
347,	x^10 + x^9 + 5
349,	x^10 + x^9 + 30
353,	x^10 + x^9 + 3
359,	x^10 + x^9 + 14
367,	x^10 + x^9 + 12
373,	x^10 + x^9 + 61
379,	x^10 + x^9 + 15
383,	x^10 + x^9 + 20
389,	x^10 + x^9 + 40
397,	x^10 + x^9 + 13
401,	x^10 + x^9 + 27
409,	x^10 + x^9 + 57
419,	x^10 + x^9 + 57
421,	x^10 + x^9 + 145
431,	x^10 + x^9 + 51
433,	x^10 + x^9 + 58
439,	x^10 + x^9 + 31
443,	x^10 + x^9 + 57
449,	x^10 + x^9 + 139
457,	x^10 + x^9 + 62
461,	x^10 + x^9 + 27
463,	x^10 + x^9 + 11
467,	x^10 + x^9 + 5
479,	x^10 + x^9 + 19
487,	x^10 + x^9 + 11
491,	x^10 + x^9 + 26
499,	x^10 + x^9 + 7
503,	x^10 + x^9 + 51
509,	x^10 + x^9 + 72
521,	x^10 + x^9 + 66
523,	x^10 + x^9 + 2
541,	x^10 + x^9 + 158
547,	x^10 + x^9 + 2
557,	x^10 + x^9 + 34
563,	x^10 + x^9 + 18
569,	x^10 + x^9 + 39
571,	x^10 + x^9 + 17
577,	x^10 + x^9 + 5
587,	x^10 + x^9 + 97
593,	x^10 + x^9 + 12
599,	x^10 + x^9 + 262
601,	x^10 + x^9 + 44
607,	x^10 + x^9 + 12
613,	x^10 + x^9 + 45
617,	x^10 + x^9 + 26
619,	x^10 + x^9 + 2
631,	x^10 + x^9 + 95
641,	x^10 + x^9 + 3
643,	x^10 + x^9 + 13
647,	x^10 + x^9 + 20
653,	x^10 + x^9 + 37
659,	x^10 + x^9 + 7
661,	x^10 + x^9 + 79
673,	x^10 + x^9 + 11
677,	x^10 + x^9 + 82
683,	x^10 + x^9 + 39
691,	x^10 + x^9 + 98
701,	x^10 + x^9 + 18
709,	x^10 + x^9 + 139
719,	x^10 + x^9 + 11
727,	x^10 + x^9 + 21
733,	x^10 + x^9 + 62
739,	x^10 + x^9 + 51
743,	x^10 + x^9 + 89
751,	x^10 + x^9 + 17
757,	x^10 + x^9 + 45
761,	x^10 + x^9 + 7
769,	x^10 + x^9 + 59
773,	x^10 + x^9 + 3
787,	x^10 + x^9 + 21
797,	x^10 + x^9 + 8
809,	x^10 + x^9 + 24
811,	x^10 + x^9 + 13
821,	x^10 + x^9 + 74
823,	x^10 + x^9 + 7
827,	x^10 + x^9 + 17
829,	x^10 + x^9 + 40
839,	x^10 + x^9 + 153
853,	x^10 + x^9 + 87
857,	x^10 + x^9 + 28
859,	x^10 + x^9 + 70
863,	x^10 + x^9 + 33
877,	x^10 + x^9 + 42
881,	x^10 + x^9 + 35
883,	x^10 + x^9 + 39
887,	x^10 + x^9 + 29
907,	x^10 + x^9 + 29
911,	x^10 + x^9 + 17
919,	x^10 + x^9 + 15
929,	x^10 + x^9 + 69
937,	x^10 + x^9 + 11
941,	x^10 + x^9 + 63
947,	x^10 + x^9 + 6
953,	x^10 + x^9 + 54
967,	x^10 + x^9 + 5
971,	x^10 + x^9 + 29
977,	x^10 + x^9 + 21
983,	x^10 + x^9 + 5
991,	x^10 + x^9 + 7
997,	x^10 + x^9 + 43
1009,	x^10 + x^9 + 66
1013,	x^10 + x^9 + 5
1019,	x^10 + x^9 + 40
1021,	x^10 + x^9 + 77
1031,	x^10 + x^9 + 84
1033,	x^10 + x^9 + 13
1039,	x^10 + x^9 + 214
1049,	x^10 + x^9 + 221
1051,	x^10 + x^9 + 41
1061,	x^10 + x^9 + 72
1063,	x^10 + x^9 + 29
1069,	x^10 + x^9 + 7
1087,	x^10 + x^9 + 76
1091,	x^10 + x^9 + 68
1093,	x^10 + x^9 + 76
1097,	x^10 + x^9 + 14
1103,	x^10 + x^9 + 5
1109,	x^10 + x^9 + 10
1117,	x^10 + x^9 + 20
1123,	x^10 + x^9 + 95
1129,	x^10 + x^9 + 88
1151,	x^10 + x^9 + 17
1153,	x^10 + x^9 + 10
1163,	x^10 + x^9 + 19
1171,	x^10 + x^9 + 42
1181,	x^10 + x^9 + 65
1187,	x^10 + x^9 + 6
1193,	x^10 + x^9 + 20
1201,	x^10 + x^9 + 11
1213,	x^10 + x^9 + 24
1217,	x^10 + x^9 + 129
1223,	x^10 + x^9 + 10
1229,	x^10 + x^9 + 32
1231,	x^10 + x^9 + 75
1237,	x^10 + x^9 + 32
1249,	x^10 + x^9 + 11
1259,	x^10 + x^9 + 2
1277,	x^10 + x^9 + 50
1279,	x^10 + x^9 + 102
1283,	x^10 + x^9 + 28
1289,	x^10 + x^9 + 22
1291,	x^10 + x^9 + 72
1297,	x^10 + x^9 + 80
1301,	x^10 + x^9 + 38
1303,	x^10 + x^9 + 6
1307,	x^10 + x^9 + 39
1319,	x^10 + x^9 + 46
1321,	x^10 + x^9 + 19
1327,	x^10 + x^9 + 6
1361,	x^10 + x^9 + 6
1367,	x^10 + x^9 + 109
1373,	x^10 + x^9 + 20
1381,	x^10 + x^9 + 95
1399,	x^10 + x^9 + 52
1409,	x^10 + x^9 + 6
1423,	x^10 + x^9 + 71
1427,	x^10 + x^9 + 20
1429,	x^10 + x^9 + 50
1433,	x^10 + x^9 + 6
1439,	x^10 + x^9 + 11
1447,	x^10 + x^9 + 96
1451,	x^10 + x^9 + 6
1453,	x^10 + x^9 + 34
1459,	x^10 + x^9 + 12
1471,	x^10 + x^9 + 15
1481,	x^10 + x^9 + 6
1483,	x^10 + x^9 + 12
1487,	x^10 + x^9 + 19
1489,	x^10 + x^9 + 43
1493,	x^10 + x^9 + 83
1499,	x^10 + x^9 + 2
1511,	x^10 + x^9 + 66
1523,	x^10 + x^9 + 13
1531,	x^10 + x^9 + 10
1543,	x^10 + x^9 + 23
1549,	x^10 + x^9 + 154
1553,	x^10 + x^9 + 27
1559,	x^10 + x^9 + 19
1567,	x^10 + x^9 + 117
1571,	x^10 + x^9 + 14
1579,	x^10 + x^9 + 160
1583,	x^10 + x^9 + 30
1597,	x^10 + x^9 + 91
1601,	x^10 + x^9 + 56
1607,	x^10 + x^9 + 45
1609,	x^10 + x^9 + 21
1613,	x^10 + x^9 + 45
1619,	x^10 + x^9 + 58
1621,	x^10 + x^9 + 6
1627,	x^10 + x^9 + 12
1637,	x^10 + x^9 + 22
1657,	x^10 + x^9 + 15
1663,	x^10 + x^9 + 83
1667,	x^10 + x^9 + 20
1669,	x^10 + x^9 + 32
1693,	x^10 + x^9 + 5
1697,	x^10 + x^9 + 45
1699,	x^10 + x^9 + 21
1709,	x^10 + x^9 + 78
1721,	x^10 + x^9 + 102
1723,	x^10 + x^9 + 30
1733,	x^10 + x^9 + 11
1741,	x^10 + x^9 + 19
1747,	x^10 + x^9 + 78
1753,	x^10 + x^9 + 14
1759,	x^10 + x^9 + 30
1777,	x^10 + x^9 + 41
1783,	x^10 + x^9 + 42
1787,	x^10 + x^9 + 5
1789,	x^10 + x^9 + 6
1801,	x^10 + x^9 + 47
1811,	x^10 + x^9 + 141
1823,	x^10 + x^9 + 85
1831,	x^10 + x^9 + 30
1847,	x^10 + x^9 + 19
1861,	x^10 + x^9 + 6
1867,	x^10 + x^9 + 14
1871,	x^10 + x^9 + 55
1873,	x^10 + x^9 + 37
1877,	x^10 + x^9 + 66
1879,	x^10 + x^9 + 23
1889,	x^10 + x^9 + 11
1901,	x^10 + x^9 + 88
1907,	x^10 + x^9 + 8
1913,	x^10 + x^9 + 11
1931,	x^10 + x^9 + 2
1933,	x^10 + x^9 + 5
1949,	x^10 + x^9 + 47
1951,	x^10 + x^9 + 107
1973,	x^10 + x^9 + 48
1979,	x^10 + x^9 + 26
1987,	x^10 + x^9 + 45
1993,	x^10 + x^9 + 5
1997,	x^10 + x^9 + 20
1999,	x^10 + x^9 + 30
2003,	x^10 + x^9 + 15
2011,	x^10 + x^9 + 17
2017,	x^10 + x^9 + 67
2027,	x^10 + x^9 + 2
2029,	x^10 + x^9 + 6
2039,	x^10 + x^9 + 7
2053,	x^10 + x^9 + 32
2063,	x^10 + x^9 + 5
2069,	x^10 + x^9 + 113
2081,	x^10 + x^9 + 19
2083,	x^10 + x^9 + 2
2087,	x^10 + x^9 + 202
2089,	x^10 + x^9 + 185
2099,	x^10 + x^9 + 8
2111,	x^10 + x^9 + 63
2113,	x^10 + x^9 + 10
2129,	x^10 + x^9 + 27
2131,	x^10 + x^9 + 127
2137,	x^10 + x^9 + 23
2141,	x^10 + x^9 + 61
2143,	x^10 + x^9 + 14
2153,	x^10 + x^9 + 22
2161,	x^10 + x^9 + 23
2179,	x^10 + x^9 + 46
2203,	x^10 + x^9 + 84
2207,	x^10 + x^9 + 63
2213,	x^10 + x^9 + 18
2221,	x^10 + x^9 + 87
2237,	x^10 + x^9 + 35
2239,	x^10 + x^9 + 12
2243,	x^10 + x^9 + 98
2251,	x^10 + x^9 + 157
2267,	x^10 + x^9 + 32
2269,	x^10 + x^9 + 115
2273,	x^10 + x^9 + 76
2281,	x^10 + x^9 + 79
2287,	x^10 + x^9 + 106
2293,	x^10 + x^9 + 46
2297,	x^10 + x^9 + 10
2309,	x^10 + x^9 + 67
2311,	x^10 + x^9 + 75
2333,	x^10 + x^9 + 55
2339,	x^10 + x^9 + 22
2341,	x^10 + x^9 + 104
2347,	x^10 + x^9 + 43
2351,	x^10 + x^9 + 29
2357,	x^10 + x^9 + 71
2371,	x^10 + x^9 + 2
2377,	x^10 + x^9 + 124
2381,	x^10 + x^9 + 46
2383,	x^10 + x^9 + 5
2389,	x^10 + x^9 + 90
2393,	x^10 + x^9 + 171
2399,	x^10 + x^9 + 38
2411,	x^10 + x^9 + 177
2417,	x^10 + x^9 + 27
2423,	x^10 + x^9 + 15
2437,	x^10 + x^9 + 2
2441,	x^10 + x^9 + 12
2447,	x^10 + x^9 + 14
2459,	x^10 + x^9 + 17
2467,	x^10 + x^9 + 2
2473,	x^10 + x^9 + 29
2477,	x^10 + x^9 + 57
2503,	x^10 + x^9 + 5
2521,	x^10 + x^9 + 44
2531,	x^10 + x^9 + 8
2539,	x^10 + x^9 + 161
2543,	x^10 + x^9 + 7
2549,	x^10 + x^9 + 26
2551,	x^10 + x^9 + 89
2557,	x^10 + x^9 + 24
2579,	x^10 + x^9 + 17
2591,	x^10 + x^9 + 175
2593,	x^10 + x^9 + 13
2609,	x^10 + x^9 + 48
2617,	x^10 + x^9 + 10
2621,	x^10 + x^9 + 48
2633,	x^10 + x^9 + 31
2647,	x^10 + x^9 + 38
2657,	x^10 + x^9 + 3
2659,	x^10 + x^9 + 40
2663,	x^10 + x^9 + 35
2671,	x^10 + x^9 + 59
2677,	x^10 + x^9 + 22
2683,	x^10 + x^9 + 5
2687,	x^10 + x^9 + 11
2689,	x^10 + x^9 + 101
2693,	x^10 + x^9 + 45
2699,	x^10 + x^9 + 41
2707,	x^10 + x^9 + 21
