p,	poly,	modulus
2,	x^28 + x^27 + x^5 + a,	a^3 + a + 1
3,	x^28 + x^27 + a^2 + 1,	a^3 + 2*a + 1
5,	x^28 + x^27 + 3*x + 3*a^2 + 2*a,	a^3 + 3*a + 3
7,	x^28 + x^27 + x + 2*a + 5,	a^3 + 6*a^2 + 4
11,	x^28 + x^27 + 7*a^2 + 6,	a^3 + 2*a + 9
13,	x^28 + x^27 + 7*a + 8,	a^3 + 2*a + 11
17,	x^28 + x^27 + a,	a^3 + a + 14
19,	x^28 + x^27 + 2*a + 15,	a^3 + 4*a + 17
23,	x^28 + x^27 + 14*a^2,	a^3 + 2*a + 18
29,	x^28 + x^27 + 24*a,	a^3 + 2*a + 27
31,	x^28 + x^27 + 6*a + 7,	a^3 + a + 28
37,	x^28 + x^27 + 10*a,	a^3 + 6*a + 35
41,	x^28 + x^27 + 5*a + 11,	a^3 + a + 35
43,	x^28 + x^27 + 41*a,	a^3 + a + 40
47,	x^28 + x^27 + 9*a,	a^3 + 3*a + 42
53,	x^28 + x^27 + 2*a + 17,	a^3 + 3*a + 51
59,	x^28 + x^27 + 18*a^2,	a^3 + 5*a + 57
61,	x^28 + x^27 + 39*a,	a^3 + 7*a + 59
67,	x^28 + x^27 + 19*a,	a^3 + 6*a + 65
71,	x^28 + x^27 + 6*a,	a^3 + 4*a + 64
73,	x^28 + x^27 + 55*a,	a^3 + 2*a + 68
79,	x^28 + x^27 + 25*a,	a^3 + 9*a + 76
83,	x^28 + x^27 + 48*a,	a^3 + 3*a + 81
