p,	poly
2,	x^22 + x^21 + 1
3,	x^22 + x^21 + x^7 + 2
5,	x^22 + x^21 + 2*x + 3
7,	x^22 + x^21 + x + 3
11,	x^22 + x^21 + 9*x + 6
13,	x^22 + x^21 + x + 2
17,	x^22 + x^21 + 3*x + 11
19,	x^22 + x^21 + 2*x + 13
23,	x^22 + x^21 + x + 17
29,	x^22 + 2*x^21 + 27
31,	x^22 + x^21 + 3
37,	x^22 + x^21 + 22
41,	x^22 + x^21 + 4*x + 34
43,	x^22 + x^21 + 12
47,	x^22 + x^21 + 20
53,	x^22 + x^21 + 22
59,	x^22 + 2*x^21 + 6
61,	x^22 + x^21 + 31
67,	x^22 + x^21 + 18
71,	x^22 + x^21 + 44
73,	x^22 + x^21 + 15
79,	x^22 + x^21 + 30
83,	x^22 + x^21 + x + 32
89,	x^22 + x^21 + 59
97,	x^22 + 2*x^21 + 84
101,	x^22 + x^21 + 29
103,	x^22 + 2*x^21 + 75
107,	x^22 + x^21 + 5
109,	x^22 + x^21 + 51
113,	x^22 + x^21 + 75
127,	x^22 + x^21 + 45
131,	x^22 + x^21 + 14
137,	x^22 + x^21 + 131
139,	x^22 + x^21 + 3
149,	x^22 + x^21 + 21
151,	x^22 + 3*x^21 + 141
157,	x^22 + x^21 + 34
163,	x^22 + 2*x^21 + 72
167,	x^22 + x^21 + 15
173,	x^22 + x^21 + x + 26
179,	x^22 + x^21 + 73
181,	x^22 + x^21 + 21
191,	x^22 + 2*x^21 + 56
193,	x^22 + x^21 + x + 47
197,	x^22 + x^21 + 186
199,	x^22 + x^21 + 48
211,	x^22 + x^21 + 17
223,	x^22 + x^21 + 192
227,	x^22 + x^21 + 13
229,	x^22 + x^21 + 170
233,	x^22 + x^21 + 185
239,	x^22 + x^21 + 19
241,	x^22 + x^21 + 185
251,	x^22 + x^21 + 33
257,	x^22 + x^21 + 106
263,	x^22 + x^21 + 101
269,	x^22 + x^21 + x + 33
271,	x^22 + x^21 + 76
277,	x^22 + x^21 + 6
281,	x^22 + x^21 + 150
283,	x^22 + x^21 + 35
293,	x^22 + x^21 + 74
307,	x^22 + x^21 + 132
311,	x^22 + x^21 + 194
313,	x^22 + x^21 + 62
317,	x^22 + x^21 + 30
331,	x^22 + x^21 + 137
337,	x^22 + x^21 + 87
347,	x^22 + x^21 + 57
349,	x^22 + x^21 + 74
353,	x^22 + x^21 + 31
359,	x^22 + x^21 + 87
367,	x^22 + x^21 + 22
373,	x^22 + x^21 + 211
379,	x^22 + x^21 + 152
383,	x^22 + x^21 + 99
389,	x^22 + x^21 + 23
397,	x^22 + x^21 + 52
401,	x^22 + x^21 + 61
409,	x^22 + x^21 + 208
419,	x^22 + x^21 + 10
421,	x^22 + x^21 + 227
431,	x^22 + x^21 + 7
433,	x^22 + x^21 + 113
439,	x^22 + x^21 + 23
443,	x^22 + x^21 + 179
449,	x^22 + x^21 + 13
457,	x^22 + x^21 + 30
461,	x^22 + 2*x^21 + 267
463,	x^22 + x^21 + 46
467,	x^22 + x^21 + 60
479,	x^22 + x^21 + 191
487,	x^22 + x^21 + 10
491,	x^22 + x^21 + 286
499,	x^22 + x^21 + 10
503,	x^22 + x^21 + 195
509,	x^22 + x^21 + 191
521,	x^22 + x^21 + 163
523,	x^22 + x^21 + 5
541,	x^22 + x^21 + 73
547,	x^22 + x^21 + 5
557,	x^22 + x^21 + 201
563,	x^22 + x^21 + 42
569,	x^22 + x^21 + 414
571,	x^22 + x^21 + 259
577,	x^22 + x^21 + 58
587,	x^22 + x^21 + 98
593,	x^22 + x^21 + 7
599,	x^22 + x^21 + 31
601,	x^22 + x^21 + 44
607,	x^22 + x^21 + 46
