p,	poly
2,	x^21 + x^20 + x^16 + x^2 + 1
3,	x^21 + x^20 + 2*x^3 + 1
5,	x^21 + 2*x^20 + 3
7,	x^21 + x^20 + 5*x + 4
11,	x^21 + x^20 + 10*x + 4
13,	x^21 + 2*x^20 + x + 7
17,	x^21 + x^20 + 4*x + 14
19,	x^21 + x^20 + 6
23,	x^21 + x^20 + 9
29,	x^21 + x^20 + x + 27
31,	x^21 + x^20 + 9
37,	x^21 + 2*x^20 + 13
41,	x^21 + 6*x^20 + 6
43,	x^21 + x^20 + 2*x + 14
47,	x^21 + x^20 + 3*x + 36
53,	x^21 + x^20 + 12
59,	x^21 + x^20 + 7
61,	x^21 + 2*x^20 + 54
67,	x^21 + x^20 + 6
71,	x^21 + x^20 + 8
73,	x^21 + x^20 + 14
79,	x^21 + x^20 + 19
83,	x^21 + x^20 + 3
89,	x^21 + 6*x^20 + 6
97,	x^21 + x^20 + 90
101,	x^21 + x^20 + 42
103,	x^21 + x^20 + 26
107,	x^21 + x^20 + 36
109,	x^21 + x^20 + 10
113,	x^21 + x^20 + 29
127,	x^21 + x^20 + 69
131,	x^21 + x^20 + 25
137,	x^21 + x^20 + 24
139,	x^21 + x^20 + x + 20
149,	x^21 + x^20 + 21
151,	x^21 + x^20 + 21
157,	x^21 + x^20 + 5
163,	x^21 + x^20 + 56
167,	x^21 + x^20 + 8
173,	x^21 + x^20 + 20
179,	x^21 + x^20 + 17
181,	x^21 + x^20 + 23
191,	x^21 + x^20 + 45
193,	x^21 + x^20 + 123
197,	x^21 + x^20 + 67
199,	x^21 + x^20 + 46
211,	x^21 + x^20 + 36
223,	x^21 + x^20 + 18
227,	x^21 + 2*x^20 + 196
229,	x^21 + x^20 + 188
233,	x^21 + x^20 + 6
239,	x^21 + x^20 + 17
241,	x^21 + x^20 + 173
251,	x^21 + x^20 + 52
257,	x^21 + x^20 + 48
263,	x^21 + x^20 + 18
269,	x^21 + x^20 + 18
271,	x^21 + x^20 + 89
277,	x^21 + x^20 + 135
281,	x^21 + x^20 + 75
283,	x^21 + x^20 + 40
293,	x^21 + x^20 + 105
307,	x^21 + x^20 + 122
311,	x^21 + x^20 + 10
313,	x^21 + x^20 + 149
317,	x^21 + x^20 + 48
331,	x^21 + x^20 + 19
337,	x^21 + x^20 + 51
347,	x^21 + x^20 + 25
349,	x^21 + x^20 + 209
353,	x^21 + x^20 + 96
359,	x^21 + x^20 + 72
367,	x^21 + x^20 + 60
373,	x^21 + x^20 + 42
379,	x^21 + x^20 + 173
383,	x^21 + x^20 + 18
389,	x^21 + x^20 + 101
397,	x^21 + x^20 + 77
401,	x^21 + x^20 + 23
409,	x^21 + x^20 + 28
419,	x^21 + x^20 + 15
421,	x^21 + x^20 + 71
