p,	poly,	modulus
2!,	x^24 + (a^4 + 1)*x^23 + (a^5 + a^2 + 1)*x^22 + (a^3 + a + 1)*x^20 + (a^5 + a^4 + 1)*x^19 + (a^4 + a^2 + 1)*x^18 + (a^3 + a^2 + a + 1)*x^17 + (a^5 + a^3 + a^2 + a + 1)*x^15 + (a^5 + a^3 + a + 1)*x^14 + x^13 + (a^5 + a^3)*x^12 + (a^5 + a^3 + a^2 + 1)*x^11 + (a^5 + a^4 + a^2 + 1)*x^10 + (a^5 + a + 1)*x^9 + (a^2 + a + 1)*x^8 + (a^4 + a)*x^7 + (a^5 + a^4 + a^3 + a^2 + a + 1)*x^6 + (a^5 + a^4 + 1)*x^5 + (a^4 + a + 1)*x^4 + (a^5 + a^2 + a + 1)*x^3 + (a^5 + a^2 + 1)*x^2 + (a^5 + a^4 + a^2)*x + a^3 + a^2,	a^6 + a^4 + a^3 + a + 1
3!,	x^24 + (a^5 + a^4 + 1)*x^23 + (2*a^5 + 2*a^2)*x^22 + (2*a^5 + 2*a^3 + a^2)*x^21 + (2*a^5 + 2*a^4 + 2*a^3 + a^2)*x^20 + (a^5 + 2*a^4 + 2*a^3)*x^19 + (2*a^5 + 2*a^4 + 2*a^3 + 2*a^2 + a + 1)*x^18 + (a^4 + a^2 + a + 1)*x^17 + (2*a^2 + a)*x^16 + (2*a^5 + 2*a^4 + 2*a^3 + a + 2)*x^15 + (a^5 + a^2 + 2*a + 1)*x^14 + (a^5 + a^4 + a^3 + a + 1)*x^13 + (2*a^3 + a^2)*x^12 + (a^5 + 2*a^4 + a^3 + a^2 + 2)*x^11 + (2*a^5 + 2*a^3 + 2*a^2 + 2*a)*x^10 + (2*a^5 + 2*a^4 + a^3 + 2*a + 2)*x^9 + (a^5 + a^4 + 2*a^2 + 2)*x^8 + (a^5 + a^4 + 2*a^3 + a + 1)*x^7 + (2*a^5 + a^4 + a^3 + a^2)*x^6 + (a^4 + a^3 + a^2 + a)*x^5 + x^4 + (2*a^4 + 2*a^3 + 2)*x^3 + (a^4 + 2*a^3 + 2*a^2 + 1)*x^2 + (2*a^5 + a^4 + a + 2)*x + 2*a^5 + 2*a^3 + 2*a^2 + 2*a + 2,	a^6 + 2*a^4 + a^2 + 2*a + 2
5!,	x^24 + (a^5 + 3*a^4 + 2*a^3 + 4*a^2 + 4*a + 2)*x^23 + (2*a^5 + 3*a^4 + 3*a + 1)*x^22 + (3*a^5 + 4*a^4 + 3*a^3 + 2*a^2)*x^21 + (a^4 + a^3 + 4*a^2 + 3*a + 2)*x^20 + (4*a^5 + 3*a^4 + 3*a^3 + a^2)*x^19 + (2*a^3 + a^2 + 1)*x^18 + (3*a^5 + a^4 + 4*a^3 + 4*a^2 + a + 3)*x^17 + (a^5 + 3*a^4 + 2)*x^16 + (2*a^4 + 3*a^3 + 3*a^2 + a + 2)*x^15 + (4*a^3 + 2*a^2 + 3*a + 1)*x^14 + (4*a^5 + 3*a^4 + 4*a^3 + 2*a^2 + 2*a)*x^13 + (4*a^5 + a^4 + a^2 + 2*a + 2)*x^12 + (a^5 + 2*a^4 + 4*a^2 + 3*a)*x^11 + (3*a^5 + 2*a^4 + 2*a^3 + 3*a^2 + 2*a + 1)*x^10 + (3*a^5 + 3*a^4 + 4*a^3 + 2*a^2 + 4*a + 3)*x^9 + (4*a^4 + 2*a^3 + 2*a^2 + 2)*x^8 + (a^5 + 3*a^4 + 2*a^3 + 2*a^2 + 3)*x^7 + (4*a^5 + a^4 + 3*a^3 + 4*a^2 + a + 1)*x^6 + (a^5 + 4*a^4 + 3*a^3 + a + 1)*x^5 + (3*a^5 + a^4 + 2*a^2 + 2)*x^4 + (3*a^5 + 3*a^4 + 3*a + 2)*x^3 + (a^5 + 3*a^4 + 4*a^3 + 3*a + 3)*x^2 + (3*a^5 + a^4 + 2*a^3 + 3*a^2 + a + 3)*x + a^5 + a^4 + 2*a^3 + 4*a^2 + 4*a + 1,	a^6 + a^4 + 4*a^3 + a^2 + 2
7!,	x^24 + (2*a^5 + 4*a^3 + 3*a^2 + 3*a + 2)*x^23 + (5*a^5 + 4*a^3 + 3*a^2 + 2*a + 6)*x^22 + (4*a^5 + 2*a^4 + 5*a^2 + a + 4)*x^21 + (a^5 + 6*a^4 + 3*a^3 + 6*a^2 + 2*a + 4)*x^20 + (2*a^5 + 4*a^4 + 2*a^3 + a + 1)*x^19 + (5*a^5 + 6*a^4 + 6*a^3 + 2*a^2 + 6*a)*x^18 + (6*a^5 + 3*a^4 + 5*a^3 + 4*a^2 + 4*a + 4)*x^17 + (2*a^4 + a^3 + a^2 + 4*a + 1)*x^16 + (a^5 + 2*a^3 + 1)*x^15 + (3*a^5 + 6*a^4 + 6*a^3 + 5*a^2 + 6*a + 6)*x^14 + (4*a^5 + a^4 + a^2 + 4*a + 4)*x^13 + (2*a^5 + 6*a^4 + 3*a^2 + a + 2)*x^12 + (6*a^5 + 2*a^4 + a^2 + 5*a + 5)*x^11 + (5*a^5 + 4*a^3 + 6*a + 4)*x^10 + (2*a^5 + 3*a^4 + 6*a^3 + 2*a^2 + 4*a + 2)*x^9 + (3*a^5 + 2*a^3 + 2*a^2 + 5*a)*x^8 + (2*a^4 + 5*a^3 + 4*a^2 + a + 3)*x^7 + (6*a^5 + 4*a^4 + 2*a^3 + 4*a^2 + 5*a)*x^6 + (6*a^5 + a^4 + 6*a^3 + 6*a)*x^5 + (4*a^5 + 3*a^4 + 2*a^3 + 2*a^2 + 2*a + 1)*x^4 + (3*a^5 + 3*a^4 + 6*a^3 + 3*a^2 + 3*a + 5)*x^3 + (3*a^5 + 2*a^4 + 5*a^3 + 5*a^2 + a + 2)*x^2 + (2*a^5 + 3*a^4 + 4*a^3 + 3*a^2 + 2*a + 6)*x + 6*a^5 + 4*a^4 + 2*a^3 + 2*a^2 + 4*a + 3,	a^6 + a^4 + 5*a^3 + 4*a^2 + 6*a + 3
