p,	poly,	modulus
2!,	x^30 + (a^6 + a^4 + a^2 + a)*x^29 + (a^5 + a^4 + a^2 + 1)*x^28 + (a^7 + a^5 + a^2 + a + 1)*x^27 + (a^4 + a^3 + a^2 + a + 1)*x^26 + (a^7 + a^6 + a^5 + a^4 + a^2)*x^25 + (a^7 + a^5 + a^3 + a + 1)*x^24 + (a^6 + a^4 + a + 1)*x^23 + (a^6 + a^5 + a)*x^22 + (a^3 + a^2 + a + 1)*x^21 + (a^7 + a^6 + a^5 + a^3 + a)*x^20 + a^6*x^19 + (a^7 + a^6 + a^5 + a^3 + 1)*x^18 + (a^4 + a^3 + a^2 + a)*x^17 + (a^7 + a^4 + a^3 + 1)*x^16 + (a^6 + a^5 + a^4 + 1)*x^15 + (a^7 + a^5 + a^4 + a^3 + 1)*x^14 + (a^7 + a^6 + a^5 + a^2)*x^13 + (a^7 + a^6 + a^5 + a + 1)*x^12 + (a^6 + a^5 + a^3 + 1)*x^11 + (a^7 + a^6 + a^5 + a^3 + a^2)*x^10 + (a^7 + a^6 + a^5 + a^4 + a^3 + a)*x^9 + (a^7 + a^6 + 1)*x^8 + (a^5 + a^3 + a + 1)*x^7 + (a^6 + a^5 + a^4 + 1)*x^6 + (a^7 + a^6 + a^5 + a^4 + a^2 + 1)*x^5 + (a^7 + a^5)*x^4 + a^3*x^3 + (a^7 + a^6 + a^5 + a^2 + a)*x^2 + (a^7 + a^6 + a^5 + a)*x + a^7 + a^4,	a^8 + a^4 + a^3 + a^2 + 1
3!,	x^30 + (a^7 + 2*a^6 + 2*a^5 + 2*a^4 + a)*x^29 + (2*a^7 + 2*a^6 + 2*a^5 + a^3 + 2*a^2 + a + 2)*x^28 + (2*a^7 + a^5 + 2*a^4 + 2)*x^27 + (a^7 + 2*a^4 + 2*a^3 + a)*x^26 + (2*a^7 + a^6 + 2*a^5 + a^4)*x^25 + (a^7 + 2*a^5 + a^4 + a^3 + 2*a^2 + 1)*x^24 + (2*a^7 + 2*a^5 + a^4 + 2*a^3 + 2*a^2 + a)*x^23 + (2*a^7 + a^6 + 2*a^4 + 2*a^3 + 2*a^2 + 1)*x^22 + (2*a^7 + a^6 + 2*a^4 + 2*a^3 + 2*a^2)*x^21 + (a^7 + a^6 + 2*a^5 + 2*a^4 + a^3 + 2*a^2)*x^20 + (2*a^7 + a^6 + a^2 + 2*a + 1)*x^19 + (2*a^6 + 2*a^3 + a + 1)*x^18 + (a^7 + 2*a^5 + a^4 + 2*a^3 + 2*a^2 + 2)*x^17 + (a^7 + 2*a^6 + 2*a^5 + a^4 + 2*a + 1)*x^16 + (2*a^5 + a^4 + a^2 + 1)*x^15 + (a^7 + 2*a^6 + 2*a^4 + 2*a + 1)*x^14 + (2*a^7 + 2*a^6 + a^3 + a^2 + 2*a + 2)*x^13 + (2*a^7 + a^6 + a^5 + 2*a^3 + 2*a^2 + 2*a + 1)*x^12 + (a^4 + 2*a^3 + 2*a + 2)*x^11 + (a^7 + a^5 + a^4 + 2*a^2 + 2*a + 2)*x^10 + (2*a^7 + 2*a^6 + 2*a^5 + a^4 + 2*a^3 + a + 1)*x^9 + (2*a^7 + 2*a^6 + 2*a^5 + 2*a^4 + a^3 + 2)*x^8 + (2*a^7 + a^5 + 2)*x^7 + (a^6 + 2*a^5 + 2*a^4 + 2*a^3 + a + 1)*x^6 + (2*a^7 + 2*a^6 + a^4 + 2*a^2 + a + 1)*x^5 + (a^7 + 2*a^5 + a)*x^4 + (2*a^6 + a^4 + a^3 + a + 2)*x^3 + (2*a^5 + 2*a^3 + 2*a^2 + 1)*x^2 + (2*a^7 + 2*a^6 + 2*a^3 + a^2 + 2)*x + a^7 + a^6 + a^5 + 2*a^4 + a + 2,	a^8 + 2*a^5 + a^4 + 2*a^2 + 2*a + 2
5!,	x^30 + (2*a^7 + a^5 + a^4 + a^3 + 3*a^2 + 2*a + 1)*x^29 + (4*a^7 + 2*a^5 + 3*a^4 + 2*a^2 + 2*a + 4)*x^28 + (4*a^7 + 4*a^6 + 3*a^5 + a^3 + a^2 + 3*a + 1)*x^27 + (3*a^7 + 2*a^6 + 3*a^5 + 2*a^4 + 2*a^2 + 2)*x^26 + (4*a^6 + 3*a^5 + 2*a^4 + 2*a^3 + 2*a^2 + 3*a + 1)*x^25 + (4*a^7 + a^6 + 4*a^4 + 2*a^3 + a^2 + 2*a)*x^24 + (a^7 + 3*a^5 + a^3 + a^2 + a + 4)*x^23 + (2*a^6 + 4*a^5 + 2*a^3 + a^2 + 4*a + 3)*x^22 + (2*a^7 + 2*a^6 + 4*a^5 + 2*a^2 + 2*a + 2)*x^21 + (4*a^7 + 4*a^6 + 2*a^5 + 3*a^4 + 4*a^3 + 4*a^2 + 3*a + 4)*x^20 + (3*a^6 + 2*a^5 + 4*a^4 + 3*a^3 + a^2 + 4*a + 2)*x^19 + (4*a^7 + 3*a^6 + 4*a^5 + 4*a^4 + 2*a^3 + a + 2)*x^18 + (3*a^7 + 4*a^6 + a^5 + 2*a^4 + a^3 + 4*a^2 + 2*a + 1)*x^17 + (2*a^7 + a^6 + 3*a^4 + a^3 + 3*a^2 + 4*a)*x^16 + (3*a^7 + 3*a^6 + a^5 + 2*a^4 + a^3 + 2*a^2 + 4*a)*x^15 + (a^7 + 2*a^6 + 4*a^5 + a^3 + a^2 + 2*a + 2)*x^14 + (a^7 + a^6 + 2*a^5 + 2*a^4 + 2*a^3 + a^2 + 4)*x^13 + (a^7 + 4*a^6 + a^5 + 3*a^4 + a^2 + 3*a + 3)*x^12 + (a^7 + 2*a^5 + 3*a^3 + 4*a^2 + 3*a + 1)*x^11 + (a^6 + a^5 + 3*a + 4)*x^10 + (3*a^7 + 4*a^6 + a^3 + 4*a^2 + 2*a + 3)*x^9 + (3*a^7 + a^6 + 4*a^5 + 3*a^4 + 2*a^2 + a + 1)*x^8 + (4*a^7 + 3*a^6 + 4*a^3 + 2*a^2 + a + 2)*x^7 + (4*a^7 + 2*a^6 + 4*a + 2)*x^6 + (3*a^7 + 2*a^6 + 4*a^5 + a^4 + 3*a^3 + 3*a^2 + 2*a + 1)*x^5 + (2*a^7 + 4*a^6 + 3*a^5 + 4*a^4 + 4*a^2 + 3)*x^4 + (4*a^7 + 4*a^6 + 2*a^5 + 3*a^4 + 3*a^3 + 3*a^2 + 4*a + 2)*x^3 + (a^7 + 3*a^5 + 2*a^4 + 3*a^3 + 3*a^2 + 2*a + 4)*x^2 + (3*a^7 + 2*a^5 + a^4 + 3*a^3 + 4*a^2 + 3*a + 4)*x + 4*a^7 + 3*a^6 + a^5 + 4*a^3 + 4*a + 3,	a^8 + a^4 + 3*a^2 + 4*a + 2
