p,	poly,	modulus
2,	x^21 + x^20 + a*x^15 + a^2 + a + 1,	a^3 + a + 1
3,	x^21 + x^20 + x + a^2 + a + 1,	a^3 + 2*a + 1
5,	x^21 + x^20 + 2*a^2 + 2*a + 3,	a^3 + 3*a + 3
7,	x^21 + x^20 + 3*a^2 + 3,	a^3 + 6*a^2 + 4
11,	x^21 + x^20 + 10*a + 3,	a^3 + 2*a + 9
13,	x^21 + x^20 + 7*a^2,	a^3 + 2*a + 11
17,	x^21 + x^20 + 3*a^2,	a^3 + a + 14
19,	x^21 + x^20 + a^2,	a^3 + 4*a + 17
23,	x^21 + x^20 + a + 20,	a^3 + 2*a + 18
29,	x^21 + x^20 + 26*a^2,	a^3 + 2*a + 27
31,	x^21 + x^20 + 25*a + 30,	a^3 + a + 28
37,	x^21 + x^20 + 22*a^2,	a^3 + 6*a + 35
41,	x^21 + x^20 + 25*a,	a^3 + a + 35
43,	x^21 + x^20 + 40*a + 35,	a^3 + a + 40
47,	x^21 + x^20 + 18*a^2,	a^3 + 3*a + 42
53,	x^21 + x^20 + 47*a,	a^3 + 3*a + 51
