p,	n,	poly
71,	28,	x^28 + x^27 + 7
71,	29,	x^29 + x^28 + 15
71,	30,	x^30 + x^29 + 35
71,	31,	x^31 + 7*x^30 + 36
71,	32,	x^32 + x^31 + 52
71,	33,	x^33 + 4*x^32 + 8
71,	34,	x^34 + x^33 + 3*x + 63
71,	35,	x^35 + x^34 + 6*x + 43
71,	36,	x^36 + x^35 + 5*x + 47
71,	37,	x^37 + 7*x^36 + 12
73,	2,	x^2 + x + 11
73,	3,	x^3 + x^2 + 5
73,	4,	x^4 + x^3 + 33
73,	5,	x^5 + x^4 + 5
73,	6,	x^6 + x^5 + 53
73,	7,	x^7 + x^6 + 13
73,	8,	x^8 + x^7 + 14
73,	9,	x^9 + x^8 + 5
73,	10,	x^10 + x^9 + 20
73,	11,	x^11 + x^10 + 44
73,	12,	x^12 + x^11 + 14
73,	13,	x^13 + x^12 + 62
73,	14,	x^14 + x^13 + 15
73,	15,	x^15 + x^14 + 62
73,	16,	x^16 + x^15 + 68
73,	17,	x^17 + x^16 + 5
73,	18,	x^18 + x^17 + 4*x + 15
73,	19,	x^19 + 5*x^18 + 44
73,	20,	x^20 + x^19 + x + 40
73,	21,	x^21 + x^20 + 14
73,	22,	x^22 + x^21 + 15
73,	23,	x^23 + 2*x^22 + 11
73,	24,	x^24 + x^23 + 28
73,	25,	x^25 + 5*x^24 + 62
73,	26,	x^26 + x^25 + 2*x + 5
73,	27,	x^27 + x^26 + x + 68
73,	28,	x^28 + x^27 + 5
73,	29,	x^29 + 7*x^28 + 62
73,	30,	x^30 + x^29 + 4*x + 60
73,	31,	x^31 + x^30 + 11
73,	32,	x^32 + x^31 + 40
73,	33,	x^33 + x^32 + 2*x + 47
73,	34,	x^34 + 2*x^33 + 42
73,	35,	x^35 + 5*x^34 + 44
73,	36,	x^36 + x^35 + x + 39
73,	37,	x^37 + x^36 + 20
79,	2,	x^2 + x + 3
79,	3,	x^3 + x^2 + 2
79,	4,	x^4 + x^3 + 7
79,	5,	x^5 + x^4 + 9
79,	6,	x^6 + x^5 + 29
79,	7,	x^7 + x^6 + 9
79,	8,	x^8 + x^7 + 59
79,	9,	x^9 + x^8 + 44
79,	10,	x^10 + x^9 + 34
79,	11,	x^11 + x^10 + 16
79,	12,	x^12 + x^11 + 30
79,	13,	x^13 + 3*x^12 + 51
79,	14,	x^14 + x^13 + 35
79,	15,	x^15 + x^14 + 20
79,	16,	x^16 + 2*x^15 + 53
79,	17,	x^17 + x^16 + 72
79,	18,	x^18 + x^17 + 4*x + 3
79,	19,	x^19 + x^18 + 9
79,	20,	x^20 + x^19 + 53
79,	21,	x^21 + x^20 + 19
79,	22,	x^22 + x^21 + 30
79,	23,	x^23 + x^22 + 44
79,	24,	x^24 + x^23 + x + 54
79,	25,	x^25 + 3*x^24 + 4
79,	26,	x^26 + 2*x^25 + 74
79,	27,	x^27 + x^26 + 19
79,	28,	x^28 + x^27 + 2*x + 35
79,	29,	x^29 + 2*x^28 + 73
79,	30,	x^30 + x^29 + 28
79,	31,	x^31 + x^30 + 3*x + 51
79,	32,	x^32 + 2*x^31 + 48
79,	33,	x^33 + x^32 + 26
79,	34,	x^34 + x^33 + x + 29
79,	35,	x^35 + x^34 + 45
79,	36,	x^36 + x^35 + 7
83,	2,	x^2 + x + 2
83,	3,	x^3 + x^2 + 11
83,	4,	x^4 + x^3 + 24
83,	5,	x^5 + x^4 + 17
83,	6,	x^6 + x^5 + 2
83,	7,	x^7 + x^6 + 27
83,	8,	x^8 + x^7 + 13
83,	9,	x^9 + x^8 + 3
83,	10,	x^10 + x^9 + 19
83,	11,	x^11 + x^10 + 25
83,	12,	x^12 + x^11 + 8
83,	13,	x^13 + x^12 + 16
83,	14,	x^14 + x^13 + 18
83,	15,	x^15 + x^14 + 28
83,	16,	x^16 + x^15 + 55
83,	17,	x^17 + x^16 + 37
83,	18,	x^18 + x^17 + 74
83,	19,	x^19 + x^18 + 3
83,	20,	x^20 + x^19 + 2
83,	21,	x^21 + x^20 + 3
83,	22,	x^22 + x^21 + x + 32
83,	23,	x^23 + x^22 + 3
83,	24,	x^24 + x^23 + x + 60
83,	25,	x^25 + x^24 + 23
83,	26,	x^26 + x^25 + 2*x + 15
83,	27,	x^27 + x^26 + 10
83,	28,	x^28 + x^27 + 2*x + 52
83,	29,	x^29 + x^28 + 7
83,	30,	x^30 + x^29 + x + 46
83,	31,	x^31 + x^30 + 30
83,	32,	x^32 + x^31 + 50
83,	33,	x^33 + 2*x^32 + 51
83,	34,	x^34 + x^33 + 2*x + 52
83,	35,	x^35 + 2*x^34 + 37
83,	36,	x^36 + x^35 + 2*x + 24
89,	2,	x^2 + x + 6
89,	3,	x^3 + x^2 + 6
89,	4,	x^4 + x^3 + 14
89,	5,	x^5 + x^4 + 3
89,	6,	x^6 + x^5 + 33
89,	7,	x^7 + x^6 + 29
89,	8,	x^8 + x^7 + 27
89,	9,	x^9 + x^8 + 6
89,	10,	x^10 + x^9 + 31
89,	11,	x^11 + x^10 + 13
89,	12,	x^12 + x^11 + 62
89,	13,	x^13 + x^12 + 7
89,	14,	x^14 + x^13 + 59
89,	15,	x^15 + x^14 + 62
89,	16,	x^16 + x^15 + 19
89,	17,	x^17 + x^16 + 13
89,	18,	x^18 + x^17 + 27
89,	19,	x^19 + x^18 + 54
89,	20,	x^20 + x^19 + 35
89,	21,	x^21 + 6*x^20 + 6
89,	22,	x^22 + x^21 + 59
89,	23,	x^23 + x^22 + 65
89,	24,	x^24 + x^23 + x + 38
89,	25,	x^25 + x^24 + 41
89,	26,	x^26 + x^25 + x + 15
89,	27,	x^27 + x^26 + 59
89,	28,	x^28 + x^27 + 76
89,	29,	x^29 + x^28 + 24
89,	30,	x^30 + x^29 + 13
89,	31,	x^31 + x^30 + 51
89,	32,	x^32 + x^31 + x + 14
89,	33,	x^33 + x^32 + 15
89,	34,	x^34 + x^33 + x + 29
89,	35,	x^35 + x^34 + 24
97,	2,	x^2 + x + 5
97,	3,	x^3 + x^2 + 5
97,	4,	x^4 + x^3 + 15
97,	5,	x^5 + x^4 + 7
97,	6,	x^6 + x^5 + 56
97,	7,	x^7 + x^6 + 13
97,	8,	x^8 + x^7 + 7
97,	9,	x^9 + x^8 + 5
97,	10,	x^10 + x^9 + 26
97,	11,	x^11 + x^10 + 13
97,	12,	x^12 + x^11 + 39
97,	13,	x^13 + x^12 + 37
97,	14,	x^14 + x^13 + 13
97,	15,	x^15 + x^14 + 10
97,	16,	x^16 + x^15 + 38
97,	17,	x^17 + x^16 + 39
97,	18,	x^18 + x^17 + x + 7
97,	19,	x^19 + x^18 + 29
97,	20,	x^20 + x^19 + 68
97,	21,	x^21 + x^20 + 90
97,	22,	x^22 + 2*x^21 + 84
97,	23,	x^23 + 5*x^22 + 74
97,	24,	x^24 + x^23 + 40
97,	25,	x^25 + 5*x^24 + 14
97,	26,	x^26 + x^25 + 82
97,	27,	x^27 + x^26 + x + 84
97,	28,	x^28 + x^27 + x + 7
97,	29,	x^29 + x^28 + 68
97,	30,	x^30 + x^29 + 14
97,	31,	x^31 + x^30 + 14
97,	32,	x^32 + x^31 + 7*x + 13
97,	33,	x^33 + x^32 + 39
97,	34,	x^34 + x^33 + 29
97,	35,	x^35 + x^34 + 10
101,	2,	x^2 + x + 3
101,	3,	x^3 + x^2 + 27
101,	4,	x^4 + x^3 + 11
101,	5,	x^5 + x^4 + 2
101,	6,	x^6 + x^5 + 27
101,	7,	x^7 + x^6 + 2
101,	8,	x^8 + x^7 + 29
101,	9,	x^9 + x^8 + 7
101,	10,	x^10 + x^9 + 3
101,	11,	x^11 + x^10 + 3
101,	12,	x^12 + x^11 + 2
101,	13,	x^13 + x^12 + 27
101,	14,	x^14 + x^13 + 7
101,	15,	x^15 + 2*x^14 + 61
101,	16,	x^16 + x^15 + 93
101,	17,	x^17 + x^16 + 89
101,	18,	x^18 + x^17 + x + 15
101,	19,	x^19 + x^18 + 7
101,	20,	x^20 + x^19 + 34
101,	21,	x^21 + x^20 + 42
101,	22,	x^22 + x^21 + 29
101,	23,	x^23 + x^22 + 29
101,	24,	x^24 + x^23 + 28
101,	25,	x^25 + 2*x^24 + 48
101,	26,	x^26 + x^25 + 5*x + 29
101,	27,	x^27 + x^26 + 28
101,	28,	x^28 + x^27 + 59
101,	29,	x^29 + x^28 + 3
101,	30,	x^30 + x^29 + 8
101,	31,	x^31 + x^30 + 48
101,	32,	x^32 + x^31 + 4*x + 18
101,	33,	x^33 + 2*x^32 + 2
101,	34,	x^34 + x^33 + x + 94
103,	2,	x^2 + x + 5
103,	3,	x^3 + x^2 + 7
103,	4,	x^4 + x^3 + 44
103,	5,	x^5 + x^4 + 15
103,	6,	x^6 + x^5 + 35
103,	7,	x^7 + x^6 + 2
103,	8,	x^8 + x^7 + 44
103,	9,	x^9 + x^8 + 19
103,	10,	x^10 + x^9 + 74
103,	11,	x^11 + x^10 + 29
103,	12,	x^12 + x^11 + 43
103,	13,	x^13 + x^12 + 29
103,	14,	x^14 + x^13 + 11
103,	15,	x^15 + x^14 + 41
103,	16,	x^16 + x^15 + 40
103,	17,	x^17 + x^16 + 33
103,	18,	x^18 + x^17 + 35
103,	19,	x^19 + x^18 + 4
103,	20,	x^20 + x^19 + x + 78
103,	21,	x^21 + x^20 + 26
103,	22,	x^22 + 2*x^21 + 75
103,	23,	x^23 + x^22 + 19
103,	24,	x^24 + x^23 + 2*x + 70
103,	25,	x^25 + x^24 + 7
103,	26,	x^26 + x^25 + 12
103,	27,	x^27 + x^26 + 68
103,	28,	x^28 + x^27 + 77
103,	29,	x^29 + 5*x^28 + 68
103,	30,	x^30 + x^29 + 2*x + 62
103,	31,	x^31 + x^30 + 63
103,	32,	x^32 + x^31 + 51
103,	33,	x^33 + 3*x^32 + 60
103,	34,	x^34 + 2*x^33 + 20
107,	2,	x^2 + x + 5
107,	3,	x^3 + x^2 + 10
107,	4,	x^4 + x^3 + 8
107,	5,	x^5 + x^4 + 3
107,	6,	x^6 + x^5 + 72
107,	7,	x^7 + x^6 + 4
107,	8,	x^8 + x^7 + 8
107,	9,	x^9 + x^8 + 64
107,	10,	x^10 + x^9 + 31
107,	11,	x^11 + x^10 + 4
107,	12,	x^12 + x^11 + 2
107,	13,	x^13 + x^12 + 33
107,	14,	x^14 + x^13 + x + 18
107,	15,	x^15 + 2*x^14 + 48
107,	16,	x^16 + x^15 + 60
107,	17,	x^17 + x^16 + 48
107,	18,	x^18 + x^17 + 3*x + 77
107,	19,	x^19 + x^18 + 37
107,	20,	x^20 + x^19 + x + 8
107,	21,	x^21 + x^20 + 36
107,	22,	x^22 + x^21 + 5
107,	23,	x^23 + x^22 + 41
107,	24,	x^24 + x^23 + 2*x + 45
107,	25,	x^25 + x^24 + 25
107,	26,	x^26 + x^25 + 95
107,	27,	x^27 + x^26 + 11
107,	28,	x^28 + x^27 + 3*x + 17
107,	29,	x^29 + 2*x^28 + 49
107,	30,	x^30 + x^29 + 22
107,	31,	x^31 + x^30 + 14
107,	32,	x^32 + x^31 + 71
107,	33,	x^33 + x^32 + 52
107,	34,	x^34 + x^33 + 31
109,	2,	x^2 + x + 6
109,	3,	x^3 + x^2 + 6
109,	4,	x^4 + x^3 + 24
109,	5,	x^5 + x^4 + 6
109,	6,	x^6 + x^5 + 24
109,	7,	x^7 + x^6 + 11
109,	8,	x^8 + x^7 + 14
109,	9,	x^9 + x^8 + 18
109,	10,	x^10 + x^9 + 69
109,	11,	x^11 + x^10 + 65
109,	12,	x^12 + x^11 + 30
109,	13,	x^13 + x^12 + 39
109,	14,	x^14 + x^13 + 85
109,	15,	x^15 + x^14 + 72
109,	16,	x^16 + x^15 + 58
109,	17,	x^17 + x^16 + 98
109,	18,	x^18 + x^17 + 14
109,	19,	x^19 + x^18 + 6
109,	20,	x^20 + x^19 + 39
109,	21,	x^21 + x^20 + 10
109,	22,	x^22 + x^21 + 51
109,	23,	x^23 + x^22 + 57
109,	24,	x^24 + x^23 + 42
109,	25,	x^25 + 2*x^24 + 91
109,	26,	x^26 + x^25 + 30
109,	27,	x^27 + 2*x^26 + 30
109,	28,	x^28 + x^27 + 4*x + 57
109,	29,	x^29 + 2*x^28 + 103
109,	30,	x^30 + x^29 + x + 42
109,	31,	x^31 + x^30 + 47
109,	32,	x^32 + 3*x^31 + 47
109,	33,	x^33 + x^32 + 5*x + 18
109,	34,	x^34 + x^33 + 2*x + 58
113,	2,	x^2 + x + 10
113,	3,	x^3 + x^2 + 10
113,	4,	x^4 + x^3 + 6
113,	5,	x^5 + x^4 + 10
113,	6,	x^6 + x^5 + 6
113,	7,	x^7 + x^6 + 20
113,	8,	x^8 + x^7 + 24
113,	9,	x^9 + x^8 + 24
113,	10,	x^10 + x^9 + 19
113,	11,	x^11 + x^10 + 6
113,	12,	x^12 + x^11 + 92
113,	13,	x^13 + x^12 + 47
113,	14,	x^14 + x^13 + 70
113,	15,	x^15 + x^14 + 10
113,	16,	x^16 + 2*x^15 + 47
113,	17,	x^17 + x^16 + 67
113,	18,	x^18 + x^17 + 3
113,	19,	x^19 + x^18 + 27
113,	20,	x^20 + x^19 + 74
113,	21,	x^21 + x^20 + 29
113,	22,	x^22 + x^21 + 75
113,	23,	x^23 + x^22 + 66
113,	24,	x^24 + x^23 + x + 27
113,	25,	x^25 + x^24 + 3
113,	26,	x^26 + x^25 + 2*x + 43
113,	27,	x^27 + x^26 + 96
113,	28,	x^28 + x^27 + 66
113,	29,	x^29 + 3*x^28 + 59
113,	30,	x^30 + 2*x^29 + 79
113,	31,	x^31 + x^30 + 27
113,	32,	x^32 + x^31 + 79
113,	33,	x^33 + x^32 + 74
113,	34,	x^34 + x^33 + 2*x + 58
127,	2,	x^2 + x + 3
127,	3,	x^3 + x^2 + 15
127,	4,	x^4 + x^3 + 3
127,	5,	x^5 + x^4 + 9
127,	6,	x^6 + x^5 + 3
127,	7,	x^7 + x^6 + 13
127,	8,	x^8 + x^7 + 48
127,	9,	x^9 + x^8 + 9
127,	10,	x^10 + x^9 + 55
127,	11,	x^11 + x^10 + 11
127,	12,	x^12 + x^11 + 55
127,	13,	x^13 + x^12 + 49
127,	14,	x^14 + x^13 + 91
127,	15,	x^15 + x^14 + 60
127,	16,	x^16 + x^15 + 23
127,	17,	x^17 + x^16 + 81
127,	18,	x^18 + x^17 + x + 93
127,	19,	x^19 + x^18 + 9
127,	20,	x^20 + x^19 + 29
127,	21,	x^21 + x^20 + 69
127,	22,	x^22 + x^21 + 45
127,	23,	x^23 + x^22 + 120
127,	24,	x^24 + x^23 + 7
127,	25,	x^25 + 3*x^24 + 69
127,	26,	x^26 + x^25 + 23
127,	27,	x^27 + x^26 + 35
127,	28,	x^28 + x^27 + 39
127,	29,	x^29 + x^28 + 69
127,	30,	x^30 + 2*x^29 + 112
127,	31,	x^31 + x^30 + 41
127,	32,	x^32 + x^31 + 43
127,	33,	x^33 + 3*x^32 + 121
131,	2,	x^2 + x + 14
131,	3,	x^3 + x^2 + 5
131,	4,	x^4 + x^3 + 2
131,	5,	x^5 + x^4 + 12
131,	6,	x^6 + x^5 + 8
131,	7,	x^7 + x^6 + 15
131,	8,	x^8 + x^7 + 17
131,	9,	x^9 + x^8 + 21
131,	10,	x^10 + x^9 + 50
131,	11,	x^11 + 2*x^10 + 75
131,	12,	x^12 + x^11 + 82
131,	13,	x^13 + 2*x^12 + 108
131,	14,	x^14 + x^13 + 104
131,	15,	x^15 + x^14 + 35
131,	16,	x^16 + 2*x^15 + 57
131,	17,	x^17 + x^16 + 46
131,	18,	x^18 + x^17 + 127
131,	19,	x^19 + x^18 + 21
131,	20,	x^20 + x^19 + 126
131,	21,	x^21 + x^20 + 25
131,	22,	x^22 + x^21 + 14
131,	23,	x^23 + x^22 + 4
131,	24,	x^24 + x^23 + 119
131,	25,	x^25 + x^24 + 11
131,	26,	x^26 + x^25 + x + 104
131,	27,	x^27 + x^26 + 11
131,	28,	x^28 + x^27 + 111
131,	29,	x^29 + x^28 + 64
131,	30,	x^30 + x^29 + 76
131,	31,	x^31 + x^30 + 7
131,	32,	x^32 + x^31 + 22
131,	33,	x^33 + 2*x^32 + 101
137,	2,	x^2 + x + 6
137,	3,	x^3 + x^2 + 24
137,	4,	x^4 + x^3 + 13
137,	5,	x^5 + x^4 + 20
137,	6,	x^6 + x^5 + 6
137,	7,	x^7 + x^6 + 12
137,	8,	x^8 + x^7 + 35
137,	9,	x^9 + x^8 + 45
137,	10,	x^10 + x^9 + 6
137,	11,	x^11 + x^10 + 31
137,	12,	x^12 + x^11 + x + 54
137,	13,	x^13 + x^12 + 3
137,	14,	x^14 + x^13 + 12
137,	15,	x^15 + x^14 + 20
137,	16,	x^16 + x^15 + x + 12
137,	17,	x^17 + x^16 + 33
137,	18,	x^18 + x^17 + 83
137,	19,	x^19 + x^18 + 47
137,	20,	x^20 + x^19 + 51
137,	21,	x^21 + x^20 + 24
137,	22,	x^22 + x^21 + 131
137,	23,	x^23 + x^22 + 5
137,	24,	x^24 + x^23 + 104
137,	25,	x^25 + x^24 + 47
137,	26,	x^26 + x^25 + x + 70
137,	27,	x^27 + x^26 + 58
137,	28,	x^28 + x^27 + 62
137,	29,	x^29 + x^28 + 13
137,	30,	x^30 + x^29 + 27
137,	31,	x^31 + x^30 + 70
137,	32,	x^32 + x^31 + 6
139,	2,	x^2 + x + 2
139,	3,	x^3 + x^2 + 11
139,	4,	x^4 + x^3 + 18
139,	5,	x^5 + x^4 + 5
139,	6,	x^6 + x^5 + 3
139,	7,	x^7 + x^6 + 16
139,	8,	x^8 + x^7 + 22
139,	9,	x^9 + x^8 + 5
139,	10,	x^10 + x^9 + 56
139,	11,	x^11 + x^10 + 28
139,	12,	x^12 + x^11 + 119
139,	13,	x^13 + x^12 + 16
139,	14,	x^14 + 2*x^13 + 115
139,	15,	x^15 + x^14 + 41
139,	16,	x^16 + x^15 + 12
139,	17,	x^17 + x^16 + 51
139,	18,	x^18 + x^17 + 12
139,	19,	x^19 + x^18 + 13
139,	20,	x^20 + x^19 + x + 85
139,	21,	x^21 + x^20 + x + 20
139,	22,	x^22 + x^21 + 3
139,	23,	x^23 + x^22 + 35
139,	24,	x^24 + x^23 + 108
139,	25,	x^25 + x^24 + 37
139,	26,	x^26 + x^25 + 17
139,	27,	x^27 + x^26 + 66
139,	28,	x^28 + x^27 + 22
139,	29,	x^29 + x^28 + 9
139,	30,	x^30 + x^29 + 109
139,	31,	x^31 + x^30 + 107
139,	32,	x^32 + x^31 + 2*x + 70
149,	2,	x^2 + x + 3
149,	3,	x^3 + x^2 + 2
149,	4,	x^4 + x^3 + 2
149,	5,	x^5 + x^4 + 14
149,	6,	x^6 + x^5 + 51
149,	7,	x^7 + x^6 + 11
149,	8,	x^8 + x^7 + 10
149,	9,	x^9 + x^8 + 3
149,	10,	x^10 + x^9 + 52
149,	11,	x^11 + x^10 + 11
149,	12,	x^12 + x^11 + 34
149,	13,	x^13 + x^12 + 12
149,	14,	x^14 + x^13 + 48
149,	15,	x^15 + x^14 + 117
149,	16,	x^16 + x^15 + 106
149,	17,	x^17 + x^16 + 38
149,	18,	x^18 + x^17 + 58
149,	19,	x^19 + x^18 + 138
149,	20,	x^20 + x^19 + 11
149,	21,	x^21 + x^20 + 21
149,	22,	x^22 + x^21 + 21
149,	23,	x^23 + x^22 + 23
149,	24,	x^24 + x^23 + 134
149,	25,	x^25 + x^24 + 62
149,	26,	x^26 + x^25 + x + 23
149,	27,	x^27 + x^26 + 43
149,	28,	x^28 + x^27 + 79
149,	29,	x^29 + x^28 + 48
149,	30,	x^30 + x^29 + 3
149,	31,	x^31 + x^30 + 40
149,	32,	x^32 + x^31 + x + 137
151,	2,	x^2 + x + 12
151,	3,	x^3 + x^2 + 25
151,	4,	x^4 + x^3 + 7
151,	5,	x^5 + x^4 + 21
151,	6,	x^6 + x^5 + 7
151,	7,	x^7 + x^6 + 11
151,	8,	x^8 + x^7 + 7
151,	9,	x^9 + x^8 + 25
151,	10,	x^10 + x^9 + 51
151,	11,	x^11 + x^10 + 5
151,	12,	x^12 + x^11 + 13
151,	13,	x^13 + x^12 + 34
151,	14,	x^14 + x^13 + 54
151,	15,	x^15 + x^14 + 37
151,	16,	x^16 + x^15 + 111
151,	17,	x^17 + x^16 + 49
151,	18,	x^18 + x^17 + 48
151,	19,	x^19 + x^18 + 97
151,	20,	x^20 + x^19 + 56
151,	21,	x^21 + x^20 + 21
151,	22,	x^22 + 3*x^21 + 141
151,	23,	x^23 + x^22 + 21
151,	24,	x^24 + x^23 + x + 133
151,	25,	x^25 + x^24 + 39
151,	26,	x^26 + 2*x^25 + 117
151,	27,	x^27 + x^26 + 22
151,	28,	x^28 + x^27 + 115
151,	29,	x^29 + x^28 + 49
151,	30,	x^30 + x^29 + 56
151,	31,	x^31 + x^30 + 21
151,	32,	x^32 + x^31 + 56
157,	2,	x^2 + x + 6
157,	3,	x^3 + x^2 + 5
157,	4,	x^4 + x^3 + 15
157,	5,	x^5 + x^4 + 24
157,	6,	x^6 + x^5 + 43
157,	7,	x^7 + x^6 + 5
157,	8,	x^8 + x^7 + 72
157,	9,	x^9 + x^8 + 43
157,	10,	x^10 + x^9 + 26
157,	11,	x^11 + x^10 + 26
157,	12,	x^12 + x^11 + 114
157,	13,	x^13 + x^12 + 18
157,	14,	x^14 + x^13 + 72
157,	15,	x^15 + x^14 + 34
157,	16,	x^16 + x^15 + 20
157,	17,	x^17 + x^16 + 18
157,	18,	x^18 + x^17 + 6
157,	19,	x^19 + x^18 + 53
157,	20,	x^20 + x^19 + 85
157,	21,	x^21 + x^20 + 5
157,	22,	x^22 + x^21 + 34
157,	23,	x^23 + x^22 + 43
157,	24,	x^24 + x^23 + 84
157,	25,	x^25 + x^24 + 18
157,	26,	x^26 + x^25 + 34
157,	27,	x^27 + 2*x^26 + 63
157,	28,	x^28 + x^27 + 139
157,	29,	x^29 + x^28 + 5
157,	30,	x^30 + x^29 + 96
157,	31,	x^31 + 2*x^30 + 62
163,	2,	x^2 + x + 11
163,	3,	x^3 + x^2 + 16
163,	4,	x^4 + x^3 + 3
163,	5,	x^5 + x^4 + 10
163,	6,	x^6 + x^5 + 32
163,	7,	x^7 + x^6 + 62
163,	8,	x^8 + x^7 + 50
163,	9,	x^9 + x^8 + 35
163,	10,	x^10 + x^9 + 44
163,	11,	x^11 + x^10 + 4
163,	12,	x^12 + x^11 + 108
163,	13,	x^13 + x^12 + 39
163,	14,	x^14 + x^13 + 18
163,	15,	x^15 + x^14 + 10
163,	16,	x^16 + 2*x^15 + 137
163,	17,	x^17 + 2*x^16 + 111
163,	18,	x^18 + x^17 + 2
163,	19,	x^19 + x^18 + 15
163,	20,	x^20 + x^19 + 2
163,	21,	x^21 + x^20 + 56
163,	22,	x^22 + 2*x^21 + 72
163,	23,	x^23 + x^22 + 69
163,	24,	x^24 + x^23 + 11
163,	25,	x^25 + 2*x^24 + 113
163,	26,	x^26 + 2*x^25 + 120
163,	27,	x^27 + x^26 + 46
163,	28,	x^28 + 2*x^27 + 117
163,	29,	x^29 + x^28 + 33
163,	30,	x^30 + x^29 + 147
163,	31,	x^31 + x^30 + 43
167,	2,	x^2 + x + 5
167,	3,	x^3 + x^2 + 6
167,	4,	x^4 + x^3 + 20
167,	5,	x^5 + x^4 + 4
167,	6,	x^6 + x^5 + 46
167,	7,	x^7 + x^6 + 6
167,	8,	x^8 + x^7 + 69
167,	9,	x^9 + x^8 + 12
167,	10,	x^10 + x^9 + 70
167,	11,	x^11 + x^10 + 9
167,	12,	x^12 + x^11 + 73
167,	13,	x^13 + x^12 + 62
167,	14,	x^14 + x^13 + x + 71
167,	15,	x^15 + x^14 + 8
167,	16,	x^16 + x^15 + x + 55
167,	17,	x^17 + x^16 + 24
167,	18,	x^18 + x^17 + 68
167,	19,	x^19 + x^18 + 22
167,	20,	x^20 + x^19 + 68
167,	21,	x^21 + x^20 + 8
167,	22,	x^22 + x^21 + 15
167,	23,	x^23 + x^22 + 2
167,	24,	x^24 + x^23 + 159
167,	25,	x^25 + x^24 + 19
167,	26,	x^26 + x^25 + 53
167,	27,	x^27 + x^26 + 19
167,	28,	x^28 + x^27 + x + 151
167,	29,	x^29 + x^28 + 47
167,	30,	x^30 + x^29 + 158
167,	31,	x^31 + x^30 + 97
173,	2,	x^2 + x + 5
173,	3,	x^3 + x^2 + 11
173,	4,	x^4 + x^3 + 5
173,	5,	x^5 + x^4 + 18
173,	6,	x^6 + x^5 + 48
173,	7,	x^7 + x^6 + 11
173,	8,	x^8 + x^7 + 27
173,	9,	x^9 + x^8 + 2
173,	10,	x^10 + x^9 + 2
173,	11,	x^11 + x^10 + 71
173,	12,	x^12 + x^11 + 71
173,	13,	x^13 + x^12 + 8
173,	14,	x^14 + x^13 + 30
173,	15,	x^15 + x^14 + 46
173,	16,	x^16 + x^15 + 59
173,	17,	x^17 + x^16 + 70
173,	18,	x^18 + x^17 + 8
173,	19,	x^19 + x^18 + 28
173,	20,	x^20 + x^19 + 127
173,	21,	x^21 + x^20 + 20
173,	22,	x^22 + x^21 + x + 26
173,	23,	x^23 + x^22 + 2
173,	24,	x^24 + x^23 + 2*x + 161
173,	25,	x^25 + x^24 + 101
173,	26,	x^26 + x^25 + 7
173,	27,	x^27 + x^26 + 12
173,	28,	x^28 + x^27 + 58
173,	29,	x^29 + x^28 + 7
173,	30,	x^30 + x^29 + 143
173,	31,	x^31 + x^30 + 91
179,	2,	x^2 + x + 7
179,	3,	x^3 + x^2 + 14
179,	4,	x^4 + x^3 + 40
179,	5,	x^5 + x^4 + 5
179,	6,	x^6 + x^5 + 10
179,	7,	x^7 + x^6 + 15
179,	8,	x^8 + x^7 + 2
179,	9,	x^9 + x^8 + 3
179,	10,	x^10 + x^9 + 21
179,	11,	x^11 + x^10 + 13
179,	12,	x^12 + x^11 + 54
179,	13,	x^13 + x^12 + 20
179,	14,	x^14 + x^13 + 7
179,	15,	x^15 + x^14 + 42
179,	16,	x^16 + x^15 + 176
179,	17,	x^17 + x^16 + 15
179,	18,	x^18 + x^17 + 118
179,	19,	x^19 + x^18 + 156
179,	20,	x^20 + x^19 + 35
179,	21,	x^21 + x^20 + 17
179,	22,	x^22 + x^21 + 73
179,	23,	x^23 + x^22 + 29
179,	24,	x^24 + x^23 + 3*x + 94
179,	25,	x^25 + x^24 + 17
179,	26,	x^26 + x^25 + x + 55
179,	27,	x^27 + x^26 + 27
179,	28,	x^28 + x^27 + 2*x + 102
179,	29,	x^29 + x^28 + 80
179,	30,	x^30 + x^29 + x + 78
179,	31,	x^31 + x^30 + 168
181,	2,	x^2 + x + 18
181,	3,	x^3 + x^2 + 2
181,	4,	x^4 + x^3 + 2
181,	5,	x^5 + x^4 + 53
181,	6,	x^6 + x^5 + 41
181,	7,	x^7 + x^6 + 28
181,	8,	x^8 + x^7 + 50
181,	9,	x^9 + x^8 + 54
181,	10,	x^10 + x^9 + 103
181,	11,	x^11 + x^10 + 47
181,	12,	x^12 + x^11 + 2
181,	13,	x^13 + x^12 + 58
181,	14,	x^14 + x^13 + 47
181,	15,	x^15 + x^14 + 2
181,	16,	x^16 + x^15 + 21
181,	17,	x^17 + x^16 + 123
181,	18,	x^18 + x^17 + 3*x + 83
181,	19,	x^19 + x^18 + 96
181,	20,	x^20 + x^19 + 157
181,	21,	x^21 + x^20 + 23
181,	22,	x^22 + x^21 + 21
181,	23,	x^23 + x^22 + 2
181,	24,	x^24 + x^23 + x + 58
181,	25,	x^25 + 2*x^24 + 57
181,	26,	x^26 + x^25 + 103
181,	27,	x^27 + 2*x^26 + 134
181,	28,	x^28 + x^27 + 69
181,	29,	x^29 + x^28 + 91
181,	30,	x^30 + x^29 + 90
181,	31,	x^31 + x^30 + 84
191,	2,	x^2 + x + 19
