p,	poly,	modulus
2!,	x^26 + (a^5 + a^4 + a^3 + a^2)*x^25 + (a^4 + a^2)*x^24 + (a^5 + a^2)*x^23 + (a^6 + a^5 + a^4 + a^2)*x^22 + (a^6 + a^5 + a^4 + a^3 + a^2 + a + 1)*x^21 + (a^6 + a^3 + a^2 + a)*x^20 + (a^6 + a^5 + a^3 + a^2 + a + 1)*x^19 + (a^5 + a^2)*x^18 + (a^6 + a^4 + a^3 + a^2 + 1)*x^17 + (a^6 + a^5 + a^4 + a^3)*x^16 + (a^6 + a^5 + a^4 + a^3 + a^2 + a + 1)*x^15 + (a^4 + 1)*x^14 + (a^6 + 1)*x^13 + (a^6 + a^5 + a^4 + a^2 + 1)*x^12 + (a^6 + a^5 + a^4 + a^3 + a^2 + a)*x^11 + (a^6 + a^3 + a^2 + a + 1)*x^10 + (a^5 + a^2 + a + 1)*x^9 + (a^5 + a^4 + a^3 + a + 1)*x^8 + (a^6 + a^4 + a^2 + 1)*x^7 + (a^6 + a^4 + a)*x^6 + (a^5 + a^4 + a^3 + a)*x^5 + (a^6 + a^5 + a^4 + a^2 + 1)*x^4 + (a^6 + a^4 + a^3 + a + 1)*x^3 + (a^5 + a^4)*x^2 + (a^2 + 1)*x + a^6 + a^3 + a^2 + a + 1,	a^7 + a + 1
3!,	x^26 + (a^5 + a)*x^25 + (2*a^6 + 2*a^5 + 2*a^3 + a^2 + a)*x^24 + (a^6 + 2*a^5 + a^3 + a + 2)*x^23 + (a^6 + a)*x^22 + (a^6 + 2*a^5 + 2*a^4 + 2*a^3)*x^21 + (2*a^5 + a^4 + a^2 + 2)*x^20 + (a^6 + 2*a^5 + 2*a^2)*x^19 + (a^6 + 2*a^5 + a^4 + a^2 + a + 2)*x^18 + (a^6 + a^3 + 2*a + 2)*x^17 + (a^6 + a^5 + a^4 + 2*a^2 + a + 2)*x^16 + (a^4 + a^3 + 2*a^2)*x^15 + (2*a^6 + a^5 + 2*a^4 + a^3)*x^14 + (2*a^6 + 2*a^4 + 2*a^3 + a^2 + 2*a + 1)*x^13 + (2*a^5 + 2*a^3 + 2*a^2 + 2)*x^12 + (a^6 + 2*a^5 + a^2 + 1)*x^11 + (2*a^6 + a^5 + a^4 + a^3 + a + 1)*x^10 + (a^6 + 2*a^3 + 2*a^2 + 1)*x^9 + (2*a^5 + a^4 + 2*a)*x^8 + (a^5 + a^4 + a^3 + a^2 + 1)*x^7 + (2*a^6 + a^5 + a^4 + 2*a^3 + a)*x^6 + (2*a^5 + a^2 + 2*a)*x^5 + (2*a^6 + a^5 + a^4 + 2*a^2)*x^4 + (2*a^4 + a + 2)*x^3 + (2*a^6 + a^4 + a^2 + a)*x^2 + (a^6 + a^5 + 2*a^4 + a^3 + 2*a + 1)*x + 2*a^5 + a^4 + a^3 + a + 1,	a^7 + 2*a^2 + 1
5!,	x^26 + (3*a^6 + 3*a^5 + 2*a^4 + 2*a^2 + 4*a + 3)*x^25 + (2*a^6 + 2*a^5 + 3*a^4 + 3*a^2 + a + 2)*x^24 + (2*a^4 + 2*a^3 + 2*a^2 + 4*a + 4)*x^23 + (a^6 + 4*a^5 + 4*a^4 + 2*a^3 + 4*a^2 + 4)*x^22 + (a^6 + 3*a^5 + 2*a^4 + a^3 + 2*a^2 + 2*a + 1)*x^21 + (3*a^6 + a^5 + 2*a^4 + 4*a + 1)*x^20 + (a^6 + 3*a^4 + 3*a^3 + a^2 + 4)*x^19 + (3*a^5 + a^4 + 3*a + 3)*x^18 + (a^6 + 3*a^4 + a^2 + 3*a + 1)*x^17 + (2*a^6 + 3*a^5 + 3*a^3 + 3*a^2 + 2*a + 2)*x^16 + (2*a^6 + 2*a^5 + 2*a^4 + 2*a^2 + 2*a)*x^15 + (3*a^6 + 4*a^5 + 4*a^4 + 4*a^3 + 4*a + 1)*x^14 + (4*a^6 + 3*a^5 + 4*a^4 + 4*a^3 + 2*a + 4)*x^13 + (a^6 + 3*a^4 + a^3 + a + 4)*x^12 + (a^6 + 3*a^5 + 2*a^4 + 2*a^3 + a + 2)*x^11 + (4*a^6 + 4*a^5 + 3*a^3 + a^2 + 3*a + 4)*x^10 + (3*a^6 + a^4 + 3*a^3 + 2*a^2 + a + 3)*x^9 + (2*a^6 + 2*a^5 + a^3 + 3*a^2 + a)*x^8 + (2*a^6 + 3*a^5 + 3*a^4 + 4*a^3 + 4*a^2 + a + 2)*x^7 + (4*a^6 + 3*a^5 + a^4 + 3*a^3 + a^2 + a + 1)*x^6 + (4*a^5 + 4*a^4 + 2*a^2 + 4*a + 1)*x^5 + (3*a^4 + a^2 + 4*a)*x^4 + (a^5 + 3*a^4 + 4*a^3 + a^2 + 4*a + 4)*x^3 + (2*a^6 + 2*a^5 + 3*a^2 + 4*a)*x^2 + (a^6 + 4*a^5 + 4*a^3 + 2*a^2 + 4*a + 1)*x + 3*a^6 + 4*a^5 + 2*a^4 + 3*a^3 + 3*a^2 + 2*a + 4,	a^7 + 3*a + 3
