p,	poly,	modulus
2,	x^24 + x^23 + a*x^2 + x + a^2,	a^3 + a + 1
3,	x^24 + x^23 + a*x + a^2 + 1,	a^3 + 2*a + 1
5,	x^24 + x^23 + x + 3*a + 3,	a^3 + 3*a + 3
7,	x^24 + x^23 + 2*a,	a^3 + 6*a^2 + 4
11,	x^24 + x^23 + 8*a^2 + 5,	a^3 + 2*a + 9
13,	x^24 + x^23 + 2*a^2 + 1,	a^3 + 2*a + 11
17,	x^24 + x^23 + 6*a + 4,	a^3 + a + 14
19,	x^24 + x^23 + 18*a + 4,	a^3 + 4*a + 17
23,	x^24 + x^23 + 8*a,	a^3 + 2*a + 18
29,	x^24 + x^23 + 5*a,	a^3 + 2*a + 27
31,	x^24 + x^23 + 8*a,	a^3 + a + 28
37,	x^24 + x^23 + 34*a,	a^3 + 6*a + 35
41,	x^24 + x^23 + 18*a + 3,	a^3 + a + 35
43,	x^24 + x^23 + 10*a,	a^3 + a + 40
47,	x^24 + x^23 + 15*a + 1,	a^3 + 3*a + 42
53,	x^24 + x^23 + 31*a + 1,	a^3 + 3*a + 51
59,	x^24 + x^23 + 46*a + 2,	a^3 + 5*a + 57
61,	x^24 + x^23 + 39*a,	a^3 + 7*a + 59
67,	x^24 + x^23 + 24*a,	a^3 + 6*a + 65
