p,	poly,	modulus
2!,	x^30 + a*x^29 + (a^2 + a + 1)*x^28 + a*x^27 + (a^3 + a)*x^26 + (a^2 + 1)*x^25 + (a^3 + a + 1)*x^24 + x^23 + (a^2 + 1)*x^22 + (a^2 + a)*x^21 + (a^3 + a)*x^19 + (a^3 + a + 1)*x^18 + (a^2 + a + 1)*x^17 + x^16 + (a^3 + a^2)*x^15 + (a^2 + a + 1)*x^14 + (a^3 + a^2)*x^13 + (a^3 + a + 1)*x^12 + (a^2 + a + 1)*x^11 + (a^2 + a)*x^10 + (a^3 + a^2 + a + 1)*x^9 + a^2*x^8 + (a^3 + a^2 + a)*x^7 + (a^3 + a + 1)*x^6 + (a^3 + a)*x^5 + x^4 + a*x^3 + x^2 + a*x + a,	a^4 + a + 1
3!,	x^30 + (2*a^3 + a^2)*x^29 + (2*a^3 + 2*a + 2)*x^28 + (2*a^2 + a + 2)*x^27 + (a^2 + 2*a + 1)*x^25 + 2*a*x^24 + (2*a^3 + 1)*x^23 + (a^3 + a^2 + 2*a + 1)*x^22 + (a^2 + 2*a)*x^21 + (2*a^2 + 2*a + 1)*x^20 + (2*a + 1)*x^19 + (a^3 + a + 2)*x^18 + (2*a + 2)*x^17 + (2*a^3 + a^2 + 2*a + 1)*x^16 + (a^3 + a^2 + 2*a + 2)*x^15 + (a^3 + a^2 + 2)*x^14 + (2*a^3 + a^2 + a + 2)*x^13 + (a^3 + a^2 + a)*x^12 + (2*a + 2)*x^11 + (2*a^3 + 2*a^2 + 2)*x^10 + (a^3 + 2*a^2 + a)*x^9 + (a^3 + 2*a^2 + a + 1)*x^8 + (a^3 + a^2 + a + 2)*x^7 + (2*a^2 + 1)*x^6 + (2*a^3 + a^2 + a)*x^5 + (2*a^3 + 2*a^2 + 2*a)*x^4 + (a^3 + 2)*x^3 + 2*a^2*x^2 + (a^3 + a^2)*x + a^3 + a^2 + 1,	a^4 + 2*a^3 + 2
5!,	x^30 + (3*a^3 + 3*a^2 + 3)*x^29 + (3*a^2 + a + 4)*x^28 + (2*a^3 + a)*x^27 + (a^2 + a + 2)*x^26 + (3*a^3 + 2*a^2 + 3*a + 1)*x^25 + (a^3 + 3*a^2 + 1)*x^24 + (2*a^3 + 4*a + 4)*x^23 + (a^3 + 3*a^2 + 2*a)*x^22 + (a^3 + 3*a^2 + 2*a + 3)*x^21 + (4*a^3 + 4*a^2 + a + 4)*x^20 + (4*a^3 + a^2 + 3*a + 1)*x^19 + (3*a^3 + 3*a + 3)*x^18 + (2*a^3 + 4*a^2 + 4*a + 2)*x^17 + (4*a^3 + 2*a^2 + 3*a + 4)*x^16 + (a^3 + a^2 + 2*a + 2)*x^15 + (2*a^2 + 2*a)*x^14 + (4*a^3 + 3*a^2 + 4)*x^13 + (a^3 + 3*a^2 + a + 4)*x^12 + (2*a^3 + 3*a^2 + 3)*x^11 + (3*a^3 + a^2 + 2*a)*x^10 + (4*a^3 + 3*a)*x^9 + (3*a^3 + 2*a + 3)*x^8 + (2*a^3 + a^2 + a + 3)*x^7 + (2*a^3 + 2*a^2 + 4*a + 4)*x^6 + (3*a^3 + 2*a^2)*x^5 + (3*a^3 + 3*a^2 + 4*a + 3)*x^4 + (3*a^3 + 4*a^2 + 2*a + 2)*x^3 + (2*a^2 + a + 3)*x^2 + (4*a^3 + 3*a^2 + 3*a + 1)*x + 3*a^3 + a^2 + 2*a + 1,	a^4 + 4*a^2 + 4*a + 2
7!,	x^30 + (5*a^3 + 3*a + 5)*x^29 + (3*a^3 + 4*a^2 + a + 3)*x^28 + (5*a^3 + 4*a^2 + 6*a + 6)*x^27 + (4*a^3 + a^2 + 6)*x^26 + (6*a^3 + 2*a^2 + 3*a + 2)*x^25 + (a^3 + 6*a^2 + 3*a + 6)*x^24 + (3*a^3 + 5*a^2 + 3*a + 2)*x^23 + (5*a^3 + a^2 + 3*a + 5)*x^22 + (6*a^3 + 5*a^2 + 3*a + 1)*x^21 + (6*a^3 + a)*x^20 + (3*a^3 + 2*a^2 + 3)*x^19 + (a^3 + 2*a^2 + 5*a + 6)*x^18 + 4*x^17 + (5*a^3 + 6*a^2 + a + 6)*x^16 + (4*a^3 + 3*a^2 + 4*a + 3)*x^15 + (4*a^3 + 5*a^2 + 6)*x^14 + (4*a^3 + 5*a^2 + 5*a + 6)*x^13 + (5*a^3 + 5*a^2 + 5*a + 5)*x^12 + (2*a^3 + 6*a^2)*x^11 + (5*a^3 + 5*a^2 + 2*a)*x^10 + (6*a^3 + 6*a^2 + 5*a + 6)*x^9 + (5*a^3 + a^2 + 6*a + 6)*x^8 + (4*a^3 + a^2 + a + 1)*x^7 + (6*a^3 + 4*a^2 + 3*a + 3)*x^6 + (3*a^3 + 3*a^2 + 2*a)*x^5 + (2*a^2 + 4*a + 2)*x^4 + (6*a^3 + 2*a^2 + 5*a + 4)*x^3 + (6*a^3 + a^2 + 2*a)*x^2 + (6*a^3 + 2*a^2 + 5)*x + 6*a^3 + a^2 + 3*a + 2,	a^4 + 5*a^2 + 4*a + 3
11!,	x^30 + (a^3 + 5*a^2 + 10)*x^29 + (a^3 + 5*a^2 + 2*a + 9)*x^28 + (a^3 + 9*a^2 + 2*a + 6)*x^27 + (7*a^3 + 3*a^2 + 8*a + 2)*x^26 + (2*a^3 + 2*a^2 + 9*a + 4)*x^25 + (a^3 + 4*a^2 + 7*a + 7)*x^24 + (a^3 + 4*a^2 + 9*a + 3)*x^23 + (10*a^3 + 5*a^2 + 9*a + 6)*x^22 + (3*a^2 + 10*a + 8)*x^21 + (9*a^3 + 6*a^2 + 9*a + 2)*x^20 + (5*a^3 + a^2 + 5*a)*x^19 + (a^3 + 10*a^2 + 2*a + 7)*x^18 + (2*a^3 + 2*a^2 + 8)*x^17 + (a^3 + 5*a^2 + 6)*x^16 + (6*a^3 + 10*a^2 + 2*a + 4)*x^15 + (5*a^3 + a^2 + 6*a + 8)*x^14 + (9*a^3 + 8*a^2 + 10*a)*x^13 + (4*a^3 + 7*a + 1)*x^12 + (5*a^3 + 10*a + 8)*x^11 + (7*a^3 + 6*a^2 + 9*a + 1)*x^10 + (6*a^3 + 9*a^2 + 10)*x^9 + (4*a^3 + 3*a + 10)*x^8 + (5*a^3 + 10*a^2 + 4*a + 8)*x^7 + (5*a^3 + 5*a^2 + a + 3)*x^6 + (4*a^3 + 3*a^2 + 6*a + 7)*x^5 + (10*a^3 + 10*a^2 + 3*a + 4)*x^4 + (9*a^3 + 8*a + 5)*x^3 + (9*a^3 + 6*a^2 + 2*a + 3)*x^2 + (4*a^3 + 4*a^2 + 5*a + 3)*x + 3*a^3 + a^2 + 3*a,	a^4 + 8*a^2 + 10*a + 2
13!,	x^30 + (10*a^3 + 10*a^2 + 11*a + 10)*x^29 + (2*a^3 + 7*a^2 + 12*a + 6)*x^28 + (6*a^3 + 3*a^2 + 12*a + 8)*x^27 + (2*a^3 + 5*a^2 + 3)*x^26 + (4*a^3 + 9*a^2 + 8*a + 12)*x^25 + (8*a^3 + 10*a^2 + a + 11)*x^24 + (7*a^3 + 7*a^2 + a)*x^23 + (5*a^3 + 4*a^2 + 10*a + 10)*x^22 + (10*a^3 + 10*a^2 + 4*a + 6)*x^21 + (5*a^3 + 6*a^2 + 7*a + 8)*x^20 + (12*a^2 + 8*a)*x^19 + (6*a^3 + 12*a^2 + a + 10)*x^18 + (11*a^3 + 10*a^2 + 10*a + 2)*x^17 + (a^3 + 12*a^2 + 4*a + 3)*x^16 + (11*a^3 + 9*a^2 + 6*a + 9)*x^15 + (8*a^3 + 5*a^2 + 2*a + 3)*x^14 + (10*a^3 + 5*a^2 + 6*a + 12)*x^13 + (12*a^3 + a^2 + 4*a + 3)*x^12 + (11*a^3 + 9*a^2 + 11*a + 10)*x^11 + (10*a^3 + 5*a^2 + 2*a + 10)*x^10 + (10*a^3 + a^2 + 6)*x^9 + (9*a^3 + 3*a^2 + 5*a + 4)*x^8 + (7*a^3 + 11*a^2 + 6*a + 5)*x^7 + (10*a^3 + 4*a^2 + 11*a + 2)*x^6 + (10*a^3 + 8*a^2 + 9*a + 2)*x^5 + (5*a^3 + 9*a^2 + 8*a + 1)*x^4 + (3*a^3 + 5*a^2 + 12*a + 3)*x^3 + (2*a^3 + 7*a^2 + 10*a)*x^2 + (7*a^3 + 5*a^2 + 6*a + 4)*x + 12*a^3 + 4*a^2 + 2*a + 1,	a^4 + 3*a^2 + 12*a + 2
17!,	x^30 + (11*a^3 + 7*a^2 + 2*a + 13)*x^29 + (5*a^3 + a^2 + 8*a + 9)*x^28 + (2*a^3 + 15*a + 7)*x^27 + (6*a^3 + 4*a^2 + 3*a + 6)*x^26 + (5*a^3 + 8*a^2 + 7*a + 9)*x^25 + (15*a^3 + 5*a^2 + 8*a + 11)*x^24 + (11*a^3 + 6*a^2 + 2*a + 1)*x^23 + (a^3 + 14*a + 2)*x^22 + (2*a^3 + 16*a^2 + 10*a + 8)*x^21 + (5*a^3 + 10*a^2 + 6)*x^20 + (15*a^3 + 2*a^2 + 4*a + 2)*x^19 + (8*a^3 + 16*a^2 + 8*a)*x^18 + (9*a^3 + 5*a^2 + a + 12)*x^17 + (11*a^3 + 6*a^2 + 15*a + 10)*x^16 + (8*a^3 + 3*a^2 + 10*a + 16)*x^15 + (a^3 + 7*a^2 + 13*a + 15)*x^14 + (16*a^3 + 7*a^2 + 9*a)*x^13 + (7*a^3 + 6*a^2 + a + 7)*x^12 + (7*a^3 + 8*a^2 + 11*a + 9)*x^11 + (10*a^3 + 7*a^2 + 16*a + 16)*x^10 + (2*a^3 + 13*a^2 + 12*a + 11)*x^9 + (9*a^3 + 14*a^2 + 15*a + 3)*x^8 + (15*a^3 + 2*a^2 + 16*a + 11)*x^7 + (7*a^3 + 16*a^2 + 4*a + 15)*x^6 + (13*a^3 + 3*a^2 + 12*a + 8)*x^5 + (4*a^3 + 7*a^2 + 14*a + 4)*x^4 + (a^3 + 8*a^2 + 14*a + 6)*x^3 + (5*a^3 + 14*a^2 + 7*a + 3)*x^2 + (7*a^2 + 12*a + 14)*x + 3*a^3 + 4*a^2 + 12*a + 14,	a^4 + 7*a^2 + 10*a + 3
19!,	x^30 + (2*a^2 + 17*a + 13)*x^29 + (2*a^3 + 8*a^2 + a + 1)*x^28 + (15*a^3 + 10*a^2 + 12*a + 6)*x^27 + (16*a^3 + 10*a^2 + 6*a)*x^26 + (9*a^3 + a^2 + 6*a + 18)*x^25 + (a^3 + 4*a^2 + 6*a + 8)*x^24 + (12*a^3 + 12*a^2 + 15*a + 18)*x^23 + (5*a^3 + 5*a^2 + 6*a + 16)*x^22 + (17*a^3 + 3*a^2 + a + 12)*x^21 + (8*a^3 + 12*a^2 + 7*a + 13)*x^20 + (7*a^3 + 8*a^2 + 7*a + 6)*x^19 + (5*a^3 + 12*a^2 + 17*a + 12)*x^18 + (12*a^3 + 9*a^2 + 10*a + 1)*x^17 + (11*a^3 + 12*a^2 + 16*a + 6)*x^16 + (14*a^3 + 15*a^2 + 9*a + 18)*x^15 + (14*a^3 + 15*a^2 + 5*a + 5)*x^14 + (12*a^3 + 15*a^2 + 4*a + 8)*x^13 + (10*a^3 + 2*a^2 + 4*a + 8)*x^12 + (12*a^3 + 8*a^2 + 6*a)*x^11 + (7*a^3 + 7*a^2 + 13*a + 11)*x^10 + (7*a^3 + a^2 + 15*a + 3)*x^9 + (16*a^3 + 14*a^2 + 6*a + 15)*x^8 + (13*a^3 + 12*a^2 + 13)*x^7 + (15*a^3 + 3*a^2 + 13*a + 17)*x^6 + (15*a^3 + 17*a^2 + 11*a)*x^5 + (10*a^3 + 16*a^2 + 17*a + 10)*x^4 + (a^3 + 7*a^2 + 17*a + 3)*x^3 + (4*a^3 + 14*a^2 + 10*a + 9)*x^2 + (12*a^3 + 18*a^2 + 9*a + 9)*x + 13*a^3 + 2*a^2 + a + 9,	a^4 + 2*a^2 + 11*a + 2
23!,	x^30 + (22*a^3 + 2*a^2 + 16*a + 7)*x^29 + (7*a^3 + 12*a^2 + 15*a + 1)*x^28 + (8*a^3 + 17*a^2 + 22*a + 17)*x^27 + (6*a^3 + 15*a^2 + 17*a + 19)*x^26 + (17*a^3 + 22*a^2 + 11*a + 14)*x^25 + (4*a^3 + 14*a^2 + 12*a + 22)*x^24 + (7*a^3 + 11*a^2 + 2*a + 18)*x^23 + (a^3 + 8*a^2 + 9*a + 4)*x^22 + (8*a^3 + 3*a^2 + 14*a + 11)*x^21 + (15*a^3 + 18*a^2 + 7*a + 7)*x^20 + (4*a^3 + 18*a^2 + 12*a + 10)*x^19 + (13*a^3 + 3*a^2 + 7*a + 17)*x^18 + (7*a^2 + 2*a + 13)*x^17 + (21*a^3 + 14*a^2 + 7*a + 3)*x^16 + (6*a^3 + 12*a^2 + 17*a + 9)*x^15 + (17*a^3 + 13*a^2 + 4*a + 3)*x^14 + (11*a^3 + 4*a^2 + a + 12)*x^13 + (9*a^3 + 17*a^2 + 18*a + 20)*x^12 + (17*a^3 + 12*a^2 + 21*a + 7)*x^11 + (20*a^3 + 11*a^2 + 9*a + 22)*x^10 + (4*a^3 + 8*a^2 + 17*a + 16)*x^9 + (12*a^3 + 3*a + 1)*x^8 + (3*a^3 + 19*a^2 + 9*a + 13)*x^7 + (22*a^3 + 20*a^2 + 20*a + 19)*x^6 + (3*a^3 + 13*a^2 + 20*a + 7)*x^5 + (5*a^3 + 22*a^2 + 18*a + 14)*x^4 + (12*a^3 + 17*a^2)*x^3 + (18*a^3 + 7*a^2 + 18*a + 22)*x^2 + (11*a^3 + a^2 + 3*a + 9)*x + 22*a^3 + 11*a^2 + 6*a + 1,	a^4 + 3*a^2 + 19*a + 5
29!,	x^30 + (9*a^3 + 13*a^2 + 10)*x^29 + (20*a^3 + 16*a^2 + 12*a + 8)*x^28 + (4*a^3 + 8*a^2 + 24*a + 15)*x^27 + (19*a^3 + 19*a^2 + 10*a + 13)*x^26 + (10*a^3 + 12*a^2 + 24)*x^25 + (14*a^3 + 12*a^2 + 15)*x^24 + (25*a^3 + 11*a^2 + 13*a + 24)*x^23 + (20*a^3 + 19*a^2 + 11*a + 27)*x^22 + (12*a^3 + 25*a^2 + 25*a + 25)*x^21 + (22*a^2 + 10*a + 12)*x^20 + (13*a^2 + 15*a + 20)*x^19 + (17*a^3 + 17*a^2 + 20*a + 23)*x^18 + (25*a^3 + 12*a^2 + 9*a + 10)*x^17 + (8*a^3 + 25*a^2 + 13*a + 17)*x^16 + (5*a^3 + 27*a^2 + 21*a + 10)*x^15 + (5*a^3 + 25*a^2 + 8*a + 4)*x^14 + (7*a^3 + 4*a^2 + 19*a + 12)*x^13 + (2*a^3 + 14*a^2 + 28*a + 16)*x^12 + (4*a^3 + 8*a^2 + 24*a + 23)*x^11 + (8*a^3 + 16*a^2 + 4*a + 8)*x^10 + (9*a^3 + 7*a^2 + 4*a + 15)*x^9 + (19*a^3 + 22*a^2 + 16*a + 18)*x^8 + (7*a^3 + 28*a^2 + 15*a + 2)*x^7 + (3*a^3 + 3*a^2 + 18*a + 23)*x^6 + (28*a^3 + a^2 + 15*a + 23)*x^5 + (2*a^3 + 18*a^2 + 3*a + 19)*x^4 + (13*a^3 + 5*a^2 + 15*a + 20)*x^3 + (2*a^2 + 9*a + 9)*x^2 + (24*a^3 + 7*a^2 + 4*a + 18)*x + 16*a^3 + 20*a^2 + 5*a + 9,	a^4 + 2*a^2 + 15*a + 2
