p,	poly,	modulus
2,	x^14 + x^13 + a*x^2 + a + 1,	a^2 + a + 1
3,	x^14 + x^13 + a*x + 2*a,	a^2 + 2*a + 2
5,	x^14 + x^13 + x + a,	a^2 + 4*a + 2
7,	x^14 + x^13 + 2*x + a + 5,	a^2 + 6*a + 3
11,	x^14 + a*x^13 + 6*a + 9,	a^2 + 7*a + 2
13,	x^14 + x^13 + 4*a,	a^2 + 12*a + 2
17,	x^14 + x^13 + 9*a,	a^2 + 16*a + 3
19,	x^14 + x^13 + 9*a,	a^2 + 18*a + 2
23,	x^14 + x^13 + a,	a^2 + 21*a + 5
29,	x^14 + x^13 + a,	a^2 + 24*a + 2
31,	x^14 + x^13 + 5*a,	a^2 + 29*a + 3
37,	x^14 + x^13 + 2*a + 6,	a^2 + 33*a + 2
41,	x^14 + x^13 + 33*a,	a^2 + 38*a + 6
43,	x^14 + x^13 + 7*a,	a^2 + 42*a + 3
47,	x^14 + x^13 + a + 3,	a^2 + 45*a + 5
53,	x^14 + x^13 + 5*a,	a^2 + 49*a + 2
59,	x^14 + x^13 + 10*a,	a^2 + 58*a + 2
61,	x^14 + x^13 + 12*a,	a^2 + 60*a + 2
67,	x^14 + x^13 + 7*a,	a^2 + 63*a + 2
71,	x^14 + x^13 + 29*a,	a^2 + 69*a + 7
73,	x^14 + x^13 + 13*a,	a^2 + 70*a + 5
79,	x^14 + x^13 + 9*a,	a^2 + 78*a + 3
83,	x^14 + x^13 + 10*a,	a^2 + 82*a + 2
89,	x^14 + x^13 + 23*a,	a^2 + 82*a + 3
97,	x^14 + x^13 + 45*a,	a^2 + 96*a + 5
101,	x^14 + x^13 + 15*a,	a^2 + 97*a + 2
103,	x^14 + x^13 + 85*a,	a^2 + 102*a + 5
107,	x^14 + x^13 + 14*a,	a^2 + 103*a + 2
109,	x^14 + x^13 + 15*a,	a^2 + 108*a + 6
113,	x^14 + x^13 + 81*a,	a^2 + 101*a + 3
127,	x^14 + x^13 + 19*a,	a^2 + 126*a + 3
131,	x^14 + x^13 + 2*a,	a^2 + 127*a + 2
137,	x^14 + x^13 + 29*a,	a^2 + 131*a + 3
139,	x^14 + x^13 + 75*a,	a^2 + 138*a + 2
149,	x^14 + x^13 + 2*a,	a^2 + 145*a + 2
151,	x^14 + x^13 + 67*a,	a^2 + 149*a + 6
157,	x^14 + x^13 + 29*a,	a^2 + 152*a + 5
163,	x^14 + x^13 + 19*a,	a^2 + 159*a + 2
167,	x^14 + x^13 + 3*a,	a^2 + 166*a + 5
173,	x^14 + x^13 + 15*a,	a^2 + 169*a + 2
179,	x^14 + x^13 + 18*a,	a^2 + 172*a + 2
181,	x^14 + x^13 + 7*a,	a^2 + 177*a + 2
191,	x^14 + x^13 + 4*a,	a^2 + 190*a + 19
193,	x^14 + x^13 + 64*a,	a^2 + 192*a + 5
