p,	poly,	modulus
2!,	x^22 + (a^5 + a^2)*x^21 + (a^3 + 1)*x^20 + (a^5 + a^4 + a^2 + a + 1)*x^19 + (a^5 + a^4 + a^3 + a^2 + a + 1)*x^18 + (a^5 + a^4 + 1)*x^17 + (a^5 + a^4 + a^3 + a + 1)*x^16 + (a^4 + a)*x^15 + (a^4 + a^2 + a)*x^14 + (a^5 + a^2 + 1)*x^13 + (a^4 + a^3)*x^12 + (a^3 + a^2 + 1)*x^11 + (a^5 + a + 1)*x^10 + (a + 1)*x^9 + (a^2 + 1)*x^8 + (a^5 + a^3 + a)*x^7 + (a^3 + a^2 + 1)*x^6 + (a^4 + a^3 + a + 1)*x^5 + (a^5 + a^4 + a^3 + a)*x^4 + (a^5 + a^4 + a^3 + a^2 + a)*x^3 + (a^5 + a + 1)*x^2 + (a^5 + a^4 + a)*x + a^5 + a^4 + a,	a^6 + a^4 + a^3 + a + 1
3!,	x^22 + (a^5 + a^4 + 2*a^3 + a^2 + 2*a + 2)*x^21 + (2*a^4 + 2*a^3 + 2*a)*x^20 + (2*a^5 + 2*a + 1)*x^19 + (2*a^4 + a^3 + 2*a + 2)*x^18 + (a^5 + 2*a^4 + a^3 + a^2 + 2*a)*x^17 + (2*a^5 + 2*a^4 + 2*a^3 + a + 1)*x^16 + (a^3 + 2*a^2)*x^15 + (2*a^3 + 2*a^2 + a)*x^14 + (a^5 + 2*a^2 + a + 1)*x^13 + (2*a^5 + 2*a^4 + 2*a^2 + a + 2)*x^12 + (2*a^5 + a^3 + 2*a^2 + a)*x^11 + (a^4 + a^3 + 2*a^2 + a + 2)*x^10 + (2*a^4 + a^3 + a^2 + a + 2)*x^9 + (2*a^4 + 2*a^3 + a^2 + 2*a)*x^8 + (2*a^3 + a^2 + a + 2)*x^7 + (a^4 + 2)*x^6 + (a^5 + 2*a^4 + 2*a^2 + a + 1)*x^5 + (2*a^5 + 2*a^4 + 2*a^3 + 2*a^2 + a + 2)*x^4 + (2*a^5 + a^2 + a)*x^3 + (2*a^5 + a^4 + 2*a^3 + 1)*x^2 + (a^4 + a^3)*x + a^5 + a^3 + 2*a^2 + 2*a,	a^6 + 2*a^4 + a^2 + 2*a + 2
5!,	x^22 + (4*a^5 + 2*a^4 + a^3 + 2*a^2 + 3*a + 4)*x^21 + (a^5 + 3*a^4 + 3*a^3 + 3*a + 2)*x^20 + (a^5 + 2*a^3 + 3)*x^19 + (2*a^5 + 3*a^3 + 4*a^2 + a + 4)*x^18 + (2*a^4 + a^3 + 3*a + 1)*x^17 + (3*a^5 + 4*a^4 + a^3 + a^2 + 4*a + 1)*x^16 + (2*a^5 + 4*a^4 + 2*a^3 + 2*a)*x^15 + (4*a^5 + 2*a^3 + 4*a^2 + 1)*x^14 + (4*a^5 + 4*a^4 + a^2 + 1)*x^13 + (4*a^5 + 4*a^4 + 3*a^3 + 4*a^2 + 2*a)*x^12 + (4*a^4 + 4*a^3 + 4*a + 3)*x^11 + (2*a^5 + 2*a^4 + 4*a^3 + 2)*x^10 + (2*a^4 + 2*a^3 + a^2 + 4)*x^9 + (2*a^3 + 3*a^2 + 4*a + 2)*x^8 + (4*a^5 + 2*a^4 + a^3 + 2*a^2 + a + 3)*x^7 + (a^5 + 4*a^4 + 4*a^3 + a^2 + 1)*x^6 + (2*a^4 + a^3 + 2*a^2 + a + 1)*x^5 + (2*a^5 + 3*a^4 + 2*a^3 + 2*a^2 + 3*a)*x^4 + (4*a^5 + 2*a^4 + a^3 + a^2 + 4*a + 1)*x^3 + (4*a^5 + a^4 + 3*a + 1)*x^2 + (a^5 + 2*a^4 + 3*a^3 + 2*a + 3)*x + 4*a^4 + 4*a^2 + a + 2,	a^6 + a^4 + 4*a^3 + a^2 + 2
7!,	x^22 + (3*a^5 + 3*a^3 + 3*a^2 + 4*a + 1)*x^21 + (3*a^5 + 4*a^3 + 2*a^2 + 2*a + 2)*x^20 + (a^5 + 3*a^4 + 2*a^3 + 3*a^2 + 5*a + 1)*x^19 + (6*a^5 + 5*a^4 + 4*a^3 + 3*a + 1)*x^18 + (2*a^5 + 3*a^4 + 4*a^3 + 4*a^2 + 3*a + 2)*x^17 + (3*a^5 + 6*a^4 + 6*a^3 + 6*a^2 + a + 3)*x^16 + (2*a^5 + 3*a^4 + 5*a^3 + 4*a^2 + 2*a + 4)*x^15 + (6*a^5 + a^4 + 3*a)*x^14 + (6*a^5 + 4*a^4 + 2*a^3 + 5*a^2 + 3*a + 1)*x^13 + (6*a^5 + 3*a^4 + 6*a^3 + 4*a^2 + 4*a + 4)*x^12 + (5*a^5 + a^2 + a)*x^11 + (5*a^5 + 4*a^4 + 5*a^2 + a + 2)*x^10 + (3*a^5 + 3*a^3 + 6*a^2 + 5*a)*x^9 + (4*a^5 + 2*a^4 + a^3 + a^2 + 4*a + 3)*x^8 + (2*a^5 + 6*a^4 + 3*a^3 + 2*a^2 + 3*a + 2)*x^7 + (a^5 + 3*a^4 + 5*a^3 + 5*a + 2)*x^6 + (a^5 + a^4 + 3*a^3 + 3*a^2 + 2*a + 2)*x^5 + (a^5 + 5*a^4 + 4*a^3 + 5*a^2)*x^4 + (2*a^4 + 6*a^3 + 6*a^2 + 2*a + 5)*x^3 + (2*a^4 + 3*a^3 + 3*a^2 + 5*a)*x^2 + (2*a^4 + a^2 + a + 4)*x + 4*a^4 + a^3 + a^2 + 5,	a^6 + a^4 + 5*a^3 + 4*a^2 + 6*a + 3
