p,	poly,	modulus
2!,	x^24 + (a^4 + a^3 + a + 1)*x^23 + (a^4 + a)*x^22 + (a^4 + a^2 + a + 1)*x^21 + (a^4 + a^3 + a^2 + a)*x^20 + a*x^19 + (a^4 + a^3 + a)*x^18 + (a^4 + a^3 + a^2 + a)*x^17 + (a^4 + a^2 + 1)*x^16 + a^2*x^15 + (a + 1)*x^14 + (a^3 + a)*x^13 + (a^3 + a^2)*x^12 + x^11 + (a^3 + a^2)*x^10 + a^2*x^9 + (a^4 + a^3 + a^2 + a + 1)*x^8 + (a^4 + a^2)*x^7 + (a^2 + 1)*x^6 + (a^2 + a + 1)*x^5 + (a + 1)*x^4 + (a^4 + a^3 + a^2)*x^3 + (a^4 + a^3 + a^2 + a + 1)*x^2 + (a^4 + 1)*x + a^2,	a^5 + a^2 + 1
3!,	x^24 + (2*a^4 + a^3 + 2*a^2 + 1)*x^23 + (a^3 + a + 2)*x^22 + (2*a^4 + 2*a^3 + 1)*x^21 + (2*a^4 + a^2 + a)*x^20 + 2*a^4*x^19 + (a^2 + a + 1)*x^18 + (a^4 + 2*a^3 + a + 2)*x^17 + (a^3 + 2*a^2 + a + 1)*x^16 + (2*a^4 + a^3 + 2)*x^15 + (2*a^4 + 2*a^3 + 2*a + 1)*x^14 + (2*a^4 + 2*a^3 + a^2 + 1)*x^13 + (2*a^4 + 2*a^3 + a^2 + 2*a + 2)*x^12 + (2*a^4 + 2*a + 1)*x^11 + (a^3 + 2)*x^10 + (2*a^3 + 2)*x^9 + (a^4 + 2*a^3 + a^2 + a + 2)*x^8 + 2*a^2*x^7 + (2*a^4 + 2*a^3 + 2*a + 2)*x^6 + (2*a^4 + a^3 + 2*a^2 + a)*x^5 + (a^4 + a^3 + 2*a^2 + 2)*x^4 + (2*a^3 + 2*a + 1)*x^3 + (2*a^4 + 2*a^2)*x^2 + (a^3 + 2*a)*x + a^4 + a^3 + a + 1,	a^5 + 2*a + 1
5!,	x^24 + (3*a^4 + 4*a^3 + 3*a^2 + 4*a + 1)*x^23 + (3*a^4 + 3*a^2 + 2*a + 2)*x^22 + (2*a^4 + a^3 + a^2 + 2*a + 1)*x^21 + (2*a^3 + 4)*x^20 + (a^4 + 4*a^2 + 3*a + 2)*x^19 + (2*a^4 + 4*a^3 + a^2 + 4*a + 3)*x^18 + (a^4 + a^3 + 2*a + 4)*x^17 + (4*a^4 + 2*a^3 + 4*a^2 + 4*a + 3)*x^16 + (2*a^3 + a^2 + 2*a + 3)*x^15 + (3*a^4 + 3*a + 2)*x^14 + (3*a^4 + a^3 + 2*a^2 + 2)*x^13 + (2*a^4 + 4*a^3 + a + 4)*x^12 + (4*a^4 + 4*a^3 + 3*a^2 + a + 3)*x^11 + (2*a^4 + 2*a^3 + 4*a^2 + a + 2)*x^10 + (3*a^4 + a^3 + 2*a)*x^9 + (4*a^4 + 4*a^3 + 4*a^2 + 2*a + 1)*x^8 + (3*a^4 + 3*a^3 + 3*a^2 + a + 4)*x^7 + (4*a^4 + a^3 + 2*a^2 + 2*a + 1)*x^6 + (3*a^4 + 2*a^3 + a^2 + a + 3)*x^5 + (2*a^4 + 3*a^3 + 3*a^2)*x^4 + (3*a^2 + 4)*x^3 + (2*a^4 + 4*a^3 + 3*a^2 + 4)*x^2 + (4*a^4 + 3*a^3 + 4*a^2)*x + 3*a^3 + a^2 + 3*a + 2,	a^5 + 4*a + 3
7!,	x^24 + (a^3 + 6*a^2 + 3*a + 6)*x^23 + (2*a^4 + a^3 + 3*a^2 + 2*a + 2)*x^22 + (3*a^4 + 5*a^3 + a^2 + a)*x^21 + (4*a^4 + 5*a^2 + 2)*x^20 + (4*a^4 + 3*a^3 + 2*a^2 + 2)*x^19 + (4*a^4 + a^3 + 3*a^2 + 4*a + 1)*x^18 + (a^4 + 4*a^3 + 2*a + 4)*x^17 + (5*a^3 + 3*a^2 + 5)*x^16 + (6*a^3 + 4*a^2 + 5*a + 1)*x^15 + (4*a^4 + 2*a^3 + 4*a^2 + 2*a + 1)*x^14 + (a^3 + 4*a^2 + a + 2)*x^13 + (5*a^4 + a^3 + 4*a + 4)*x^12 + (3*a^4 + 5*a^2 + 6*a + 6)*x^11 + (5*a^4 + 3*a^2 + 4*a + 6)*x^10 + (6*a^4 + 2*a^3 + a + 4)*x^9 + (a^4 + a^3 + a^2 + a + 3)*x^8 + (2*a^4 + 4*a^3 + 4*a^2 + 5*a + 2)*x^7 + (a^4 + 3*a^2 + 5*a + 3)*x^6 + (3*a^4 + 3*a^3 + 4*a^2 + a + 2)*x^5 + (3*a^4 + 5*a^3 + 5*a^2 + 2*a + 3)*x^4 + (a^4 + 4*a^3 + 3*a + 6)*x^3 + (3*a^4 + 3*a^3 + 6*a^2 + a + 5)*x^2 + (5*a^4 + 4*a^3 + 5*a^2 + 3*a + 4)*x + 6*a^4 + 3*a^3 + 2*a^2 + 4*a + 5,	a^5 + a + 4
11!,	x^24 + (7*a^4 + 4*a^3 + 4*a^2 + 4*a + 6)*x^23 + (5*a^4 + a^3 + 10*a^2 + 3*a + 4)*x^22 + (3*a^4 + 4*a^2 + 7*a + 3)*x^21 + (4*a^4 + 4*a^3 + 7*a^2 + 8*a + 7)*x^20 + (3*a^4 + 6*a^3 + 3*a^2 + 7*a + 1)*x^19 + (7*a^4 + 3*a^3 + 4*a^2 + 7*a + 7)*x^18 + (6*a^4 + 7*a^3 + 9*a^2 + 7)*x^17 + (6*a^4 + 5*a^3 + 3*a^2 + 8*a + 9)*x^16 + (4*a^4 + 2*a^3 + 2*a)*x^15 + (5*a^4 + 6*a^3 + 9*a^2 + 10*a + 1)*x^14 + (3*a^4 + 7*a^3 + 4*a^2 + 9*a + 1)*x^13 + (5*a^4 + 9*a^3 + a^2 + 1)*x^12 + (7*a^3 + 7*a^2 + 7*a + 7)*x^11 + (9*a^4 + 2*a^3 + 2*a + 1)*x^10 + (3*a^4 + 10*a^3 + 5*a + 3)*x^9 + (5*a^4 + 6*a^3 + 8*a^2 + 4*a + 6)*x^8 + (3*a^4 + 3*a^3 + a^2 + 8*a + 7)*x^7 + (3*a^4 + 4*a^3 + 8*a^2 + 10*a + 8)*x^6 + (3*a^4 + 3*a^3 + 8*a^2 + 3*a + 5)*x^5 + (6*a^4 + 10*a^3 + a^2 + 4*a + 10)*x^4 + (5*a^4 + 2*a^3 + 6*a^2 + 5*a + 1)*x^3 + (9*a^3 + 7*a + 3)*x^2 + (3*a^4 + 4*a^3 + 5*a^2 + 4*a + 6)*x + 6*a^4 + 8*a^3 + 3*a^2 + 10*a + 7,	a^5 + 10*a^2 + 9
