p,	poly,	modulus
2,	x^22 + x^21 + a*x^2 + a^2 + a,	a^3 + a + 1
3,	x^22 + x^21 + 2*a*x + 2*a^2 + 1,	a^3 + 2*a + 1
5,	x^22 + x^21 + a*x + 3*a^2,	a^3 + 3*a + 3
7,	x^22 + x^21 + 2*x + 4*a,	a^3 + 6*a^2 + 4
11,	x^22 + x^21 + 9*a + 2,	a^3 + 2*a + 9
13,	x^22 + x^21 + 7*a + 2,	a^3 + 2*a + 11
17,	x^22 + x^21 + 13*a + 1,	a^3 + a + 14
19,	x^22 + x^21 + 4*a,	a^3 + 4*a + 17
23,	x^22 + x^21 + 7*a + 2,	a^3 + 2*a + 18
29,	x^22 + x^21 + 7*a,	a^3 + 2*a + 27
31,	x^22 + x^21 + 28*a + 1,	a^3 + a + 28
37,	x^22 + x^21 + a,	a^3 + 6*a + 35
41,	x^22 + x^21 + 24*a^2,	a^3 + a + 35
43,	x^22 + x^21 + 17*a,	a^3 + a + 40
47,	x^22 + x^21 + 23*a + 6,	a^3 + 3*a + 42
53,	x^22 + x^21 + 9*a,	a^3 + 3*a + 51
59,	x^22 + x^21 + 26*a + 1,	a^3 + 5*a + 57
61,	x^22 + x^21 + 54*a^2,	a^3 + 7*a + 59
