p,	poly,	modulus
2,	x^18 + x^17 + x + a,	a^3 + a + 1
3,	x^18 + x^17 + 2*a^2 + 1,	a^3 + 2*a + 1
5,	x^18 + x^17 + x + 3*a + 1,	a^3 + 3*a + 3
7,	x^18 + x^17 + 4*a^2 + 5*a,	a^3 + 6*a^2 + 4
11,	x^18 + x^17 + 3*a + 1,	a^3 + 2*a + 9
13,	x^18 + x^17 + 9*a + 6,	a^3 + 2*a + 11
17,	x^18 + x^17 + 6*a + 4,	a^3 + a + 14
19,	x^18 + x^17 + 4*a,	a^3 + 4*a + 17
23,	x^18 + x^17 + 4*a,	a^3 + 2*a + 18
29,	x^18 + x^17 + 2*a + 17,	a^3 + 2*a + 27
31,	x^18 + x^17 + a,	a^3 + a + 28
37,	x^18 + x^17 + a + 17,	a^3 + 6*a + 35
41,	x^18 + x^17 + a + 14,	a^3 + a + 35
43,	x^18 + x^17 + 4*a + 38,	a^3 + a + 40
47,	x^18 + x^17 + 3*a + 23,	a^3 + 3*a + 42
