2,	x^6 + x^5 + x + a,	x^2 + x + 1
3,	x^6 + x^5 + x + a,	x^2 + 2*x + 2
5,	x^6 + x^5 + 3*a,	x^2 + 4*x + 2
7,	x^6 + x^5 + x + 3*a + 3,	x^2 + 6*x + 3
11,	x^6 + x^5 + x + 6*a + 4,	x^2 + 7*x + 2
13,	x^6 + x^5 + 8*a,	x^2 + 12*x + 2
17,	x^6 + x^5 + 3*a,	x^2 + 16*x + 3
19,	x^6 + x^5 + 6*a,	x^2 + 18*x + 2
23,	x^6 + x^5 + 2*a,	x^2 + 21*x + 5
29,	x^6 + x^5 + 7*a,	x^2 + 24*x + 2
31,	x^6 + x^5 + 21*a,	x^2 + 29*x + 3
