p,	poly,	modulus
2,	x^10 + x^9 + a*x^5 + a + 1,	a^2 + a + 1
3,	x^10 + x^9 + a,	a^2 + 2*a + 2
5,	x^10 + x^9 + 2*x + 3*a,	a^2 + 4*a + 2
7,	x^10 + x^9 + 3*a + 3,	a^2 + 6*a + 3
11,	x^10 + x^9 + 9*a,	a^2 + 7*a + 2
13,	x^10 + 2*x^9 + 7*a,	a^2 + 12*a + 2
17,	x^10 + x^9 + 4*a,	a^2 + 16*a + 3
19,	x^10 + x^9 + 8*a,	a^2 + 18*a + 2
23,	x^10 + x^9 + 8*a,	a^2 + 21*a + 5
29,	x^10 + x^9 + 27*a,	a^2 + 24*a + 2
31,	x^10 + x^9 + 12*a + 3,	a^2 + 29*a + 3
37,	x^10 + x^9 + 6*a,	a^2 + 33*a + 2
41,	x^10 + x^9 + 24*a,	a^2 + 38*a + 6
43,	x^10 + x^9 + 42*a,	a^2 + 42*a + 3
47,	x^10 + x^9 + 5*a,	a^2 + 45*a + 5
53,	x^10 + x^9 + 8*a,	a^2 + 49*a + 2
59,	x^10 + x^9 + 15*a,	a^2 + 58*a + 2
61,	x^10 + x^9 + 10*a,	a^2 + 60*a + 2
67,	x^10 + x^9 + 25*a,	a^2 + 63*a + 2
71,	x^10 + x^9 + 3*a,	a^2 + 69*a + 7
73,	x^10 + x^9 + 13*a,	a^2 + 70*a + 5
79,	x^10 + x^9 + 10*a,	a^2 + 78*a + 3
83,	x^10 + x^9 + 2*a,	a^2 + 82*a + 2
89,	x^10 + x^9 + 10*a,	a^2 + 82*a + 3
97,	x^10 + x^9 + 9*a,	a^2 + 96*a + 5
