p,	poly
2,	x^26 + x^25 + x^5 + x + 1
3,	x^26 + x^25 + x^16 + 2*x + 2
5,	x^26 + x^25 + 3*x^8 + 3
7,	x^26 + x^25 + 2*x + 5
11,	x^26 + 2*x^25 + 2*x^3 + 2
13,	x^26 + x^25 + 7*x^3 + 11
17,	x^26 + x^25 + 5*x + 6
19,	x^26 + x^25 + 4*x + 2
23,	x^26 + x^25 + 11
29,	x^26 + x^25 + 2*x + 19
31,	x^26 + 2*x^25 + 12
37,	x^26 + 2*x^25 + 24
41,	x^26 + x^25 + 10*x + 13
43,	x^26 + 2*x^25 + 34
47,	x^26 + x^25 + 39
53,	x^26 + x^25 + x + 19
59,	x^26 + x^25 + 14
61,	x^26 + x^25 + x + 31
67,	x^26 + x^25 + 31
71,	x^26 + 2*x^25 + 22
73,	x^26 + x^25 + 2*x + 5
79,	x^26 + 2*x^25 + 74
83,	x^26 + x^25 + 2*x + 15
89,	x^26 + x^25 + x + 15
97,	x^26 + x^25 + 82
101,	x^26 + x^25 + 5*x + 29
103,	x^26 + x^25 + 12
107,	x^26 + x^25 + 95
109,	x^26 + x^25 + 30
113,	x^26 + x^25 + 2*x + 43
127,	x^26 + x^25 + 23
131,	x^26 + x^25 + x + 104
137,	x^26 + x^25 + x + 70
139,	x^26 + x^25 + 17
149,	x^26 + x^25 + x + 23
151,	x^26 + 2*x^25 + 117
157,	x^26 + x^25 + 34
163,	x^26 + 2*x^25 + 120
167,	x^26 + x^25 + 53
173,	x^26 + x^25 + 7
179,	x^26 + x^25 + x + 55
181,	x^26 + x^25 + 103
191,	x^26 + x^25 + 56
193,	x^26 + x^25 + 10
197,	x^26 + x^25 + 74
199,	x^26 + x^25 + 73
211,	x^26 + 2*x^25 + 48
223,	x^26 + x^25 + 85
227,	x^26 + x^25 + 20
229,	x^26 + x^25 + 98
233,	x^26 + x^25 + 176
239,	x^26 + x^25 + x + 21
241,	x^26 + x^25 + 46
251,	x^26 + x^25 + 30
257,	x^26 + x^25 + 14
263,	x^26 + x^25 + 135
269,	x^26 + x^25 + 68
271,	x^26 + x^25 + 143
277,	x^26 + x^25 + 94
281,	x^26 + x^25 + 97
283,	x^26 + x^25 + 133
293,	x^26 + x^25 + 29
307,	x^26 + x^25 + 74
311,	x^26 + x^25 + 93
313,	x^26 + 2*x^25 + 20
317,	x^26 + x^25 + 75
331,	x^26 + x^25 + 60
337,	x^26 + x^25 + 248
347,	x^26 + x^25 + 62
349,	x^26 + x^25 + 59
353,	x^26 + x^25 + 12
359,	x^26 + x^25 + 21
367,	x^26 + x^25 + 10
373,	x^26 + x^25 + 135
379,	x^26 + x^25 + 46
383,	x^26 + x^25 + 236
389,	x^26 + x^25 + 27
397,	x^26 + x^25 + 51
401,	x^26 + x^25 + 132
409,	x^26 + x^25 + 293
419,	x^26 + x^25 + 234
421,	x^26 + x^25 + 71
431,	x^26 + x^25 + 127
433,	x^26 + x^25 + 46
439,	x^26 + x^25 + 59
443,	x^26 + x^25 + 70
449,	x^26 + x^25 + 153
457,	x^26 + x^25 + 26
461,	x^26 + x^25 + 18
463,	x^26 + x^25 + 3
467,	x^26 + x^25 + 57
479,	x^26 + x^25 + 17
487,	x^26 + x^25 + 24
491,	x^26 + x^25 + 219
499,	x^26 + x^25 + 232
503,	x^26 + x^25 + 29
509,	x^26 + x^25 + 75
521,	x^26 + x^25 + 19
523,	x^26 + x^25 + 146
541,	x^26 + x^25 + 18
547,	x^26 + x^25 + 278
557,	x^26 + x^25 + 92
563,	x^26 + x^25 + 105
569,	x^26 + x^25 + 192
571,	x^26 + x^25 + 250
577,	x^26 + x^25 + 178
587,	x^26 + x^25 + 109
593,	x^26 + x^25 + 41
599,	x^26 + x^25 + 14
601,	x^26 + x^25 + 84
607,	x^26 + x^25 + 62
613,	x^26 + x^25 + 44
617,	x^26 + x^25 + 27
619,	x^26 + x^25 + 179
631,	x^26 + x^25 + 53
641,	x^26 + x^25 + 82
643,	x^26 + x^25 + 130
647,	x^26 + x^25 + 88
653,	x^26 + x^25 + 30
659,	x^26 + x^25 + 7
661,	x^26 + x^25 + 40
673,	x^26 + x^25 + 5
677,	x^26 + x^25 + 70
683,	x^26 + x^25 + 129
691,	x^26 + x^25 + 18
701,	x^26 + x^25 + 220
709,	x^26 + x^25 + 32
719,	x^26 + x^25 + 179
727,	x^26 + x^25 + 183
733,	x^26 + x^25 + 137
739,	x^26 + x^25 + 33
743,	x^26 + x^25 + 14
751,	x^26 + x^25 + 133
757,	x^26 + x^25 + 5
761,	x^26 + x^25 + 11
769,	x^26 + x^25 + 184
773,	x^26 + x^25 + 30
787,	x^26 + x^25 + 17
797,	x^26 + x^25 + 20
809,	x^26 + x^25 + 22
811,	x^26 + x^25 + 78
821,	x^26 + x^25 + 82
823,	x^26 + x^25 + 3
827,	x^26 + x^25 + 158
829,	x^26 + x^25 + 26
839,	x^26 + x^25 + 97
853,	x^26 + x^25 + 242
857,	x^26 + x^25 + 17
859,	x^26 + x^25 + 187
863,	x^26 + x^25 + 56
877,	x^26 + x^25 + 140
881,	x^26 + x^25 + 167
883,	x^26 + x^25 + 34
887,	x^26 + x^25 + 105
907,	x^26 + x^25 + 68
911,	x^26 + x^25 + 191
919,	x^26 + x^25 + 77
929,	x^26 + x^25 + 302
937,	x^26 + x^25 + 180
941,	x^26 + x^25 + 286
947,	x^26 + x^25 + 69
953,	x^26 + x^25 + 94
967,	x^26 + x^25 + 159
971,	x^26 + x^25 + 11
977,	x^26 + x^25 + 27
983,	x^26 + x^25 + 95
991,	x^26 + x^25 + 48
997,	x^26 + x^25 + 7
1009,	x^26 + x^25 + 46
1013,	x^26 + x^25 + 31
1019,	x^26 + x^25 + 22
1021,	x^26 + x^25 + 77
1031,	x^26 + x^25 + 76
1033,	x^26 + x^25 + 23
1039,	x^26 + x^25 + 51
1049,	x^26 + x^25 + 203
1051,	x^26 + x^25 + 300
1061,	x^26 + x^25 + 250
1063,	x^26 + x^25 + 202
1069,	x^26 + x^25 + 172
1087,	x^26 + x^25 + 74
1091,	x^26 + x^25 + 330
1093,	x^26 + x^25 + 159
1097,	x^26 + x^25 + 14
1103,	x^26 + x^25 + 89
1109,	x^26 + x^25 + 97
1117,	x^26 + x^25 + 163
1123,	x^26 + x^25 + 3
1129,	x^26 + x^25 + 153
1151,	x^26 + x^25 + 51
1153,	x^26 + x^25 + 51
1163,	x^26 + x^25 + 124
1171,	x^26 + x^25 + 83
1181,	x^26 + x^25 + 83
1187,	x^26 + x^25 + 45
1193,	x^26 + x^25 + 56
1201,	x^26 + x^25 + 219
1213,	x^26 + x^25 + 26
1217,	x^26 + x^25 + 95
1223,	x^26 + x^25 + 62
1229,	x^26 + x^25 + 118
1231,	x^26 + x^25 + 299
1237,	x^26 + x^25 + 43
1249,	x^26 + x^25 + 71
1259,	x^26 + x^25 + 142
1277,	x^26 + x^25 + 34
1279,	x^26 + x^25 + 107
1283,	x^26 + x^25 + 61
1289,	x^26 + x^25 + 117
1291,	x^26 + x^25 + 44
1297,	x^26 + x^25 + 45
1301,	x^26 + x^25 + 67
1303,	x^26 + x^25 + 22
1307,	x^26 + x^25 + 33
1319,	x^26 + x^25 + 109
1321,	x^26 + x^25 + 35
1327,	x^26 + x^25 + 41
1361,	x^26 + x^25 + 202
1367,	x^26 + x^25 + 39
1373,	x^26 + x^25 + 525
1381,	x^26 + x^25 + 155
1399,	x^26 + x^25 + 105
1409,	x^26 + x^25 + 234
1423,	x^26 + x^25 + 26
1427,	x^26 + x^25 + 38
1429,	x^26 + x^25 + 344
1433,	x^26 + x^25 + 136
1439,	x^26 + x^25 + 73
1447,	x^26 + x^25 + 3
1451,	x^26 + x^25 + 490
1453,	x^26 + x^25 + 154
1459,	x^26 + x^25 + 41
1471,	x^26 + x^25 + 163
1481,	x^26 + x^25 + 67
1483,	x^26 + x^25 + 260
1487,	x^26 + x^25 + 52
1489,	x^26 + x^25 + 210
1493,	x^26 + x^25 + 21
1499,	x^26 + x^25 + 6
1511,	x^26 + x^25 + 173
1523,	x^26 + x^25 + 37
1531,	x^26 + x^25 + 164
1543,	x^26 + x^25 + 109
1549,	x^26 + x^25 + 46
1553,	x^26 + x^25 + 108
1559,	x^26 + x^25 + 47
1567,	x^26 + x^25 + 24
1571,	x^26 + x^25 + 202
1579,	x^26 + x^25 + 12
1583,	x^26 + x^25 + 57
1597,	x^26 + x^25 + 105
1601,	x^26 + x^25 + 24
1607,	x^26 + x^25 + 29
1609,	x^26 + x^25 + 505
1613,	x^26 + x^25 + 91
1619,	x^26 + x^25 + 150
1621,	x^26 + x^25 + 98
1627,	x^26 + x^25 + 35
1637,	x^26 + x^25 + 42
1657,	x^26 + x^25 + 44
1663,	x^26 + x^25 + 10
1667,	x^26 + x^25 + 197
1669,	x^26 + x^25 + 58
1693,	x^26 + x^25 + 19
1697,	x^26 + x^25 + 213
1699,	x^26 + x^25 + 218
1709,	x^26 + x^25 + 218
1721,	x^26 + x^25 + 33
1723,	x^26 + x^25 + 30
1733,	x^26 + x^25 + 2
1741,	x^26 + x^25 + 230
1747,	x^26 + x^25 + 176
1753,	x^26 + x^25 + 37
1759,	x^26 + x^25 + 96
1777,	x^26 + x^25 + 185
1783,	x^26 + x^25 + 101
1787,	x^26 + x^25 + 59
1789,	x^26 + x^25 + 193
1801,	x^26 + x^25 + 161
1811,	x^26 + x^25 + 30
1823,	x^26 + x^25 + 41
1831,	x^26 + x^25 + 82
1847,	x^26 + x^25 + 332
1861,	x^26 + x^25 + 63
1867,	x^26 + x^25 + 113
1871,	x^26 + x^25 + 95
1873,	x^26 + x^25 + 62
1877,	x^26 + x^25 + 80
1879,	x^26 + x^25 + 104
1889,	x^26 + x^25 + 335
1901,	x^26 + x^25 + 134
1907,	x^26 + x^25 + 234
1913,	x^26 + x^25 + 299
1931,	x^26 + x^25 + 371
1933,	x^26 + x^25 + 146
1949,	x^26 + x^25 + 86
1951,	x^26 + x^25 + 54
1973,	x^26 + x^25 + 47
1979,	x^26 + x^25 + 446
1987,	x^26 + x^25 + 34
1993,	x^26 + x^25 + 149
1997,	x^26 + x^25 + 35
1999,	x^26 + x^25 + 35
2003,	x^26 + x^25 + 104
2011,	x^26 + x^25 + 50
2017,	x^26 + x^25 + 148
2027,	x^26 + x^25 + 50
2029,	x^26 + x^25 + 219
2039,	x^26 + x^25 + 66
2053,	x^26 + x^25 + 152
2063,	x^26 + x^25 + 55
2069,	x^26 + x^25 + 2
2081,	x^26 + x^25 + 92
2083,	x^26 + x^25 + 143
2087,	x^26 + x^25 + 56
2089,	x^26 + x^25 + 124
2099,	x^26 + x^25 + 117
2111,	x^26 + x^25 + 126
2113,	x^26 + x^25 + 46
2129,	x^26 + x^25 + 99
2131,	x^26 + x^25 + 513
2137,	x^26 + x^25 + 47
2141,	x^26 + x^25 + 161
2143,	x^26 + x^25 + 73
2153,	x^26 + x^25 + 91
2161,	x^26 + x^25 + 42
2179,	x^26 + x^25 + 205
2203,	x^26 + x^25 + 57
2207,	x^26 + x^25 + 68
2213,	x^26 + x^25 + 82
2221,	x^26 + x^25 + 128
2237,	x^26 + x^25 + 83
2239,	x^26 + x^25 + 34
2243,	x^26 + x^25 + 126
2251,	x^26 + x^25 + 47
2267,	x^26 + x^25 + 168
2269,	x^26 + x^25 + 95
2273,	x^26 + x^25 + 176
2281,	x^26 + x^25 + 183
2287,	x^26 + x^25 + 42
2293,	x^26 + x^25 + 55
2297,	x^26 + x^25 + 90
2309,	x^26 + x^25 + 354
2311,	x^26 + x^25 + 131
2333,	x^26 + x^25 + 18
2339,	x^26 + x^25 + 7
2341,	x^26 + x^25 + 10
2347,	x^26 + x^25 + 59
2351,	x^26 + x^25 + 477
2357,	x^26 + x^25 + 17
2371,	x^26 + x^25 + 189
2377,	x^26 + x^25 + 60
2381,	x^26 + x^25 + 116
2383,	x^26 + x^25 + 166
2389,	x^26 + x^25 + 62
2393,	x^26 + x^25 + 355
2399,	x^26 + x^25 + 291
2411,	x^26 + x^25 + 120
2417,	x^26 + x^25 + 20
2423,	x^26 + x^25 + 88
2437,	x^26 + x^25 + 186
2441,	x^26 + x^25 + 30
2447,	x^26 + x^25 + 67
2459,	x^26 + x^25 + 63
2467,	x^26 + x^25 + 2
2473,	x^26 + x^25 + 38
2477,	x^26 + x^25 + 13
2503,	x^26 + x^25 + 75
2521,	x^26 + x^25 + 409
2531,	x^26 + x^25 + 106
2539,	x^26 + x^25 + 104
2543,	x^26 + x^25 + 142
2549,	x^26 + x^25 + 548
2551,	x^26 + x^25 + 501
2557,	x^26 + x^25 + 6
2579,	x^26 + x^25 + 23
2591,	x^26 + x^25 + 114
2593,	x^26 + x^25 + 120
2609,	x^26 + x^25 + 53
2617,	x^26 + x^25 + 185
2621,	x^26 + x^25 + 117
2633,	x^26 + x^25 + 104
2647,	x^26 + x^25 + 287
2657,	x^26 + x^25 + 108
2659,	x^26 + x^25 + 126
2663,	x^26 + x^25 + 23
2671,	x^26 + x^25 + 106
2677,	x^26 + x^25 + 88
2683,	x^26 + x^25 + 78
2687,	x^26 + x^25 + 154
2689,	x^26 + x^25 + 526
2693,	x^26 + x^25 + 22
2699,	x^26 + x^25 + 89
2707,	x^26 + x^25 + 50
2711,	x^26 + x^25 + 110
2713,	x^26 + x^25 + 83
2719,	x^26 + x^25 + 192
2729,	x^26 + x^25 + 112
2731,	x^26 + x^25 + 42
2741,	x^26 + x^25 + 2
2749,	x^26 + x^25 + 118
2753,	x^26 + x^25 + 262
2767,	x^26 + x^25 + 69
2777,	x^26 + x^25 + 7
2789,	x^26 + x^25 + 52
2791,	x^26 + x^25 + 15
2797,	x^26 + x^25 + 55
2801,	x^26 + x^25 + 48
2803,	x^26 + x^25 + 372
2819,	x^26 + x^25 + 44
2833,	x^26 + x^25 + 47
2837,	x^26 + x^25 + 74
2843,	x^26 + x^25 + 97
2851,	x^26 + x^25 + 226
2857,	x^26 + x^25 + 11
2861,	x^26 + x^25 + 110
2879,	x^26 + x^25 + 47
2887,	x^26 + x^25 + 218
2897,	x^26 + x^25 + 79
2903,	x^26 + x^25 + 55
2909,	x^26 + x^25 + 172
2917,	x^26 + x^25 + 61
2927,	x^26 + x^25 + 20
2939,	x^26 + x^25 + 14
2953,	x^26 + x^25 + 120
2957,	x^26 + x^25 + 5
2963,	x^26 + x^25 + 61
2969,	x^26 + x^25 + 69
2971,	x^26 + x^25 + 113
2999,	x^26 + x^25 + 85
3001,	x^26 + x^25 + 129
3011,	x^26 + x^25 + 105
3019,	x^26 + x^25 + 116
3023,	x^26 + x^25 + 62
3037,	x^26 + x^25 + 170
3041,	x^26 + x^25 + 137
3049,	x^26 + x^25 + 43
3061,	x^26 + x^25 + 170
3067,	x^26 + x^25 + 45
3079,	x^26 + x^25 + 259
3083,	x^26 + x^25 + 5
3089,	x^26 + x^25 + 27
3109,	x^26 + x^25 + 62
3119,	x^26 + x^25 + 155
3121,	x^26 + x^25 + 249
3137,	x^26 + x^25 + 70
3163,	x^26 + x^25 + 39
3167,	x^26 + x^25 + 92
3169,	x^26 + x^25 + 57
3181,	x^26 + x^25 + 189
3187,	x^26 + x^25 + 57
3191,	x^26 + x^25 + 78
3203,	x^26 + x^25 + 32
3209,	x^26 + x^25 + 61
3217,	x^26 + x^25 + 203
3221,	x^26 + x^25 + 123
3229,	x^26 + x^25 + 72
3251,	x^26 + x^25 + 154
3253,	x^26 + x^25 + 180
3257,	x^26 + x^25 + 70
3259,	x^26 + x^25 + 74
3271,	x^26 + x^25 + 24
3299,	x^26 + x^25 + 22
3301,	x^26 + x^25 + 188
3307,	x^26 + x^25 + 3
3313,	x^26 + x^25 + 186
3319,	x^26 + x^25 + 114
3323,	x^26 + x^25 + 71
3329,	x^26 + x^25 + 249
3331,	x^26 + x^25 + 195
3343,	x^26 + x^25 + 63
3347,	x^26 + x^25 + 20
3359,	x^26 + x^25 + 176
3361,	x^26 + x^25 + 116
3371,	x^26 + x^25 + 114
3373,	x^26 + x^25 + 194
3389,	x^26 + x^25 + 22
3391,	x^26 + x^25 + 210
3407,	x^26 + x^25 + 19
3413,	x^26 + x^25 + 245
3433,	x^26 + x^25 + 30
3449,	x^26 + x^25 + 23
3457,	x^26 + x^25 + 154
3461,	x^26 + x^25 + 39
3463,	x^26 + x^25 + 46
3467,	x^26 + x^25 + 19
3469,	x^26 + x^25 + 6
3491,	x^26 + x^25 + 165
3499,	x^26 + x^25 + 23
3511,	x^26 + x^25 + 83
3517,	x^26 + x^25 + 39
3527,	x^26 + x^25 + 85
3529,	x^26 + x^25 + 436
3533,	x^26 + x^25 + 63
3539,	x^26 + x^25 + 109
3541,	x^26 + x^25 + 152
3547,	x^26 + x^25 + 5
3557,	x^26 + x^25 + 177
3559,	x^26 + x^25 + 247
3571,	x^26 + x^25 + 42
3581,	x^26 + x^25 + 8
3583,	x^26 + x^25 + 5
3593,	x^26 + x^25 + 75
3607,	x^26 + x^25 + 63
3613,	x^26 + x^25 + 31
3617,	x^26 + x^25 + 114
3623,	x^26 + x^25 + 47
3631,	x^26 + x^25 + 62
3637,	x^26 + x^25 + 446
3643,	x^26 + x^25 + 161
3659,	x^26 + x^25 + 162
3671,	x^26 + x^25 + 43
3673,	x^26 + x^25 + 157
3677,	x^26 + x^25 + 23
3691,	x^26 + x^25 + 91
3697,	x^26 + x^25 + 40
3701,	x^26 + x^25 + 47
3709,	x^26 + x^25 + 219
3719,	x^26 + x^25 + 14
3727,	x^26 + x^25 + 273
3733,	x^26 + x^25 + 140
3739,	x^26 + x^25 + 185
3761,	x^26 + x^25 + 30
3767,	x^26 + x^25 + 11
3769,	x^26 + x^25 + 34
3779,	x^26 + x^25 + 57
3793,	x^26 + x^25 + 47
3797,	x^26 + x^25 + 167
3803,	x^26 + x^25 + 2
3821,	x^26 + x^25 + 123
3823,	x^26 + x^25 + 31
3833,	x^26 + x^25 + 129
3847,	x^26 + x^25 + 54
3851,	x^26 + x^25 + 55
3853,	x^26 + x^25 + 43
3863,	x^26 + x^25 + 129
3877,	x^26 + x^25 + 47
3881,	x^26 + x^25 + 60
3889,	x^26 + x^25 + 130
3907,	x^26 + x^25 + 2
3911,	x^26 + x^25 + 31
3917,	x^26 + x^25 + 39
3919,	x^26 + x^25 + 13
3923,	x^26 + x^25 + 43
3929,	x^26 + x^25 + 73
3931,	x^26 + x^25 + 73
3943,	x^26 + x^25 + 3
3947,	x^26 + x^25 + 17
3967,	x^26 + x^25 + 55
3989,	x^26 + x^25 + 178
4001,	x^26 + x^25 + 37
4003,	x^26 + x^25 + 39
4007,	x^26 + x^25 + 31
4013,	x^26 + x^25 + 93
4019,	x^26 + x^25 + 137
4021,	x^26 + x^25 + 84
4027,	x^26 + x^25 + 42
4049,	x^26 + x^25 + 85
4051,	x^26 + x^25 + 76
4057,	x^26 + x^25 + 266
4073,	x^26 + x^25 + 65
4079,	x^26 + x^25 + 79
4091,	x^26 + x^25 + 104
4093,	x^26 + x^25 + 70
4099,	x^26 + x^25 + 2
4111,	x^26 + x^25 + 71
4127,	x^26 + x^25 + 13
4129,	x^26 + x^25 + 39
4133,	x^26 + x^25 + 161
4139,	x^26 + x^25 + 21
4153,	x^26 + x^25 + 15
4157,	x^26 + x^25 + 103
4159,	x^26 + x^25 + 24
4177,	x^26 + x^25 + 95
4201,	x^26 + x^25 + 95
4211,	x^26 + x^25 + 275
4217,	x^26 + x^25 + 67
4219,	x^26 + x^25 + 62
4229,	x^26 + x^25 + 514
4231,	x^26 + x^25 + 3
4241,	x^26 + x^25 + 91
4243,	x^26 + x^25 + 77
4253,	x^26 + x^25 + 75
4259,	x^26 + x^25 + 102
4261,	x^26 + x^25 + 91
4271,	x^26 + x^25 + 164
4273,	x^26 + x^25 + 212
4283,	x^26 + x^25 + 193
4289,	x^26 + x^25 + 92
4297,	x^26 + x^25 + 141
4327,	x^26 + x^25 + 97
4337,	x^26 + x^25 + 70
4339,	x^26 + x^25 + 14
4349,	x^26 + x^25 + 192
4357,	x^26 + x^25 + 21
4363,	x^26 + x^25 + 30
4373,	x^26 + x^25 + 2
4391,	x^26 + x^25 + 498
4397,	x^26 + x^25 + 46
4409,	x^26 + x^25 + 13
4421,	x^26 + x^25 + 10
4423,	x^26 + x^25 + 24
4441,	x^26 + x^25 + 299
4447,	x^26 + x^25 + 28
4451,	x^26 + x^25 + 93
4457,	x^26 + x^25 + 148
4463,	x^26 + x^25 + 107
4481,	x^26 + x^25 + 381
4483,	x^26 + x^25 + 259
4493,	x^26 + x^25 + 107
4507,	x^26 + x^25 + 154
4513,	x^26 + x^25 + 77
4517,	x^26 + x^25 + 219
4519,	x^26 + x^25 + 74
4523,	x^26 + x^25 + 197
4547,	x^26 + x^25 + 33
4549,	x^26 + x^25 + 331
4561,	x^26 + x^25 + 11
4567,	x^26 + x^25 + 61
4583,	x^26 + x^25 + 15
4591,	x^26 + x^25 + 198
4597,	x^26 + x^25 + 259
4603,	x^26 + x^25 + 42
4621,	x^26 + x^25 + 38
4637,	x^26 + x^25 + 30
4639,	x^26 + x^25 + 221
4643,	x^26 + x^25 + 18
4649,	x^26 + x^25 + 74
4651,	x^26 + x^25 + 116
4657,	x^26 + x^25 + 105
4663,	x^26 + x^25 + 3
4673,	x^26 + x^25 + 286
4679,	x^26 + x^25 + 215
4691,	x^26 + x^25 + 98
4703,	x^26 + x^25 + 287
4721,	x^26 + x^25 + 228
4723,	x^26 + x^25 + 67
4729,	x^26 + x^25 + 275
4733,	x^26 + x^25 + 106
4751,	x^26 + x^25 + 217
4759,	x^26 + x^25 + 30
4783,	x^26 + x^25 + 10
4787,	x^26 + x^25 + 23
4789,	x^26 + x^25 + 181
4793,	x^26 + x^25 + 12
4799,	x^26 + x^25 + 132
4801,	x^26 + x^25 + 56
4813,	x^26 + x^25 + 11
4817,	x^26 + x^25 + 168
4831,	x^26 + x^25 + 41
4861,	x^26 + x^25 + 38
4871,	x^26 + x^25 + 53
4877,	x^26 + x^25 + 106
