p,	poly
2,	x^18 + x^17 + x^5 + x + 1
3,	x^18 + x^17 + x^5 + 2
5,	x^18 + 3*x^17 + 3*x^2 + 2
7,	x^18 + x^17 + x^6 + 5
11,	x^18 + 4*x^17 + 4*x^4 + 6
13,	x^18 + 7*x^17 + 7*x^2 + 7
17,	x^18 + x^17 + 3
19,	x^18 + 2*x^17 + 2*x + 15
23,	x^18 + 3*x^17 + 3*x + 7
29,	x^18 + 2*x^17 + 11
31,	x^18 + x^17 + 22
37,	x^18 + x^17 + 5
41,	x^18 + x^17 + 28
43,	x^18 + x^17 + 33
47,	x^18 + x^17 + 20
53,	x^18 + x^17 + 21
59,	x^18 + x^17 + 40
61,	x^18 + x^17 + x + 18
67,	x^18 + 2*x^17 + 46
71,	x^18 + 2*x^17 + 42
73,	x^18 + 2*x^17 + 2*x + 15
79,	x^18 + 3*x^17 + 3*x + 34
83,	x^18 + x^17 + 74
89,	x^18 + x^17 + 27
97,	x^18 + x^17 + x + 7
101,	x^18 + x^17 + x + 15
103,	x^18 + x^17 + 35
107,	x^18 + 2*x^17 + 2*x + 17
109,	x^18 + x^17 + 14
113,	x^18 + x^17 + 3
127,	x^18 + x^17 + x + 93
131,	x^18 + x^17 + 127
137,	x^18 + x^17 + 83
139,	x^18 + x^17 + 12
149,	x^18 + x^17 + 58
151,	x^18 + x^17 + 48
157,	x^18 + x^17 + 6
163,	x^18 + x^17 + 2
167,	x^18 + x^17 + 68
173,	x^18 + x^17 + 8
179,	x^18 + x^17 + 118
181,	x^18 + 2*x^17 + 2*x + 57
191,	x^18 + x^17 + 91
193,	x^18 + x^17 + 78
197,	x^18 + x^17 + 79
199,	x^18 + x^17 + 68
211,	x^18 + x^17 + 142
223,	x^18 + x^17 + 23
227,	x^18 + x^17 + 6
229,	x^18 + x^17 + 65
233,	x^18 + x^17 + 65
239,	x^18 + x^17 + 56
241,	x^18 + x^17 + 70
251,	x^18 + x^17 + 193
257,	x^18 + x^17 + 63
263,	x^18 + x^17 + 21
269,	x^18 + x^17 + 18
271,	x^18 + x^17 + 58
277,	x^18 + x^17 + 98
281,	x^18 + x^17 + 83
283,	x^18 + x^17 + 18
293,	x^18 + x^17 + 66
307,	x^18 + x^17 + 82
311,	x^18 + x^17 + 33
313,	x^18 + x^17 + 90
317,	x^18 + x^17 + 88
331,	x^18 + x^17 + 59
337,	x^18 + x^17 + 70
347,	x^18 + x^17 + 23
349,	x^18 + x^17 + 342
353,	x^18 + x^17 + 20
359,	x^18 + x^17 + 56
367,	x^18 + x^17 + 130
373,	x^18 + x^17 + 255
379,	x^18 + x^17 + 32
383,	x^18 + x^17 + 20
389,	x^18 + x^17 + x + 21
397,	x^18 + x^17 + 59
401,	x^18 + x^17 + 59
409,	x^18 + x^17 + 177
419,	x^18 + x^17 + 155
421,	x^18 + x^17 + 117
431,	x^18 + x^17 + 13
433,	x^18 + x^17 + 28
439,	x^18 + x^17 + 107
443,	x^18 + x^17 + 2
449,	x^18 + x^17 + 21
457,	x^18 + x^17 + 103
461,	x^18 + x^17 + 79
463,	x^18 + x^17 + 85
467,	x^18 + x^17 + 105
479,	x^18 + x^17 + 29
487,	x^18 + x^17 + 88
491,	x^18 + x^17 + 87
499,	x^18 + x^17 + 95
503,	x^18 + x^17 + 62
509,	x^18 + x^17 + 77
521,	x^18 + x^17 + 269
523,	x^18 + x^17 + 283
541,	x^18 + x^17 + 163
547,	x^18 + x^17 + 92
557,	x^18 + x^17 + 35
563,	x^18 + x^17 + 35
569,	x^18 + x^17 + 38
571,	x^18 + x^17 + 18
577,	x^18 + x^17 + 13
587,	x^18 + x^17 + 176
593,	x^18 + x^17 + 99
599,	x^18 + x^17 + 11
601,	x^18 + x^17 + 11
607,	x^18 + x^17 + 20
613,	x^18 + x^17 + 134
617,	x^18 + x^17 + 254
619,	x^18 + x^17 + 12
631,	x^18 + x^17 + 60
641,	x^18 + x^17 + 106
643,	x^18 + x^17 + 114
647,	x^18 + x^17 + 71
653,	x^18 + x^17 + 22
659,	x^18 + x^17 + 97
661,	x^18 + x^17 + 69
673,	x^18 + x^17 + 40
677,	x^18 + x^17 + 91
683,	x^18 + x^17 + 89
691,	x^18 + x^17 + 3
701,	x^18 + x^17 + 57
709,	x^18 + x^17 + 174
719,	x^18 + x^17 + 51
727,	x^18 + x^17 + 193
733,	x^18 + x^17 + 305
739,	x^18 + x^17 + 86
743,	x^18 + x^17 + 26
751,	x^18 + x^17 + 274
757,	x^18 + x^17 + 35
761,	x^18 + x^17 + 193
769,	x^18 + x^17 + 221
773,	x^18 + x^17 + 88
787,	x^18 + x^17 + 78
797,	x^18 + x^17 + 45
809,	x^18 + x^17 + 469
811,	x^18 + x^17 + 52
821,	x^18 + x^17 + 97
823,	x^18 + x^17 + 243
827,	x^18 + x^17 + 15
829,	x^18 + x^17 + 103
839,	x^18 + x^17 + 51
853,	x^18 + x^17 + 20
857,	x^18 + x^17 + 87
859,	x^18 + x^17 + 51
863,	x^18 + x^17 + 83
877,	x^18 + x^17 + 62
881,	x^18 + x^17 + 46
883,	x^18 + x^17 + 99
887,	x^18 + x^17 + 34
907,	x^18 + x^17 + 66
911,	x^18 + x^17 + 55
919,	x^18 + x^17 + 328
929,	x^18 + x^17 + 27
937,	x^18 + x^17 + 11
941,	x^18 + x^17 + 117
947,	x^18 + x^17 + 172
953,	x^18 + x^17 + 160
967,	x^18 + x^17 + 250
971,	x^18 + x^17 + 253
977,	x^18 + x^17 + 117
983,	x^18 + x^17 + 78
991,	x^18 + x^17 + 7
997,	x^18 + x^17 + 178
1009,	x^18 + x^17 + 79
1013,	x^18 + x^17 + 17
1019,	x^18 + x^17 + 21
1021,	x^18 + x^17 + 66
1031,	x^18 + x^17 + 161
1033,	x^18 + x^17 + 5
1039,	x^18 + x^17 + 107
1049,	x^18 + x^17 + 66
1051,	x^18 + x^17 + 33
1061,	x^18 + x^17 + 50
1063,	x^18 + x^17 + 111
1069,	x^18 + x^17 + 194
1087,	x^18 + x^17 + 46
1091,	x^18 + x^17 + 54
1093,	x^18 + x^17 + 197
1097,	x^18 + x^17 + 63
1103,	x^18 + x^17 + 13
1109,	x^18 + x^17 + 50
1117,	x^18 + x^17 + 137
1123,	x^18 + x^17 + 45
1129,	x^18 + x^17 + 39
1151,	x^18 + x^17 + 68
1153,	x^18 + x^17 + 63
1163,	x^18 + x^17 + 18
1171,	x^18 + x^17 + 72
1181,	x^18 + x^17 + 28
1187,	x^18 + x^17 + 209
1193,	x^18 + x^17 + 90
1201,	x^18 + x^17 + 159
1213,	x^18 + x^17 + 50
1217,	x^18 + x^17 + 10
1223,	x^18 + x^17 + 37
1229,	x^18 + x^17 + 114
1231,	x^18 + x^17 + 142
1237,	x^18 + x^17 + 46
1249,	x^18 + x^17 + 107
1259,	x^18 + x^17 + 93
1277,	x^18 + x^17 + 132
1279,	x^18 + x^17 + 6
1283,	x^18 + x^17 + 26
1289,	x^18 + x^17 + 15
1291,	x^18 + x^17 + 187
1297,	x^18 + x^17 + 60
1301,	x^18 + x^17 + 3
1303,	x^18 + x^17 + 29
1307,	x^18 + x^17 + 222
1319,	x^18 + x^17 + 138
1321,	x^18 + x^17 + 28
1327,	x^18 + x^17 + 3
1361,	x^18 + x^17 + 35
1367,	x^18 + x^17 + 28
1373,	x^18 + x^17 + 34
1381,	x^18 + x^17 + 337
1399,	x^18 + x^17 + 26
1409,	x^18 + x^17 + 94
1423,	x^18 + x^17 + 126
1427,	x^18 + x^17 + 32
1429,	x^18 + x^17 + 24
1433,	x^18 + x^17 + 65
1439,	x^18 + x^17 + 21
1447,	x^18 + x^17 + 110
1451,	x^18 + x^17 + 290
1453,	x^18 + x^17 + 32
1459,	x^18 + x^17 + 447
1471,	x^18 + x^17 + 63
1481,	x^18 + x^17 + 53
1483,	x^18 + x^17 + 192
1487,	x^18 + x^17 + 29
1489,	x^18 + x^17 + 43
1493,	x^18 + x^17 + 59
1499,	x^18 + x^17 + 54
1511,	x^18 + x^17 + 59
1523,	x^18 + x^17 + 24
1531,	x^18 + x^17 + 51
1543,	x^18 + x^17 + 213
1549,	x^18 + x^17 + 90
1553,	x^18 + x^17 + 40
1559,	x^18 + x^17 + 133
1567,	x^18 + x^17 + 3
1571,	x^18 + x^17 + 71
1579,	x^18 + x^17 + 34
1583,	x^18 + x^17 + 57
1597,	x^18 + x^17 + 33
1601,	x^18 + x^17 + 17
1607,	x^18 + x^17 + 26
1609,	x^18 + x^17 + 53
1613,	x^18 + x^17 + 3
1619,	x^18 + x^17 + 86
1621,	x^18 + x^17 + 340
1627,	x^18 + x^17 + 12
1637,	x^18 + x^17 + 2
1657,	x^18 + x^17 + 157
1663,	x^18 + x^17 + 3
1667,	x^18 + x^17 + 7
1669,	x^18 + x^17 + 6
1693,	x^18 + x^17 + 103
1697,	x^18 + x^17 + 172
1699,	x^18 + x^17 + 101
1709,	x^18 + x^17 + 21
1721,	x^18 + x^17 + 3
1723,	x^18 + x^17 + 95
1733,	x^18 + x^17 + 12
1741,	x^18 + x^17 + 205
1747,	x^18 + x^17 + 5
1753,	x^18 + x^17 + 110
1759,	x^18 + x^17 + 103
1777,	x^18 + x^17 + 45
1783,	x^18 + x^17 + 58
1787,	x^18 + x^17 + 128
1789,	x^18 + x^17 + 77
1801,	x^18 + x^17 + 19
1811,	x^18 + x^17 + 22
1823,	x^18 + x^17 + 258
1831,	x^18 + x^17 + 7
1847,	x^18 + x^17 + 68
1861,	x^18 + x^17 + 33
1867,	x^18 + x^17 + 92
1871,	x^18 + x^17 + 42
1873,	x^18 + x^17 + 45
1877,	x^18 + x^17 + 47
1879,	x^18 + x^17 + 205
1889,	x^18 + x^17 + 19
1901,	x^18 + x^17 + 86
1907,	x^18 + x^17 + 82
1913,	x^18 + x^17 + 378
1931,	x^18 + x^17 + 22
1933,	x^18 + x^17 + 87
1949,	x^18 + x^17 + 285
1951,	x^18 + x^17 + 274
1973,	x^18 + x^17 + 51
1979,	x^18 + x^17 + 18
1987,	x^18 + x^17 + 30
1993,	x^18 + x^17 + 60
1997,	x^18 + x^17 + 56
1999,	x^18 + x^17 + 290
2003,	x^18 + x^17 + 276
2011,	x^18 + x^17 + 69
2017,	x^18 + x^17 + 38
2027,	x^18 + x^17 + 80
