p,	poly,	modulus
2!,	x^26 + (a^2 + a + 1)*x^25 + (a^3 + a^2 + 1)*x^24 + (a^2 + a)*x^23 + (a^3 + a^2 + 1)*x^22 + (a^3 + a^2 + a + 1)*x^21 + a^3*x^20 + (a^2 + 1)*x^19 + a*x^18 + a*x^17 + a^3*x^16 + a*x^15 + (a^3 + a^2 + a)*x^14 + (a^3 + a + 1)*x^13 + (a + 1)*x^12 + a^2*x^10 + (a^3 + 1)*x^9 + (a^3 + a)*x^8 + (a^3 + a^2 + a + 1)*x^7 + (a^2 + a + 1)*x^6 + (a^3 + a + 1)*x^5 + a^2*x^4 + x^3 + (a^3 + a^2 + a + 1)*x^2 + (a^2 + a + 1)*x + a,	a^4 + a + 1
3!,	x^26 + (a^2 + 2)*x^25 + (2*a^2 + 2*a + 1)*x^24 + x^23 + (2*a^3 + a^2 + a + 1)*x^22 + (2*a^3 + 2*a^2 + a + 1)*x^21 + (a^3 + 2*a^2 + a)*x^20 + a*x^18 + (2*a^3 + 1)*x^17 + (2*a^3 + a^2 + 2*a + 1)*x^16 + (2*a^2 + 2*a)*x^15 + (a^2 + a + 2)*x^14 + (2*a^3 + a^2 + 2)*x^13 + (2*a^3 + 2*a^2 + a + 2)*x^12 + (2*a + 2)*x^11 + (a^3 + 2*a^2 + a + 1)*x^10 + (2*a^3 + a^2 + 2*a + 2)*x^9 + (a^2 + 2*a)*x^8 + (2*a^2 + 2)*x^7 + (a^3 + a^2 + 1)*x^6 + (a^3 + 2)*x^5 + (2*a^3 + a^2)*x^4 + (a + 2)*x^3 + (a^3 + 2*a)*x^2 + (2*a^2 + a + 2)*x + 2*a^2 + 2,	a^4 + 2*a^3 + 2
5!,	x^26 + (4*a^3 + 3*a + 2)*x^25 + (4*a^3 + 4*a^2 + 2*a + 1)*x^24 + (a^3 + 4*a^2 + a)*x^23 + (a^3 + 4*a^2 + 2*a + 4)*x^22 + (2*a^3 + 3*a^2 + 2*a + 1)*x^21 + (2*a^3 + 2*a^2 + a)*x^20 + (a^3 + 4*a^2 + a + 1)*x^19 + (2*a^3 + 3*a^2 + 3)*x^18 + (3*a^3 + a^2 + 4*a + 3)*x^17 + (a^3 + 2*a^2 + a)*x^16 + (2*a^3 + 3*a^2 + 4*a)*x^15 + (2*a^3 + 4*a^2 + 3*a + 2)*x^14 + (3*a^3 + 3*a^2 + 3*a + 3)*x^13 + (2*a^2 + 3)*x^12 + (a^2 + 2*a + 4)*x^11 + (2*a^3 + 3*a^2 + 4*a + 2)*x^10 + (3*a^3 + 4*a^2 + 2)*x^9 + (4*a^2 + 4*a + 1)*x^8 + (a^3 + a + 1)*x^7 + (4*a^3 + 3*a)*x^6 + (3*a^2 + 3*a + 3)*x^5 + (3*a^3 + 3*a^2 + a + 1)*x^4 + (a^2 + 3*a + 2)*x^3 + (4*a^3 + 4*a + 1)*x^2 + (a^3 + 2*a^2 + 1)*x + a^3 + 3*a + 1,	a^4 + 4*a^2 + 4*a + 2
7!,	x^26 + (2*a^3 + 5*a^2 + 2*a)*x^25 + (a^3 + 3*a + 6)*x^24 + (2*a^3 + 5*a^2 + 2*a + 4)*x^23 + (6*a^3 + 4*a^2)*x^22 + (5*a^3 + 2*a^2 + 3)*x^21 + (4*a^3 + 5*a^2 + a + 4)*x^20 + (a^3 + a^2 + a + 5)*x^19 + (5*a^3 + 3*a^2 + 3)*x^18 + (5*a^3 + 6*a^2 + 3*a + 4)*x^17 + (a^3 + 5*a^2 + 5)*x^16 + (3*a^3 + 4*a^2 + a + 5)*x^15 + (a^3 + 6*a + 5)*x^14 + (5*a^3 + 2*a^2 + 2*a + 3)*x^13 + (a^3 + 5*a^2 + 4)*x^12 + (3*a^3 + 6*a^2 + 6*a + 5)*x^11 + (3*a^3 + 6*a^2 + 4*a)*x^10 + (2*a^2 + 6*a + 5)*x^9 + (5*a^3 + 2*a^2 + 4*a)*x^8 + (2*a^3 + 4*a + 2)*x^7 + (3*a^3 + 4*a^2 + 2*a + 2)*x^6 + (4*a^3 + 6*a^2 + 2*a)*x^5 + (6*a^3 + 3*a^2 + 5*a + 3)*x^4 + (2*a^3 + a^2 + 3*a + 3)*x^3 + (4*a^2 + 5*a + 5)*x^2 + (2*a^3 + 5*a + 3)*x + 2*a^3 + 6*a + 2,	a^4 + 5*a^2 + 4*a + 3
11!,	x^26 + (9*a^3 + 9*a^2 + 6*a + 4)*x^25 + (8*a^3 + 8)*x^24 + (2*a^3 + a^2 + 4*a + 10)*x^23 + (10*a^3 + 3*a^2 + 3*a + 8)*x^22 + (4*a^3 + 4*a^2 + 8*a)*x^21 + (3*a^3 + 4*a^2 + 3*a + 5)*x^20 + (3*a^2 + a)*x^19 + (5*a^3 + 2*a^2 + 4*a + 8)*x^18 + (4*a^3 + 10*a^2 + 6*a + 2)*x^17 + (5*a^3 + 2*a^2 + 7*a + 9)*x^16 + (8*a^3 + a^2 + 5*a + 7)*x^15 + (2*a^3 + 7*a^2 + 7*a + 7)*x^14 + (9*a^3 + 8*a^2 + 2*a + 9)*x^13 + (3*a^3 + 3*a^2 + 10*a + 10)*x^12 + (4*a^3 + a^2 + 3*a + 3)*x^11 + (4*a^3 + 2*a^2 + 2)*x^10 + (4*a^2 + 7*a)*x^9 + (5*a^3 + a^2 + 7*a + 8)*x^8 + (6*a^3 + 10*a^2 + 5*a)*x^7 + (9*a^3 + 10*a^2 + 2*a + 10)*x^6 + (2*a^3 + a^2 + 4)*x^5 + (10*a^3 + a^2 + 9)*x^4 + (7*a^3 + 5*a^2 + 5*a)*x^3 + (a^2 + 5*a)*x^2 + (2*a^3 + 8*a^2 + 10*a + 1)*x + 4*a^3 + 6*a^2 + 8*a,	a^4 + 8*a^2 + 10*a + 2
13!,	x^26 + (11*a^3 + 3*a^2 + 9*a)*x^25 + (5*a^3 + 8*a^2 + 5*a + 9)*x^24 + (3*a^3 + 6*a^2 + 12*a + 2)*x^23 + (8*a^3 + 8*a + 5)*x^22 + (7*a^3 + 3*a^2 + 11*a + 3)*x^21 + (8*a^3 + 4*a^2 + a + 1)*x^20 + (2*a^3 + 8*a^2 + 12*a + 7)*x^19 + (2*a^3 + 9*a^2 + 4*a + 6)*x^18 + (10*a^3 + 7*a^2 + 2*a + 8)*x^17 + (9*a^3 + 10*a^2 + 6)*x^16 + (9*a^3 + 11*a + 2)*x^15 + (2*a^3 + 4)*x^14 + (11*a^3 + 5*a^2 + a + 7)*x^13 + (2*a^3 + 12*a + 3)*x^12 + (3*a^3 + 6*a^2 + 9*a + 3)*x^11 + (11*a^3 + 8*a^2 + a + 6)*x^10 + (6*a^3 + 8*a^2 + 4*a + 10)*x^9 + (2*a^3 + a^2 + 9*a + 6)*x^8 + (6*a^3 + 2*a + 1)*x^7 + (7*a^3 + 12*a^2 + 6*a + 4)*x^6 + (5*a^3 + 2*a^2 + 6*a + 11)*x^5 + (11*a^3 + 7*a^2 + 5*a + 4)*x^4 + (2*a^3 + 12*a)*x^3 + (11*a^3 + 7*a + 11)*x^2 + (3*a^3 + 5*a^2 + 6*a + 12)*x + 4*a^3 + 4*a^2 + 10*a + 3,	a^4 + 3*a^2 + 12*a + 2
17!,	x^26 + (3*a^3 + 12*a^2 + 2*a + 16)*x^25 + (10*a^2 + a + 2)*x^24 + (13*a^3 + 6*a^2 + 16*a + 13)*x^23 + (11*a^3 + 16*a^2 + 12*a)*x^22 + (7*a^3 + 10*a^2 + 3*a + 10)*x^21 + (15*a^3 + 16*a^2 + 15*a + 4)*x^20 + (9*a^3 + a^2 + a + 14)*x^19 + (a^3 + 15*a^2 + 11*a + 4)*x^18 + (3*a^3 + 16*a^2 + 7*a + 10)*x^17 + (16*a^3 + 13*a^2 + 14*a + 16)*x^16 + (7*a^3 + 16*a^2 + 3*a)*x^15 + (16*a^3 + 7*a^2 + 16*a + 13)*x^14 + (10*a^3 + 8*a^2 + 14*a)*x^13 + (11*a^3 + 7*a^2 + 14*a + 16)*x^12 + (7*a^3 + 9*a^2 + 4*a + 9)*x^11 + (9*a^3 + 15*a^2 + 5*a + 13)*x^10 + (3*a^3 + 9*a^2 + 6*a + 10)*x^9 + (5*a^3 + 5*a^2 + a + 7)*x^8 + (14*a^3 + 14*a^2 + 12*a + 3)*x^7 + (a^3 + 16*a^2 + 8*a + 12)*x^6 + (7*a^3 + 16*a + 4)*x^5 + (4*a^3 + 7*a^2 + 9*a + 13)*x^4 + (12*a^3 + 7*a^2 + 15*a + 10)*x^3 + (15*a^3 + 7*a^2 + 14*a + 14)*x^2 + (14*a^3 + 11*a^2 + 13)*x + 3*a^3 + 16*a^2 + 2*a + 9,	a^4 + 7*a^2 + 10*a + 3
19!,	x^26 + (9*a^3 + 5*a^2 + 5*a + 8)*x^25 + (7*a^3 + 10*a^2 + 8*a + 13)*x^24 + (a^3 + 2*a^2 + 18*a + 9)*x^23 + (11*a^3 + 10*a^2 + 7*a + 7)*x^22 + (12*a^3 + a^2 + 6*a + 18)*x^21 + (11*a^3 + 10*a^2 + 18*a + 4)*x^20 + (6*a^3 + 6*a^2 + 15*a + 5)*x^19 + (11*a^3 + 16*a^2 + 12*a + 6)*x^18 + (17*a^3 + 15*a^2 + 17*a + 5)*x^17 + (a^3 + 17*a + 3)*x^16 + (8*a^3 + 5)*x^15 + (11*a^3 + 13*a^2 + 5*a + 11)*x^14 + (18*a^3 + 10*a^2 + 2*a + 10)*x^13 + (3*a^3 + 11*a^2 + 4*a + 1)*x^12 + (17*a^3 + 17*a^2 + a + 15)*x^11 + (7*a^3 + 8*a^2 + 2*a + 18)*x^10 + (5*a^3 + 6*a^2 + 7*a + 14)*x^9 + (a^3 + 8*a^2 + 13*a + 13)*x^8 + (11*a^2 + 11*a + 3)*x^7 + (8*a^3 + 17*a^2 + 15*a + 6)*x^6 + (6*a^3 + 7*a^2 + 12*a + 4)*x^5 + (a^3 + 9*a^2 + 13*a + 10)*x^4 + (2*a^3 + 3*a^2 + 16*a + 14)*x^3 + (11*a^3 + 10*a^2 + 15*a + 3)*x^2 + (12*a^3 + 7*a^2 + 6*a + 7)*x + 8*a^3 + 12*a^2 + 3*a + 2,	a^4 + 2*a^2 + 11*a + 2
23!,	x^26 + (8*a^3 + 4*a^2 + 8)*x^25 + (16*a^3 + 12*a^2 + 9*a + 3)*x^24 + (21*a^3 + 18*a^2 + 15*a + 11)*x^23 + (10*a^3 + 10*a^2 + 9*a + 2)*x^22 + (a^3 + 15*a^2 + 3*a + 18)*x^21 + (16*a^3 + 14*a^2 + 21*a + 12)*x^20 + (7*a^3 + 2*a^2 + 4*a + 9)*x^19 + (13*a^3 + 15*a^2 + 4*a + 10)*x^18 + (13*a^3 + a^2 + 11*a + 20)*x^17 + (16*a^3 + 8*a^2 + 3*a + 21)*x^16 + (3*a^3 + 15*a^2 + 20*a + 15)*x^15 + (10*a^3 + 20*a^2 + 5*a + 10)*x^14 + (9*a^3 + 8*a^2 + 21*a + 7)*x^13 + (13*a^3 + 14*a^2 + 21*a + 14)*x^12 + (a^3 + 18*a^2 + 8*a + 14)*x^11 + (17*a^3 + 3*a^2 + 18*a + 11)*x^10 + (5*a^3 + 2*a^2 + a + 7)*x^9 + (8*a^3 + 19*a^2 + 12*a + 10)*x^8 + (11*a^3 + 20*a^2 + 10*a + 10)*x^7 + (3*a^3 + 22*a^2 + 6*a)*x^6 + (2*a^3 + 16*a^2 + 3*a + 14)*x^5 + (18*a^2 + 14*a + 22)*x^4 + (20*a^2 + 8*a + 6)*x^3 + (3*a^2 + 15)*x^2 + (17*a^3 + 15*a^2 + 12*a + 19)*x + 9*a^3 + 18*a^2 + 6*a + 22,	a^4 + 3*a^2 + 19*a + 5
