p,	poly
2,	x^15 + x^14 + 1
3,	x^15 + x^14 + x^2 + 1
5,	x^15 + x^14 + x^2 + 3
7,	x^15 + 3*x^14 + 2*x^2 + 4
11,	x^15 + x^14 + x + 9
13,	x^15 + x^14 + 3*x + 6
17,	x^15 + x^14 + 10
19,	x^15 + x^14 + 3*x + 9
23,	x^15 + x^14 + 3
29,	x^15 + x^14 + 26
31,	x^15 + x^14 + 3*x + 14
37,	x^15 + x^14 + 5
41,	x^15 + x^14 + 13
43,	x^15 + x^14 + 14
47,	x^15 + x^14 + 18
53,	x^15 + x^14 + 39
59,	x^15 + x^14 + 19
61,	x^15 + x^14 + 10
67,	x^15 + 2*x^14 + 35
71,	x^15 + x^14 + 24
73,	x^15 + x^14 + 62
79,	x^15 + x^14 + 20
83,	x^15 + x^14 + 28
89,	x^15 + x^14 + 62
97,	x^15 + x^14 + 10
101,	x^15 + 2*x^14 + 61
103,	x^15 + x^14 + 41
107,	x^15 + 2*x^14 + 48
109,	x^15 + x^14 + 72
113,	x^15 + x^14 + 10
127,	x^15 + x^14 + 60
131,	x^15 + x^14 + 35
137,	x^15 + x^14 + 20
139,	x^15 + x^14 + 41
149,	x^15 + x^14 + 117
151,	x^15 + x^14 + 37
157,	x^15 + x^14 + 34
163,	x^15 + x^14 + 10
167,	x^15 + x^14 + 8
173,	x^15 + x^14 + 46
179,	x^15 + x^14 + 42
181,	x^15 + x^14 + 2
191,	x^15 + x^14 + 2
193,	x^15 + x^14 + 40
197,	x^15 + x^14 + 50
199,	x^15 + x^14 + 100
211,	x^15 + x^14 + 6
223,	x^15 + x^14 + 69
227,	x^15 + x^14 + 11
229,	x^15 + x^14 + 31
233,	x^15 + x^14 + 3
239,	x^15 + x^14 + 33
241,	x^15 + x^14 + 7
251,	x^15 + x^14 + 7
257,	x^15 + x^14 + 38
263,	x^15 + x^14 + 23
269,	x^15 + x^14 + 22
271,	x^15 + x^14 + 56
277,	x^15 + x^14 + 68
281,	x^15 + x^14 + 3
283,	x^15 + x^14 + 34
293,	x^15 + x^14 + 7
307,	x^15 + x^14 + 121
311,	x^15 + x^14 + 90
313,	x^15 + x^14 + 69
317,	x^15 + x^14 + 52
331,	x^15 + x^14 + 113
337,	x^15 + x^14 + 33
347,	x^15 + x^14 + 9
349,	x^15 + x^14 + 165
353,	x^15 + x^14 + 54
359,	x^15 + x^14 + 4
367,	x^15 + x^14 + 18
373,	x^15 + x^14 + 61
379,	x^15 + x^14 + 22
383,	x^15 + x^14 + 14
389,	x^15 + x^14 + 8
397,	x^15 + x^14 + 89
401,	x^15 + x^14 + 210
409,	x^15 + x^14 + 26
419,	x^15 + x^14 + 3
421,	x^15 + x^14 + 24
431,	x^15 + x^14 + 135
433,	x^15 + x^14 + 40
439,	x^15 + x^14 + 106
443,	x^15 + x^14 + 39
449,	x^15 + x^14 + 15
457,	x^15 + x^14 + 23
461,	x^15 + x^14 + 12
463,	x^15 + x^14 + 9
467,	x^15 + x^14 + 16
479,	x^15 + x^14 + 7
487,	x^15 + x^14 + 33
491,	x^15 + x^14 + 106
499,	x^15 + x^14 + 14
503,	x^15 + x^14 + 13
509,	x^15 + x^14 + 12
521,	x^15 + x^14 + 79
523,	x^15 + x^14 + 71
541,	x^15 + x^14 + 73
547,	x^15 + x^14 + 66
