p,	poly,	modulus
2,	x^12 + x^11 + (a + 1)*x^4 + a*x + a + 1,	a^2 + a + 1
3,	x^12 + x^11 + x + 2*a,	a^2 + 2*a + 2
5,	x^12 + x^11 + 2*x + 3*a,	a^2 + 4*a + 2
7,	x^12 + x^11 + 2*x + 3*a + 1,	a^2 + 6*a + 3
11,	x^12 + x^11 + 5*a,	a^2 + 7*a + 2
13,	x^12 + x^11 + 6*a,	a^2 + 12*a + 2
17,	x^12 + x^11 + 6*a,	a^2 + 16*a + 3
19,	x^12 + x^11 + 13*a + 5,	a^2 + 18*a + 2
23,	x^12 + x^11 + 18*a,	a^2 + 21*a + 5
29,	x^12 + x^11 + 3*a,	a^2 + 24*a + 2
31,	x^12 + x^11 + 21*a,	a^2 + 29*a + 3
37,	x^12 + x^11 + 23*a,	a^2 + 33*a + 2
41,	x^12 + x^11 + 17*a,	a^2 + 38*a + 6
43,	x^12 + x^11 + 38*a + 1,	a^2 + 42*a + 3
47,	x^12 + x^11 + 8*a,	a^2 + 45*a + 5
53,	x^12 + x^11 + 6*a,	a^2 + 49*a + 2
59,	x^12 + x^11 + 12*a,	a^2 + 58*a + 2
61,	x^12 + x^11 + 25*a,	a^2 + 60*a + 2
67,	x^12 + x^11 + 58*a,	a^2 + 63*a + 2
71,	x^12 + x^11 + 10*a,	a^2 + 69*a + 7
73,	x^12 + x^11 + 52*a,	a^2 + 70*a + 5
79,	x^12 + x^11 + 11*a,	a^2 + 78*a + 3
83,	x^12 + x^11 + 8*a,	a^2 + 82*a + 2
89,	x^12 + x^11 + 17*a,	a^2 + 82*a + 3
97,	x^12 + x^11 + 23*a,	a^2 + 96*a + 5
101,	x^12 + x^11 + 5*a,	a^2 + 97*a + 2
103,	x^12 + x^11 + 3*a,	a^2 + 102*a + 5
107,	x^12 + x^11 + 9*a,	a^2 + 103*a + 2
109,	x^12 + x^11 + 38*a,	a^2 + 108*a + 6
113,	x^12 + x^11 + 19*a,	a^2 + 101*a + 3
127,	x^12 + x^11 + 16*a,	a^2 + 126*a + 3
131,	x^12 + x^11 + 36*a,	a^2 + 127*a + 2
137,	x^12 + x^11 + 22*a,	a^2 + 131*a + 3
139,	x^12 + x^11 + 4*a,	a^2 + 138*a + 2
