p,	poly,	modulus
2,	x^30 + x^29 + x^6 + a,	a^3 + a + 1
3,	x^30 + x^29 + a,	a^3 + 2*a + 1
5,	x^30 + x^29 + a*x + 2*a^2 + 4*a + 3,	a^3 + 3*a + 3
7,	x^30 + x^29 + 5*a + 1,	a^3 + 6*a^2 + 4
11,	x^30 + x^29 + a^2 + 4*a + 5,	a^3 + 2*a + 9
13,	x^30 + x^29 + 2*a + 8,	a^3 + 2*a + 11
17,	x^30 + x^29 + 4*a + 9,	a^3 + a + 14
19,	x^30 + x^29 + a + 6,	a^3 + 4*a + 17
23,	x^30 + x^29 + 5*a + 18,	a^3 + 2*a + 18
29,	x^30 + x^29 + 9*a,	a^3 + 2*a + 27
31,	x^30 + x^29 + 23*a^2,	a^3 + a + 28
37,	x^30 + x^29 + 11*a,	a^3 + 6*a + 35
41,	x^30 + x^29 + 29*a^2,	a^3 + a + 35
43,	x^30 + x^29 + a + 16,	a^3 + a + 40
47,	x^30 + x^29 + 13*a^2,	a^3 + 3*a + 42
53,	x^30 + x^29 + 40*a,	a^3 + 3*a + 51
59,	x^30 + x^29 + a + 41,	a^3 + 5*a + 57
61,	x^30 + x^29 + 4*a,	a^3 + 7*a + 59
67,	x^30 + x^29 + 32*a^2,	a^3 + 6*a + 65
71,	x^30 + x^29 + 4*a + 63,	a^3 + 4*a + 64
73,	x^30 + x^29 + 60*a^2,	a^3 + 2*a + 68
79,	x^30 + x^29 + 61*a^2,	a^3 + 9*a + 76
83,	x^30 + x^29 + 42*a^2,	a^3 + 3*a + 81
89,	x^30 + x^29 + 5*a + 23,	a^3 + 3*a + 86
