p,	poly,	modulus
2,	x^20 + x^19 + x^3 + a,	a^3 + a + 1
3,	x^20 + x^19 + 2*a*x + 2*a^2 + 1,	a^3 + 2*a + 1
5,	x^20 + x^19 + x + 4*a^2 + 4*a,	a^3 + 3*a + 3
7,	x^20 + x^19 + 2*x + a^2 + a + 5,	a^3 + 6*a^2 + 4
11,	x^20 + x^19 + 4*a + 7,	a^3 + 2*a + 9
13,	x^20 + x^19 + 6*a + 5,	a^3 + 2*a + 11
17,	x^20 + x^19 + 3*a + 14,	a^3 + a + 14
19,	x^20 + x^19 + a,	a^3 + 4*a + 17
23,	x^20 + x^19 + a + 14,	a^3 + 2*a + 18
29,	x^20 + x^19 + a,	a^3 + 2*a + 27
31,	x^20 + x^19 + 4*a + 23,	a^3 + a + 28
37,	x^20 + x^19 + 2*a + 21,	a^3 + 6*a + 35
41,	x^20 + x^19 + a + 25,	a^3 + a + 35
43,	x^20 + x^19 + 3*a + 1,	a^3 + a + 40
47,	x^20 + x^19 + 11*a + 18,	a^3 + 3*a + 42
53,	x^20 + x^19 + a + 14,	a^3 + 3*a + 51
