q, p, r, n, CN, PCN, gens
23, 23, 1, 2, 484*, 160, (1 1 1)*: 22 (2 1 1)*: 22
23, 23, 1, 3, 11616*, 4440, (1 1 1)*: 22 (3 1 1)*: 528
23, 23, 1, 4, 255552*, 60640, (1 1 1)*: 22 (2 1 1)*: 22 (4 1 1)*: 528
23, 23, 1, 5, 6156480*, 2798400, (1 1 1)*: 22 (5 1 1)*: 279840
23, 23, 1, 6, 134420352, 31821840, (1 1 1)*: 22 (2 1 1)*: 22 (3 2 1): 277728
23, 23, 1, 7, 3256254232*, 1429085280, (1 1 1)*: 22 (7 1 1)*: 148011556
529, 23, 2, 2, 278784*, 66560, (1 1 1)*: 528 (2 1 1)*: 528
529, 23, 2, 3, 147197952*, 34848000, (1 1 1)*: 528 (3 1 1)*: 278784
