q, p, r, n, CN, PCN, gens
11, 11, 1, 2, 100*, 32, (1 1 1)*: 10 (2 1 1)*: 10
11, 11, 1, 3, 1200*, 384, (1 1 1)*: 10 (3 1 1)*: 120
11, 11, 1, 4, 12000*, 3200, (1 1 1)*: 10 (2 1 1)*: 10 (4 1 1)*: 120
11, 11, 1, 5, 100000*, 40000, (1 1 1)*: 10 (5 1 1)*: 10000
11, 11, 1, 6, 1416000, 298848, (1 1 1)*: 10 (2 1 1)*: 10 (3 2 1): 14160
11, 11, 1, 7, 17689000*, 6911072, (1 1 1)*: 10 (7 1 1)*: 1768900
121, 11, 2, 2, 14400*, 3840, (1 1 1)*: 120 (2 1 1)*: 120
121, 11, 2, 3, 1728000*, 364608, (1 1 1)*: 120 (3 1 1)*: 14400
121, 11, 2, 4, 207360000*, 54374400, (1 1 1)*: 120 (2 1 1)*: 120 (4 1 1)*: 14400
