p,	poly,	modulus
2,	x^28 + x^27 + a*x + a^4 + a^2,	a^8 + a^4 + a^3 + a^2 + 1
3!,	x^28 + (2*a^7 + 2*a^6 + a^5 + 2*a^4 + 2*a^3 + 2*a^2 + 1)*x^27 + (a^7 + 2*a^6 + 2*a^2 + 2*a)*x^26 + (2*a^7 + a^6 + a^4 + a^2 + 2*a + 2)*x^25 + (2*a^6 + a^5 + 2*a^4 + a^3 + 2*a^2 + 2*a + 2)*x^24 + (2*a^6 + a^5 + 2*a^4 + 2*a^3 + a)*x^23 + (a^6 + 2*a^5 + a^2)*x^22 + (2*a^7 + 2*a^4 + 2*a^3 + 2*a)*x^21 + (2*a^6 + a^4 + 2*a^2 + 2*a)*x^20 + (a^5 + 2*a^3 + 2*a^2 + a + 1)*x^19 + (2*a^6 + 2*a^4 + 2*a^3 + 2*a^2 + a + 2)*x^18 + (a^5 + a^4 + 2*a^3 + a^2 + a + 1)*x^17 + (a^7 + a^6 + a^5 + 2*a^2 + 2*a)*x^16 + (2*a^6 + a^5 + 2*a^4 + 2*a^3 + 2*a + 2)*x^15 + (2*a^5 + a^4 + 2*a^2 + 1)*x^14 + (a^7 + 2*a^6 + a^4 + 2*a^3 + a^2 + 2)*x^13 + (a^6 + a^5 + 2*a^4 + a^2 + 2*a + 2)*x^12 + (a^6 + a^5 + 2*a^2 + a + 2)*x^11 + (2*a^7 + 2*a^4 + 2*a^3 + a^2 + 2*a + 1)*x^10 + (a^6 + a^5 + a^3 + a + 1)*x^9 + (2*a^7 + 2*a^4 + 2*a^2 + 2*a + 2)*x^8 + (a^6 + a^5 + 2*a^4 + a^2 + 2*a + 2)*x^7 + (2*a^6 + a^5 + 2*a^4 + a^3 + a)*x^6 + (2*a^7 + a^6 + a^4 + a^3 + a + 1)*x^5 + (2*a^7 + 2*a^6 + 2*a^5 + a^4 + a^3 + a^2 + 2*a)*x^4 + (a^7 + 2*a^6 + a^5 + a^4 + a^3)*x^3 + (2*a^7 + a^6 + 2*a^5 + a^4 + 2*a^3 + 2*a^2 + a + 1)*x^2 + (2*a^7 + 2*a^6 + a^5 + 2*a^2)*x + 2*a^6 + 2*a^5 + 2*a^4 + a^2 + 2*a + 1,	a^8 + 2*a^5 + a^4 + 2*a^2 + 2*a + 2
5!,	x^28 + (3*a^7 + 4*a^6 + 3*a^5 + 2*a^4 + 2*a^3 + 3*a^2 + 2*a + 2)*x^27 + (a^7 + 4*a^6 + a^4 + 2*a^3 + 4*a^2 + 2*a + 3)*x^26 + (a^6 + a^5 + 4*a^4 + 4*a^3 + a^2 + 4*a + 3)*x^25 + (3*a^7 + a^6 + 4*a^5 + 3*a^3 + a + 3)*x^24 + (a^7 + 4*a^6 + a^5 + 3*a^4 + 4*a^3 + a^2 + 4)*x^23 + (2*a^6 + 2*a^5 + 2*a^4 + 2*a^3 + 4*a^2 + 3*a + 3)*x^22 + (4*a^7 + 4*a^5 + a^4 + a + 1)*x^21 + (2*a^7 + a^6 + 2*a^5 + 4*a^4 + 3*a^3 + 2*a + 3)*x^20 + (2*a^7 + 2*a^6 + 3*a^5 + 4*a^4 + 4*a^2 + a + 1)*x^19 + (2*a^7 + a^5 + 2*a^4 + 3*a^3 + 3*a^2 + 2*a + 1)*x^18 + (2*a^7 + 2*a^6 + a^5 + a^4 + a^3 + a^2 + 3)*x^17 + (a^7 + 2*a^6 + 4*a^4 + 3*a^3 + 4*a^2 + 4*a + 4)*x^16 + (3*a^6 + a^5 + 4*a^4 + a^3 + a + 4)*x^15 + (2*a^7 + 4*a^6 + 2*a^4 + 2*a^2 + 3)*x^14 + (3*a^7 + 2*a^6 + 3*a^5 + 3*a^4 + a^3 + 3*a^2 + 4)*x^13 + (3*a^7 + 4*a^6 + a^5 + 2*a^4 + a^3 + 4*a^2 + 4*a + 3)*x^12 + (a^7 + 2*a^6 + 2*a^5 + 3*a^4 + 4*a^3 + 4*a + 1)*x^11 + (3*a^7 + 4*a^5 + 4*a^4 + a + 1)*x^10 + (3*a^7 + 4*a^6 + 3*a^4 + 4*a^3 + 2*a^2 + a)*x^9 + (4*a^7 + 4*a^6 + a^5 + 4*a^4 + a^3 + a^2 + 3*a + 2)*x^8 + (2*a^7 + a^6 + 2*a^3 + 4*a^2 + 4*a)*x^7 + (2*a^7 + 3*a^6 + 2*a^5 + 4*a^3 + a^2 + a)*x^6 + (2*a^7 + 4*a^5 + 4*a^4 + 2*a^3 + 4*a^2 + 4)*x^5 + (3*a^7 + 3*a^6 + a^5 + 4*a^2 + a + 4)*x^4 + (2*a^7 + a^6 + 2*a^4 + 4*a^3 + a^2 + 4*a + 2)*x^3 + (a^7 + 4*a^5 + 3*a^4 + 4*a^3 + 4*a^2 + 3*a + 2)*x^2 + (2*a^7 + 4*a^5 + a^4 + 4*a^3 + a^2 + 3*a + 1)*x + 3*a^6 + 3*a^5 + a^3 + a^2 + a + 2,	a^8 + a^4 + 3*a^2 + 4*a + 2
