p,	poly,	modulus
2,	x^28 + x^27 + a*x + a^3 + a^2 + a,	a^7 + a + 1
3!,	x^28 + (2*a^5 + 2*a^2 + 2*a + 1)*x^27 + (a^6 + 2*a^4 + 2*a^3 + 2*a^2 + a + 1)*x^26 + (2*a^6 + 2*a^4 + a^3 + a^2 + 2*a)*x^25 + (2*a^4 + a^2)*x^24 + (a^5 + 2*a^4 + 2*a^3)*x^23 + (a^6 + a^5 + a^4 + a^3 + 2*a^2 + a)*x^22 + (2*a^6 + 2*a^5 + 2*a^4 + 2*a^3 + 2*a^2 + a + 1)*x^21 + (2*a^4 + 2*a^3 + 2*a^2 + 2*a + 2)*x^20 + (2*a^6 + 2*a^3 + 2*a^2)*x^19 + (a^6 + a + 2)*x^18 + (2*a^6 + 2*a^3 + a^2)*x^17 + (a^6 + a^5 + a^4 + 2*a^3 + 2*a^2)*x^16 + (2*a^5 + a^3 + a^2 + 2*a + 1)*x^15 + (2*a^6 + 2*a^5 + 2*a^4 + 2*a^3)*x^14 + (a^6 + 2*a^5 + a^3 + 2)*x^13 + (2*a^6 + 2*a^5 + 2*a^4 + a^3 + 2*a^2 + a + 2)*x^12 + (a^4 + a^3 + a^2 + 2*a + 2)*x^11 + (2*a^6 + a^5 + a^4 + 2*a^3 + 2)*x^10 + (a^4 + 2*a^2 + a + 2)*x^9 + (a^6 + a^4 + a^3 + 2*a^2 + 2*a + 2)*x^8 + (2*a^6 + a^5 + a^4 + a^3 + a + 2)*x^7 + (2*a^6 + 2*a^5 + 2*a^3 + 2*a + 1)*x^6 + (a^6 + a^5 + 2*a^4 + a^3 + 2*a + 1)*x^5 + (a^5 + a^4 + a^3 + 2*a^2 + 2*a)*x^4 + (2*a^6 + 2*a^4 + 2*a^3 + a + 2)*x^3 + (2*a^6 + a^4 + 2*a^2)*x^2 + (a^4 + 2*a^2 + a + 2)*x + a^6 + 2*a^5 + 2*a + 1,	a^7 + 2*a^2 + 1
5!,	x^28 + (2*a^6 + a^5 + 3*a^4 + 2*a^3 + 3*a^2 + 3*a + 4)*x^27 + (3*a^5 + a^4 + 3*a^3 + 2*a^2 + 4*a + 1)*x^26 + (a^6 + 4*a^5 + a^4 + a^3 + 4*a^2 + a + 1)*x^25 + (3*a^6 + 2*a^5 + 3*a^4 + a^3 + a^2 + 4*a + 1)*x^24 + (a^6 + 2*a^5 + 3*a^4 + 4*a^3 + 4*a^2 + 4*a + 3)*x^23 + (2*a^5 + 4*a^4 + 4*a + 1)*x^22 + (a^6 + a^5 + 4*a^4 + 3*a^3 + 4*a^2 + 4*a)*x^21 + (a^6 + 4*a^5 + 2*a^3 + 4*a^2)*x^20 + (3*a^6 + 3*a^5 + 3*a^2 + 3)*x^19 + (a^5 + 2*a^2 + 4*a)*x^18 + (4*a^6 + 4*a^3 + 4*a + 2)*x^17 + (3*a^6 + 3*a^5 + 2*a^4 + 3*a^3 + 3*a^2 + 4*a + 4)*x^16 + (2*a^5 + 4*a^4 + 4*a^2 + 3*a + 1)*x^15 + (4*a^3 + 3*a + 1)*x^14 + (3*a^5 + 2*a^4 + a^3 + 2*a + 3)*x^13 + (3*a^6 + 2*a^5 + 3*a^3 + 2*a^2 + 2*a)*x^12 + (a^5 + 3*a^4 + a^3 + 4*a^2 + 3)*x^11 + (2*a^6 + 2*a^5 + 4*a^4 + 2*a^3 + 2*a^2 + a + 3)*x^10 + (4*a^5 + 4*a^4 + 4*a^3 + 3*a + 4)*x^9 + (3*a^6 + 3*a^5 + a^4 + a^3 + 4*a + 4)*x^8 + (2*a^4 + 2*a^2)*x^7 + (3*a^6 + 2*a^5 + a^3 + 3*a^2 + 4)*x^6 + (4*a^6 + 2*a^5 + a^4 + 4*a^3 + 3*a + 2)*x^5 + (4*a^6 + 2*a^4 + 3*a^2)*x^4 + (3*a^6 + a^5 + 3*a^4 + 3*a^3 + 4*a + 2)*x^3 + (2*a^6 + 3*a^5 + 3*a^4 + a^3 + 3*a^2 + a + 3)*x^2 + (4*a^6 + 4*a^5 + a^3 + 3*a^2 + 4*a + 4)*x + a^6 + 3*a^5 + 2*a^4 + 2*a^3 + 4*a^2 + a,	a^7 + 3*a + 3
