p,	poly,	modulus
2,	x^28 + x^27 + (a + 1)*x + a^4 + a,	a^5 + a^2 + 1
3,	x^28 + x^27 + a*x^2 + 2*a^2 + a,	a^5 + 2*a + 1
5,	x^28 + x^27 + 3*a^4 + a,	a^5 + 4*a + 3
7!,	x^28 + (4*a^4 + 3*a^2 + 3*a)*x^27 + (5*a^4 + 5*a^3 + 4*a^2 + 3*a + 1)*x^26 + (5*a^4 + 5*a^2 + 5*a + 3)*x^25 + (3*a^4 + 2*a^3 + 5*a^2 + 4*a + 4)*x^24 + (2*a^2 + 5*a)*x^23 + (a^4 + 3*a^3 + 6*a^2 + 2*a)*x^22 + (2*a^4 + 3*a^3 + 6*a^2 + 2*a + 2)*x^21 + (2*a^4 + 6*a^3 + 5*a^2 + 6*a + 6)*x^20 + (4*a^4 + 3*a^3 + 2*a^2 + 3*a + 1)*x^19 + (a^4 + a^3 + 5*a + 6)*x^18 + (3*a^4 + 5*a^3 + 2*a + 2)*x^17 + (5*a^4 + 5*a^2 + 5*a + 1)*x^16 + (5*a^4 + 6*a^3 + 2*a^2 + 3*a + 3)*x^15 + (4*a^4 + 6*a^3 + 2*a^2 + 5*a + 2)*x^14 + (5*a^4 + 4*a^3 + 2*a^2 + 1)*x^13 + (5*a^4 + 5*a^3 + 6*a^2 + 4*a + 3)*x^12 + (2*a^4 + a^3 + 3*a^2 + 4*a + 3)*x^11 + (3*a^4 + 2*a^3 + 5*a^2 + 4*a)*x^10 + (2*a^3 + 6*a^2 + 6*a + 4)*x^9 + (a^4 + 5*a^3 + 6*a^2 + 1)*x^8 + (4*a^4 + a^3 + 6*a^2 + 3*a + 2)*x^7 + (a^4 + 3*a^3 + 4*a + 3)*x^6 + (3*a^4 + 2*a^2 + a + 6)*x^5 + (3*a^4 + 5*a^3 + 3*a^2 + 3*a + 4)*x^4 + (a^4 + 3*a^3 + 5*a^2 + 2*a + 3)*x^3 + (5*a^4 + 6*a^3 + 6*a)*x^2 + (5*a^4 + 2*a^2 + 1)*x + 2*a^4 + a^3 + 2*a^2 + 4*a + 5,	a^5 + a + 4
11!,	x^28 + (4*a^4 + 3*a^3 + 4*a^2 + 9*a + 9)*x^27 + (8*a^4 + 6*a^3 + 3*a^2 + 1)*x^26 + (4*a^4 + 2*a^3 + 10*a^2 + 4*a + 4)*x^25 + (a^4 + 3*a^3 + 5*a^2 + 6*a + 4)*x^24 + (7*a^4 + 3*a^3 + 5*a^2 + 8*a + 9)*x^23 + (3*a^4 + 9*a^3 + 4*a^2 + 4*a + 2)*x^22 + (7*a^4 + 5*a^3 + 2*a^2 + 10*a + 9)*x^21 + (8*a^4 + 9*a^3 + 2*a^2 + 10*a + 9)*x^20 + (2*a^4 + 5*a^3 + 7*a^2 + 7*a + 5)*x^19 + (7*a^4 + 6*a^3 + 6*a^2 + 8*a + 5)*x^18 + (9*a^4 + 2*a^3 + a^2 + 10*a + 10)*x^17 + (8*a^4 + 6*a^2 + 8*a + 2)*x^16 + (10*a^4 + 10*a^3 + 6*a^2 + 8*a + 4)*x^15 + (9*a^4 + 4*a^3 + 10*a^2 + 9*a + 1)*x^14 + (9*a^4 + 10*a^3 + 10*a^2 + a + 9)*x^13 + (4*a^4 + 7*a^3 + 2*a^2 + 4*a + 5)*x^12 + (6*a^4 + 5*a^3 + 8*a^2 + 5*a + 5)*x^11 + (9*a^4 + 9*a^3 + 9*a^2 + 10*a + 6)*x^10 + (3*a^4 + a^3 + 5*a^2 + 8*a + 6)*x^9 + (2*a^4 + 9*a^3 + 4*a^2 + 9*a + 10)*x^8 + (7*a^4 + 8*a^3 + 6*a^2 + 7*a + 3)*x^7 + (10*a^3 + 9*a^2 + 2*a + 8)*x^6 + (8*a^4 + 2*a^3 + 6*a^2 + 10*a + 9)*x^5 + (4*a^4 + 9*a^3 + 3*a^2 + 5*a + 5)*x^4 + (9*a^4 + 9*a^3 + 8*a + 5)*x^3 + (7*a^4 + 3*a^3 + a^2 + 4*a + 10)*x^2 + (2*a^4 + 6*a^3 + 9*a^2 + a + 4)*x + 9*a^4 + 6*a^2 + 3*a + 10,	a^5 + 10*a^2 + 9
13!,	x^28 + (11*a^4 + 8*a^3 + 6*a^2 + 2*a + 7)*x^27 + (2*a^4 + 12*a^3 + 8*a^2 + 8*a + 5)*x^26 + (5*a^4 + 7*a^3 + a^2 + 8*a + 4)*x^25 + (4*a^4 + 2*a^2 + 3*a + 3)*x^24 + (9*a^4 + 4*a^3 + 5*a^2 + 1)*x^23 + (9*a^4 + 5*a^2 + 4*a + 4)*x^22 + (2*a^4 + 12*a^3 + 8*a^2 + 2*a + 1)*x^21 + (9*a^4 + 8*a^3 + 12*a^2 + 4*a)*x^20 + (5*a^4 + 10*a^3 + 4*a^2 + 2*a + 6)*x^19 + (2*a^4 + 6*a^3 + 3*a^2 + 6*a + 7)*x^18 + (12*a^4 + 12*a^3 + 10*a^2 + 4*a + 7)*x^17 + (2*a^4 + 11*a^3 + 12*a^2 + 11*a + 1)*x^16 + (12*a^4 + 5*a^3 + 9*a^2 + 9*a + 4)*x^15 + (8*a^4 + 2*a^3 + 10*a^2 + a)*x^14 + (4*a^4 + a^3 + 11*a^2 + 7*a + 3)*x^13 + (9*a^4 + 8*a^3 + 12*a^2 + 12*a + 6)*x^12 + (7*a^4 + 10*a^2 + 7*a + 1)*x^11 + (2*a^4 + 9*a^3 + 2*a^2 + 11*a + 5)*x^10 + (2*a^4 + 6*a^2 + 3*a + 5)*x^9 + (7*a^4 + a^3 + 12*a^2 + a + 1)*x^8 + (6*a^4 + 7*a^3 + 4*a^2 + 10*a + 12)*x^7 + (2*a^4 + 9*a^3 + 8*a^2 + 11*a)*x^6 + (9*a^4 + 11*a^3 + 11*a^2 + 12*a + 8)*x^5 + (5*a^4 + 8*a^3 + 7*a^2 + 8*a + 4)*x^4 + (7*a^4 + 9*a^3 + 4*a + 2)*x^3 + (5*a^4 + 2*a^3 + 5*a^2 + 5*a + 3)*x^2 + (a^3 + 8*a^2 + 5*a + 7)*x + a^4 + 5*a^3 + 6*a^2 + 8*a + 1,	a^5 + 4*a + 11
