p,	poly,	modulus
2!,	x^30 + a^2*x^29 + (a^4 + a^2)*x^28 + a^4*x^27 + (a^2 + a + 1)*x^26 + (a^3 + a + 1)*x^25 + (a^4 + a^2 + a + 1)*x^24 + (a^3 + a^2)*x^23 + a^2*x^22 + (a^3 + a)*x^21 + (a^4 + a + 1)*x^20 + x^19 + a^2*x^18 + (a^3 + a^2 + a)*x^17 + (a^4 + a^2)*x^16 + a^2*x^15 + (a^4 + a^2 + 1)*x^14 + a^3*x^13 + (a^4 + a^3 + a^2 + 1)*x^12 + a^3*x^11 + a^3*x^10 + (a^3 + a)*x^9 + a^3*x^8 + (a^4 + a^3 + a^2 + a)*x^7 + a^3*x^6 + (a^4 + a^2 + a + 1)*x^5 + (a + 1)*x^4 + a*x^3 + (a^4 + a)*x^2 + (a^4 + a^2 + 1)*x + a^3 + a,	a^5 + a^2 + 1
3!,	x^30 + (2*a^3 + 2*a^2 + a + 1)*x^29 + (2*a^4 + a^3 + a^2 + 1)*x^28 + (2*a^4 + 2*a^3 + a)*x^27 + (a^4 + a^3 + 2*a^2 + 2*a)*x^26 + (2*a^4 + 2*a^3 + a)*x^25 + (2*a^3 + 2*a^2 + 2*a)*x^24 + (a^4 + 2*a^3 + a^2 + a + 1)*x^23 + (2*a^4 + a^3 + 2*a^2 + 2*a + 1)*x^22 + (2*a^4 + a^3 + a^2 + 1)*x^21 + (a^4 + a^2)*x^20 + (2*a^2 + 1)*x^19 + (a^4 + a^3 + 2*a^2 + 1)*x^18 + (a^2 + a)*x^17 + (a^4 + a^3)*x^16 + (a^4 + a^3 + a^2 + a)*x^15 + (2*a^4 + a^2 + 2*a + 2)*x^14 + (a^4 + a^2)*x^13 + (a^4 + a^3 + a^2 + 1)*x^12 + (2*a^3 + a^2)*x^11 + (a^4 + 2*a^2 + 2*a + 2)*x^10 + (a^4 + 2*a^2 + a + 2)*x^9 + (2*a^3 + a^2 + 1)*x^8 + (2*a^3 + 2*a^2 + a + 1)*x^7 + (a^3 + 2*a^2 + 2*a + 2)*x^6 + (a^4 + a^3 + a^2 + a + 1)*x^5 + (a^4 + 2*a)*x^4 + (2*a^4 + 2*a^2 + a)*x^3 + (a^2 + 2)*x^2 + (2*a^4 + a^2 + a + 2)*x + 2*a^3 + a^2 + 2*a + 1,	a^5 + 2*a + 1
5!,	x^30 + (4*a^4 + a^3 + 3*a)*x^29 + (3*a^4 + 4*a^3 + 3*a + 4)*x^28 + (a^3 + 4*a^2 + 3*a + 2)*x^27 + (2*a^4 + 3*a^3 + 2*a^2 + 4)*x^26 + (3*a^4 + 3*a^3 + 3*a^2 + 2*a)*x^25 + (a^4 + 4*a^3 + 4*a^2 + a + 3)*x^24 + (a^4 + 2*a^3 + 3*a^2 + 4*a + 2)*x^23 + (3*a^4 + 2*a^3 + 3*a^2 + 1)*x^22 + (2*a^4 + 3*a^3 + 4*a^2 + 4*a)*x^21 + (3*a^4 + 4*a^3 + 2*a)*x^20 + (3*a^3 + 2*a^2 + 3*a + 2)*x^19 + (3*a^4 + 4*a^2 + 2*a + 1)*x^18 + (a^4 + 2*a^2 + 3*a + 4)*x^17 + (a^4 + 4*a^3 + 3*a^2 + a + 1)*x^16 + (a^4 + 2*a^3 + 4*a^2 + 2*a)*x^15 + (4*a^4 + 2*a^3 + 4*a + 4)*x^14 + (2*a^4 + 4*a^3 + 4*a^2 + 3*a + 1)*x^13 + (2*a^4 + 4*a^3 + a^2 + 3*a + 2)*x^12 + (4*a^4 + a^2 + 2*a + 2)*x^11 + (4*a^4 + a^3 + a^2 + 3*a + 3)*x^10 + (4*a^4 + 3*a^3 + 4*a^2 + a + 1)*x^9 + (2*a^4 + 4*a^3 + 4*a^2 + 4*a + 4)*x^8 + (a^4 + 3*a^3 + 2*a^2 + 2*a + 3)*x^7 + (4*a^3 + 3*a + 2)*x^6 + (2*a^4 + 2*a^3 + 3*a^2 + 4*a)*x^5 + (4*a^4 + 4*a^2 + a)*x^4 + (a^4 + 3*a^2 + 3*a + 2)*x^3 + (3*a^4 + 4*a^3 + a^2 + 4*a + 3)*x^2 + (4*a^4 + 3*a^3 + a^2)*x + 2*a^4 + 2*a^3 + 3*a^2 + 4,	a^5 + 4*a + 3
7!,	x^30 + (3*a^4 + a^3 + 6*a^2 + 5*a + 6)*x^29 + (a^4 + 6*a^2 + 4*a + 4)*x^28 + (6*a^4 + a^2 + 4*a)*x^27 + (a^4 + 6*a^3 + 2*a^2 + 3*a + 3)*x^26 + (a^4 + 3*a^3 + 6*a^2 + 6*a + 4)*x^25 + (2*a^4 + 5*a^3 + 6*a + 3)*x^24 + (a^4 + 2*a^3 + 5*a^2)*x^23 + (5*a^4 + 2*a^3 + 5*a^2 + 6*a)*x^22 + (2*a^4 + 6*a^3 + 3*a + 2)*x^21 + (3*a^4 + 6*a^3 + 3*a^2 + a + 2)*x^20 + (5*a^4 + 6*a^2 + a + 2)*x^19 + (4*a^3 + 6*a^2 + a + 2)*x^18 + (3*a^4 + a^2 + a + 2)*x^17 + (4*a^3 + 4*a^2 + 5*a + 6)*x^16 + (a^4 + 6*a^3 + 2*a^2 + 5*a + 3)*x^15 + (3*a^4 + 3*a^3 + 3*a)*x^14 + (3*a^4 + 3*a^3 + 6*a + 2)*x^13 + (a^4 + 5*a^3 + 3*a^2 + a + 3)*x^12 + (2*a^4 + a^3 + 6*a + 2)*x^11 + (4*a^3 + 5*a^2 + 6*a + 3)*x^10 + (6*a^4 + 2*a^2 + 6*a + 2)*x^9 + (4*a^4 + 3*a^3 + 2*a^2 + a + 4)*x^8 + (4*a^3 + 2*a^2 + a + 5)*x^7 + (4*a^4 + 5*a^3 + 4*a^2 + a + 3)*x^6 + (4*a^4 + 6*a^3 + 5*a^2 + 4*a)*x^5 + (5*a^4 + 6*a^3 + 4*a^2 + 6*a + 6)*x^4 + (5*a^4 + 2*a^2 + a + 4)*x^3 + (6*a^3 + 5*a^2 + 6*a + 4)*x^2 + (6*a^4 + 6*a^3 + 3*a^2 + 6*a + 6)*x + 4*a^3 + 4*a^2 + 2*a + 2,	a^5 + a + 4
11!,	x^30 + (8*a^4 + 3*a^3 + 9*a^2 + 7*a)*x^29 + (8*a^4 + 5*a^3 + 6*a^2 + 6*a + 3)*x^28 + (2*a^4 + 9*a^3 + 10*a^2 + 7*a + 4)*x^27 + (3*a^4 + a^3 + 9*a^2 + 6*a + 4)*x^26 + (6*a^4 + 5*a^3 + 10*a^2 + 2*a + 5)*x^25 + (7*a^4 + 9*a^3 + 2*a^2 + 6*a + 2)*x^24 + (10*a^4 + 2*a^3 + a^2 + 8*a + 3)*x^23 + (7*a^4 + 6*a^3 + 4*a^2 + 2*a + 8)*x^22 + (4*a^4 + 3*a^3 + 4*a^2 + 4*a + 8)*x^21 + (7*a^4 + a^3 + 10*a^2 + 2*a)*x^20 + (2*a^4 + 7*a^3 + 9*a^2 + 5)*x^19 + (6*a^4 + 4*a^3 + 4*a^2 + 5*a + 9)*x^18 + (10*a^4 + 4*a^3 + 6*a^2 + 6*a + 2)*x^17 + (7*a^4 + 10*a^3 + 3*a^2 + 6*a + 7)*x^16 + (9*a^4 + 5*a^3 + 7*a^2 + 9*a + 6)*x^15 + (10*a^4 + a^3 + a^2 + 9*a + 8)*x^14 + (9*a^4 + 10*a^3 + 3*a^2 + 4*a + 2)*x^13 + (6*a^4 + 8*a^3 + 7*a + 6)*x^12 + (7*a^4 + 4*a^3 + 4*a^2 + a + 6)*x^11 + (10*a^4 + 10*a^3 + 10*a^2 + 3*a + 10)*x^10 + (7*a^4 + 5*a^3 + 2*a^2 + 4*a + 10)*x^9 + (4*a^4 + 6*a^3 + 9*a^2 + 2*a + 7)*x^8 + (5*a^4 + 6*a^3 + 8*a^2 + 4*a + 4)*x^7 + (4*a^4 + 7*a^3 + 6*a^2 + 3*a + 2)*x^6 + (5*a^4 + 3*a^2 + 4*a + 3)*x^5 + (3*a^4 + 7*a^3 + 7*a^2 + 9*a + 1)*x^4 + (a^4 + 9*a^2 + 5*a + 7)*x^3 + (7*a^4 + 8*a^3 + 2*a^2 + 10*a + 3)*x^2 + (3*a^4 + 4*a^3 + 3*a^2 + 3*a + 10)*x + 4*a^4 + 8*a^3 + 8*a^2 + 10*a + 2,	a^5 + 10*a^2 + 9
13!,	x^30 + (11*a^4 + 10*a^3 + 5*a^2 + 10*a + 5)*x^29 + (8*a^3 + 4*a^2 + a + 7)*x^28 + (3*a^4 + 9*a^3 + 5*a^2 + a + 7)*x^27 + (7*a^4 + 6*a^3 + 7*a^2 + 6*a + 1)*x^26 + (12*a^4 + 3*a^3 + 4*a^2 + 6*a)*x^25 + (3*a^4 + 2*a^2 + 12*a + 6)*x^24 + (10*a^4 + 5*a^2 + 12*a + 5)*x^23 + (a^4 + 8*a^3 + 3*a^2 + a + 10)*x^22 + (5*a^4 + 7*a^3 + 12*a^2 + 12*a + 5)*x^21 + (a^4 + 2*a^3 + 4*a^2 + 9*a + 7)*x^20 + (2*a^4 + a^3 + 6*a^2 + 6*a + 5)*x^19 + (12*a^4 + 5*a^3 + 10*a^2 + 11*a + 7)*x^18 + (11*a^4 + 6*a^3 + 7*a^2 + 3*a)*x^17 + (6*a^4 + 5*a^2 + 8*a + 12)*x^16 + (9*a^3 + 3*a^2 + 3*a + 9)*x^15 + (12*a^4 + 11*a^3 + 7*a^2 + 10*a + 6)*x^14 + (6*a^4 + 2*a^2 + 2*a + 6)*x^13 + (6*a^4 + 8*a^3 + 7*a^2 + 9*a + 12)*x^12 + (8*a^4 + 5*a^3 + 11*a^2 + 6*a)*x^11 + (6*a^4 + a^3 + a^2 + 2*a + 11)*x^10 + (11*a^4 + a^3 + 8*a^2 + 7*a + 6)*x^9 + (11*a^4 + 9*a^3 + 2*a^2 + 7*a + 4)*x^8 + (3*a^4 + a^3 + 3*a + 6)*x^7 + (4*a^3 + 3*a^2 + 3*a + 1)*x^6 + (8*a^4 + 12*a^3 + 6*a^2 + a + 5)*x^5 + (8*a^4 + 12*a^2 + 3*a + 2)*x^4 + (12*a^4 + 4*a^3 + 4*a^2 + 11*a + 9)*x^3 + (5*a^4 + 4*a^3 + 3*a^2 + 5*a + 1)*x^2 + (3*a^4 + 9*a^3 + 8*a^2 + 11*a + 4)*x + a^4 + 12*a^3 + 7*a^2 + 4,	a^5 + 4*a + 11
