p,	poly
2,	x^20 + x^19 + x^16 + x^2 + 1
3,	x^20 + x^19 + x^3 + 2
5,	x^20 + x^19 + x^8 + 3
7,	x^20 + 2*x^19 + 6*x^3 + 3
11,	x^20 + x^19 + 8*x + 2
13,	x^20 + x^19 + 7*x^2 + 2
17,	x^20 + x^19 + 3*x + 14
19,	x^20 + x^19 + 2
23,	x^20 + x^19 + 2*x + 21
29,	x^20 + x^19 + x + 14
31,	x^20 + x^19 + 6*x + 3
37,	x^20 + x^19 + 15
41,	x^20 + x^19 + 34
43,	x^20 + x^19 + 28
47,	x^20 + x^19 + 3*x + 41
53,	x^20 + x^19 + 48
59,	x^20 + x^19 + 2*x + 37
61,	x^20 + x^19 + x + 10
67,	x^20 + 2*x^19 + 12
71,	x^20 + x^19 + 59
73,	x^20 + x^19 + x + 40
79,	x^20 + x^19 + 53
83,	x^20 + x^19 + 2
89,	x^20 + x^19 + 35
97,	x^20 + x^19 + 68
101,	x^20 + x^19 + 34
103,	x^20 + x^19 + x + 78
107,	x^20 + x^19 + x + 8
109,	x^20 + x^19 + 39
113,	x^20 + x^19 + 74
127,	x^20 + x^19 + 29
131,	x^20 + x^19 + 126
137,	x^20 + x^19 + 51
139,	x^20 + x^19 + x + 85
149,	x^20 + x^19 + 11
151,	x^20 + x^19 + 56
157,	x^20 + x^19 + 85
163,	x^20 + x^19 + 2
167,	x^20 + x^19 + 68
173,	x^20 + x^19 + 127
179,	x^20 + x^19 + 35
181,	x^20 + x^19 + 157
191,	x^20 + x^19 + 61
193,	x^20 + x^19 + 34
197,	x^20 + x^19 + 98
199,	x^20 + x^19 + 34
211,	x^20 + x^19 + 167
223,	x^20 + x^19 + 6
227,	x^20 + x^19 + 58
229,	x^20 + x^19 + 24
233,	x^20 + x^19 + 67
239,	x^20 + x^19 + 63
241,	x^20 + 2*x^19 + 13
251,	x^20 + x^19 + 59
257,	x^20 + x^19 + 39
263,	x^20 + x^19 + 241
269,	x^20 + x^19 + 124
271,	x^20 + 2*x^19 + 42
277,	x^20 + x^19 + 167
281,	x^20 + x^19 + 3
283,	x^20 + x^19 + 18
293,	x^20 + x^19 + 99
307,	x^20 + x^19 + 52
311,	x^20 + x^19 + 123
313,	x^20 + 2*x^19 + 292
317,	x^20 + x^19 + 8
331,	x^20 + x^19 + 250
337,	x^20 + x^19 + 29
347,	x^20 + x^19 + 265
349,	x^20 + x^19 + 44
353,	x^20 + x^19 + 147
359,	x^20 + x^19 + 323
367,	x^20 + x^19 + 93
373,	x^20 + x^19 + 6
379,	x^20 + x^19 + 102
383,	x^20 + x^19 + 47
389,	x^20 + x^19 + 32
397,	x^20 + x^19 + 21
401,	x^20 + x^19 + 165
409,	x^20 + x^19 + 347
419,	x^20 + x^19 + 50
421,	x^20 + x^19 + 338
431,	x^20 + x^19 + 14
433,	x^20 + x^19 + 284
439,	x^20 + x^19 + 33
443,	x^20 + x^19 + 241
449,	x^20 + x^19 + 139
457,	x^20 + x^19 + 13
461,	x^20 + x^19 + 174
463,	x^20 + x^19 + 24
467,	x^20 + x^19 + 180
479,	x^20 + x^19 + 191
487,	x^20 + x^19 + 113
491,	x^20 + x^19 + 29
499,	x^20 + x^19 + 15
503,	x^20 + x^19 + 272
509,	x^20 + x^19 + 131
521,	x^20 + x^19 + 163
523,	x^20 + x^19 + 132
541,	x^20 + x^19 + 24
547,	x^20 + x^19 + 220
557,	x^20 + x^19 + 11
563,	x^20 + x^19 + 56
569,	x^20 + x^19 + 96
571,	x^20 + x^19 + 212
577,	x^20 + x^19 + 5
587,	x^20 + x^19 + 161
593,	x^20 + x^19 + 44
599,	x^20 + x^19 + 69
601,	x^20 + x^19 + 142
607,	x^20 + x^19 + 65
613,	x^20 + x^19 + 95
617,	x^20 + x^19 + 189
619,	x^20 + x^19 + 69
631,	x^20 + x^19 + 53
641,	x^20 + x^19 + 127
643,	x^20 + x^19 + 93
647,	x^20 + x^19 + 73
653,	x^20 + x^19 + 56
659,	x^20 + x^19 + 213
661,	x^20 + x^19 + 2
673,	x^20 + x^19 + 31
677,	x^20 + x^19 + 7
683,	x^20 + x^19 + 118
691,	x^20 + x^19 + 137
701,	x^20 + x^19 + 308
709,	x^20 + x^19 + 233
719,	x^20 + x^19 + 251
727,	x^20 + x^19 + 83
733,	x^20 + x^19 + 106
739,	x^20 + x^19 + 19
743,	x^20 + x^19 + 177
751,	x^20 + x^19 + 44
757,	x^20 + x^19 + 14
761,	x^20 + x^19 + 111
769,	x^20 + x^19 + 59
773,	x^20 + x^19 + 116
787,	x^20 + x^19 + 2
797,	x^20 + x^19 + 125
809,	x^20 + x^19 + 48
811,	x^20 + x^19 + 102
821,	x^20 + x^19 + 240
823,	x^20 + x^19 + 17
827,	x^20 + x^19 + 220
829,	x^20 + x^19 + 98
839,	x^20 + x^19 + 149
853,	x^20 + x^19 + 44
857,	x^20 + x^19 + 59
859,	x^20 + x^19 + 122
863,	x^20 + x^19 + 301
877,	x^20 + x^19 + 101
881,	x^20 + x^19 + 249
883,	x^20 + x^19 + 42
887,	x^20 + x^19 + 68
907,	x^20 + x^19 + 2
911,	x^20 + x^19 + 91
919,	x^20 + x^19 + 171
929,	x^20 + x^19 + 62
937,	x^20 + x^19 + 45
941,	x^20 + x^19 + 10
947,	x^20 + x^19 + 101
953,	x^20 + x^19 + 11
967,	x^20 + x^19 + 7
971,	x^20 + x^19 + 176
977,	x^20 + x^19 + 35
983,	x^20 + x^19 + 45
991,	x^20 + x^19 + 23
997,	x^20 + x^19 + 68
1009,	x^20 + x^19 + 17
1013,	x^20 + x^19 + 57
1019,	x^20 + x^19 + 61
1021,	x^20 + x^19 + 53
1031,	x^20 + x^19 + 37
1033,	x^20 + x^19 + 13
1039,	x^20 + x^19 + 202
1049,	x^20 + x^19 + 28
1051,	x^20 + x^19 + 135
1061,	x^20 + x^19 + 85
1063,	x^20 + x^19 + 84
1069,	x^20 + x^19 + 41
1087,	x^20 + x^19 + 251
1091,	x^20 + x^19 + 111
1093,	x^20 + x^19 + 41
1097,	x^20 + x^19 + 138
1103,	x^20 + x^19 + 13
1109,	x^20 + x^19 + 232
1117,	x^20 + x^19 + 153
1123,	x^20 + x^19 + 107
1129,	x^20 + x^19 + 134
1151,	x^20 + x^19 + 291
1153,	x^20 + x^19 + 118
1163,	x^20 + x^19 + 19
1171,	x^20 + x^19 + 287
1181,	x^20 + x^19 + 183
1187,	x^20 + x^19 + 20
1193,	x^20 + x^19 + 63
1201,	x^20 + x^19 + 208
1213,	x^20 + x^19 + 60
1217,	x^20 + x^19 + 190
1223,	x^20 + x^19 + 105
1229,	x^20 + x^19 + 116
1231,	x^20 + x^19 + 34
1237,	x^20 + x^19 + 142
1249,	x^20 + x^19 + 7
1259,	x^20 + x^19 + 2
1277,	x^20 + x^19 + 28
1279,	x^20 + x^19 + 55
1283,	x^20 + x^19 + 50
1289,	x^20 + x^19 + 54
1291,	x^20 + x^19 + 15
1297,	x^20 + x^19 + 22
1301,	x^20 + x^19 + 524
1303,	x^20 + x^19 + 106
1307,	x^20 + x^19 + 227
1319,	x^20 + x^19 + 34
1321,	x^20 + x^19 + 118
1327,	x^20 + x^19 + 320
1361,	x^20 + x^19 + 112
1367,	x^20 + x^19 + 10
1373,	x^20 + x^19 + 123
1381,	x^20 + x^19 + 123
1399,	x^20 + x^19 + 105
1409,	x^20 + x^19 + 133
1423,	x^20 + x^19 + 13
1427,	x^20 + x^19 + 61
1429,	x^20 + x^19 + 53
1433,	x^20 + x^19 + 48
1439,	x^20 + x^19 + 73
1447,	x^20 + x^19 + 21
1451,	x^20 + x^19 + 23
1453,	x^20 + x^19 + 213
1459,	x^20 + x^19 + 60
1471,	x^20 + x^19 + 14
1481,	x^20 + x^19 + 158
1483,	x^20 + x^19 + 155
1487,	x^20 + x^19 + 232
1489,	x^20 + x^19 + 213
1493,	x^20 + x^19 + 543
1499,	x^20 + x^19 + 11
1511,	x^20 + x^19 + 348
1523,	x^20 + x^19 + 5
1531,	x^20 + x^19 + 83
1543,	x^20 + x^19 + 186
1549,	x^20 + x^19 + 128
1553,	x^20 + x^19 + 27
1559,	x^20 + x^19 + 93
1567,	x^20 + x^19 + 117
1571,	x^20 + x^19 + 10
1579,	x^20 + x^19 + 111
1583,	x^20 + x^19 + 107
1597,	x^20 + x^19 + 156
1601,	x^20 + x^19 + 135
1607,	x^20 + x^19 + 29
1609,	x^20 + x^19 + 105
1613,	x^20 + x^19 + 45
1619,	x^20 + x^19 + 208
1621,	x^20 + x^19 + 145
1627,	x^20 + x^19 + 67
1637,	x^20 + x^19 + 202
1657,	x^20 + x^19 + 41
1663,	x^20 + x^19 + 604
1667,	x^20 + x^19 + 137
1669,	x^20 + x^19 + 2
1693,	x^20 + x^19 + 26
1697,	x^20 + x^19 + 161
1699,	x^20 + x^19 + 3
1709,	x^20 + x^19 + 34
1721,	x^20 + x^19 + 23
1723,	x^20 + x^19 + 78
1733,	x^20 + x^19 + 12
1741,	x^20 + x^19 + 19
1747,	x^20 + x^19 + 59
1753,	x^20 + x^19 + 90
1759,	x^20 + x^19 + 6
1777,	x^20 + x^19 + 40
1783,	x^20 + x^19 + 48
1787,	x^20 + x^19 + 63
1789,	x^20 + x^19 + 170
1801,	x^20 + x^19 + 52
1811,	x^20 + x^19 + 30
1823,	x^20 + x^19 + 69
1831,	x^20 + x^19 + 176
1847,	x^20 + x^19 + 17
1861,	x^20 + x^19 + 383
1867,	x^20 + x^19 + 32
1871,	x^20 + x^19 + 58
1873,	x^20 + x^19 + 15
1877,	x^20 + x^19 + 504
1879,	x^20 + x^19 + 46
1889,	x^20 + x^19 + 48
1901,	x^20 + x^19 + 59
1907,	x^20 + x^19 + 105
1913,	x^20 + x^19 + 70
1931,	x^20 + x^19 + 159
1933,	x^20 + x^19 + 5
1949,	x^20 + x^19 + 23
1951,	x^20 + x^19 + 15
1973,	x^20 + x^19 + 70
1979,	x^20 + x^19 + 104
1987,	x^20 + x^19 + 20
1993,	x^20 + x^19 + 94
1997,	x^20 + x^19 + 18
1999,	x^20 + x^19 + 35
2003,	x^20 + x^19 + 51
2011,	x^20 + x^19 + 123
2017,	x^20 + x^19 + 155
2027,	x^20 + x^19 + 65
2029,	x^20 + x^19 + 366
2039,	x^20 + x^19 + 63
2053,	x^20 + x^19 + 143
2063,	x^20 + x^19 + 260
2069,	x^20 + x^19 + 157
2081,	x^20 + x^19 + 305
2083,	x^20 + x^19 + 104
2087,	x^20 + x^19 + 15
2089,	x^20 + x^19 + 14
2099,	x^20 + x^19 + 14
2111,	x^20 + x^19 + 154
2113,	x^20 + x^19 + 39
2129,	x^20 + x^19 + 24
2131,	x^20 + x^19 + 108
2137,	x^20 + x^19 + 211
2141,	x^20 + x^19 + 134
2143,	x^20 + x^19 + 62
2153,	x^20 + x^19 + 153
2161,	x^20 + x^19 + 28
2179,	x^20 + x^19 + 40
2203,	x^20 + x^19 + 127
2207,	x^20 + x^19 + 34
2213,	x^20 + x^19 + 11
2221,	x^20 + x^19 + 68
2237,	x^20 + x^19 + 102
2239,	x^20 + x^19 + 84
2243,	x^20 + x^19 + 91
2251,	x^20 + x^19 + 7
2267,	x^20 + x^19 + 149
2269,	x^20 + x^19 + 131
2273,	x^20 + x^19 + 13
2281,	x^20 + x^19 + 129
2287,	x^20 + x^19 + 139
2293,	x^20 + x^19 + 103
2297,	x^20 + x^19 + 202
2309,	x^20 + x^19 + 17
2311,	x^20 + x^19 + 75
2333,	x^20 + x^19 + 2
2339,	x^20 + x^19 + 21
2341,	x^20 + x^19 + 105
2347,	x^20 + x^19 + 192
2351,	x^20 + x^19 + 13
2357,	x^20 + x^19 + 88
2371,	x^20 + x^19 + 2
2377,	x^20 + x^19 + 248
2381,	x^20 + x^19 + 37
2383,	x^20 + x^19 + 74
2389,	x^20 + x^19 + 162
2393,	x^20 + x^19 + 90
2399,	x^20 + x^19 + 117
2411,	x^20 + x^19 + 37
2417,	x^20 + x^19 + 89
2423,	x^20 + x^19 + 368
2437,	x^20 + x^19 + 24
2441,	x^20 + x^19 + 89
2447,	x^20 + x^19 + 41
2459,	x^20 + x^19 + 17
2467,	x^20 + x^19 + 299
2473,	x^20 + x^19 + 5
2477,	x^20 + x^19 + 80
2503,	x^20 + x^19 + 322
2521,	x^20 + x^19 + 339
2531,	x^20 + x^19 + 214
2539,	x^20 + x^19 + 3
2543,	x^20 + x^19 + 139
2549,	x^20 + x^19 + 133
2551,	x^20 + x^19 + 24
2557,	x^20 + x^19 + 47
2579,	x^20 + x^19 + 91
2591,	x^20 + x^19 + 103
2593,	x^20 + x^19 + 83
2609,	x^20 + x^19 + 106
2617,	x^20 + x^19 + 71
2621,	x^20 + x^19 + 112
2633,	x^20 + x^19 + 280
2647,	x^20 + x^19 + 37
2657,	x^20 + x^19 + 44
2659,	x^20 + x^19 + 78
2663,	x^20 + x^19 + 153
2671,	x^20 + x^19 + 109
2677,	x^20 + x^19 + 20
2683,	x^20 + x^19 + 194
2687,	x^20 + x^19 + 111
2689,	x^20 + x^19 + 19
2693,	x^20 + x^19 + 7
2699,	x^20 + x^19 + 261
2707,	x^20 + x^19 + 21
2711,	x^20 + x^19 + 158
2713,	x^20 + x^19 + 45
2719,	x^20 + x^19 + 132
2729,	x^20 + x^19 + 214
2731,	x^20 + x^19 + 127
2741,	x^20 + x^19 + 31
2749,	x^20 + x^19 + 309
2753,	x^20 + x^19 + 45
2767,	x^20 + x^19 + 69
2777,	x^20 + x^19 + 432
2789,	x^20 + x^19 + 10
2791,	x^20 + x^19 + 48
2797,	x^20 + x^19 + 6
2801,	x^20 + x^19 + 189
2803,	x^20 + x^19 + 20
2819,	x^20 + x^19 + 10
2833,	x^20 + x^19 + 66
2837,	x^20 + x^19 + 30
2843,	x^20 + x^19 + 187
2851,	x^20 + x^19 + 50
2857,	x^20 + x^19 + 166
2861,	x^20 + x^19 + 181
2879,	x^20 + x^19 + 21
