p,	poly,	modulus
2,	x^24 + x^23 + a*x^2 + a^2 + 1,	a^4 + a + 1
3,	x^24 + x^23 + 2*a*x + a^3,	a^4 + 2*a^3 + 2
5!,	x^24 + (4*a^2 + 2*a + 1)*x^23 + (3*a + 1)*x^22 + (2*a^3 + 2*a^2 + 2*a + 3)*x^21 + (a^3 + 4*a^2 + 4*a + 4)*x^20 + (4*a^2 + 4*a + 1)*x^19 + (3*a^2 + 3*a + 1)*x^18 + (4*a^3 + 2*a + 3)*x^17 + (2*a^3 + 2*a^2 + 2)*x^16 + (4*a^3 + 4*a^2 + 2*a + 3)*x^15 + (2*a^3 + 4*a + 1)*x^14 + (4*a^2 + 4*a + 2)*x^13 + (a^3 + a^2 + 2)*x^12 + (3*a^3 + 4*a^2 + 4)*x^11 + (3*a^3 + 3*a^2 + 2*a + 2)*x^10 + (2*a^3 + 3*a^2 + 4*a + 2)*x^9 + (3*a^3 + 4*a^2 + 2*a + 2)*x^8 + (3*a^3 + 3*a^2 + 4*a + 4)*x^7 + (4*a^3 + 3*a^2 + 3)*x^6 + (a^3 + 2*a^2 + 3*a + 1)*x^5 + (a^2 + 3*a + 1)*x^4 + (4*a^3 + 3*a^2 + 2*a)*x^3 + (2*a^3 + 4*a^2 + 4*a)*x^2 + (a^2 + 2*a + 4)*x + 2*a^3 + 4*a^2 + 3*a,	a^4 + 4*a^2 + 4*a + 2
7!,	x^24 + (4*a^3 + a + 2)*x^23 + (6*a^3 + 5)*x^22 + (2*a^3 + 4*a^2 + a + 4)*x^21 + (5*a^3 + 4*a^2 + 4)*x^20 + (6*a^3 + 5*a^2 + 2*a + 3)*x^19 + (5*a^3 + 6*a + 5)*x^18 + (5*a^3 + 4*a^2 + 3*a + 3)*x^17 + (4*a^3 + 6*a^2 + 5*a + 2)*x^16 + (6*a^3 + 6*a^2 + a + 1)*x^15 + (3*a^3 + 3*a^2 + a + 3)*x^14 + (5*a^3 + a^2 + 6*a + 6)*x^13 + (a^3 + 3*a^2 + 1)*x^12 + (2*a^3 + 4*a^2 + 4*a + 6)*x^11 + (5*a^3 + a^2 + 6*a + 6)*x^10 + (4*a^3 + 6*a + 3)*x^9 + (2*a^3 + 3*a^2 + 4*a + 2)*x^8 + (5*a^3 + 4*a^2 + 5*a + 6)*x^7 + (a^3 + 2*a^2 + 4)*x^6 + (6*a^2 + 5*a + 2)*x^5 + (3*a^3 + 2*a^2 + 6*a + 5)*x^4 + (a^3 + a^2 + 6*a + 3)*x^3 + (5*a^3 + a^2 + 5*a + 6)*x^2 + (4*a^3 + 4*a^2)*x + a^3 + a^2 + 6*a + 2,	a^4 + 5*a^2 + 4*a + 3
11!,	x^24 + (10*a^3 + 3*a^2 + 7*a + 7)*x^23 + (8*a^3 + 8*a)*x^22 + (10*a^3 + 9*a^2 + 8*a)*x^21 + (a^3 + 3*a^2 + 5*a + 2)*x^20 + (4*a^3 + 3*a^2 + 7*a + 8)*x^19 + (10*a^2 + 4)*x^18 + (9*a^3 + 7*a^2 + 10*a + 9)*x^17 + (4*a^3 + 9*a^2 + 2*a + 1)*x^16 + (6*a^3 + 9*a^2 + 4*a + 1)*x^15 + (3*a^3 + a^2 + 6*a + 8)*x^14 + (a^3 + 7*a^2 + 3*a + 7)*x^13 + (10*a^3 + 9*a^2 + a)*x^12 + (6*a^3 + 8*a^2 + 3*a + 10)*x^11 + (a^3 + 3*a + 2)*x^10 + (3*a^3 + 9*a^2 + 3*a + 8)*x^9 + (4*a^3 + 5*a^2 + 2*a + 9)*x^8 + (7*a^3 + 6*a^2 + 3*a + 1)*x^7 + (10*a^3 + 9*a^2 + 8*a + 7)*x^6 + (3*a^3 + a^2 + a + 5)*x^5 + (6*a^3 + 7*a^2 + 4*a)*x^4 + (4*a^3 + 10*a^2 + 6*a + 2)*x^3 + (5*a^3 + 4*a^2 + 2*a + 7)*x^2 + (4*a^3 + 8*a^2 + 8*a + 9)*x + 3*a^3 + 10*a^2 + 9*a + 10,	a^4 + 8*a^2 + 10*a + 2
13!,	x^24 + (9*a^3 + 10)*x^23 + (7*a^3 + 6*a^2 + a + 11)*x^22 + (a^3 + 8*a^2 + 4*a + 9)*x^21 + (5*a^3 + 9*a^2 + a + 2)*x^20 + (10*a^3 + 7*a + 2)*x^19 + (12*a^2 + 11*a + 11)*x^18 + (8*a^3 + 12*a^2 + 4*a + 9)*x^17 + (4*a^3 + 9*a^2 + 4*a + 2)*x^16 + (7*a^3 + 6*a^2 + 7*a + 1)*x^15 + (4*a^2 + 9*a + 10)*x^14 + (4*a^3 + 6*a^2 + 2*a + 4)*x^13 + (5*a^3 + 5*a^2 + 9*a + 4)*x^12 + (5*a^3 + 2*a^2 + 8*a + 1)*x^11 + (2*a^3 + 7*a^2 + 6*a + 6)*x^10 + (12*a^3 + 3*a^2 + a + 7)*x^9 + (5*a^3 + 11*a^2 + 4*a + 10)*x^8 + (9*a^3 + 10*a + 7)*x^7 + (10*a^3 + a + 12)*x^6 + (8*a^3 + 6*a^2 + 6*a + 5)*x^5 + (10*a^3 + 12*a^2 + 11*a + 7)*x^4 + (12*a^3 + 3*a^2 + 9)*x^3 + (7*a^3 + 9*a^2 + 9*a + 5)*x^2 + (7*a^3 + 4*a^2 + 12*a + 6)*x + 7*a^3 + 6*a^2 + 7*a + 5,	a^4 + 3*a^2 + 12*a + 2
17!,	x^24 + (7*a^3 + 3*a^2 + 14*a + 4)*x^23 + (16*a^3 + 2*a^2 + 14*a + 3)*x^22 + (15*a^3 + 4*a^2 + 9*a + 10)*x^21 + (8*a^3 + 4*a^2 + 5*a)*x^20 + (6*a^3 + 8*a^2 + 12)*x^19 + (3*a^3 + 6*a^2 + 8*a + 9)*x^18 + (8*a^3 + 15*a^2 + 11*a + 4)*x^17 + (a^3 + 13*a^2 + a + 14)*x^16 + (9*a^3 + 9*a^2 + 14*a + 7)*x^15 + (8*a^3 + 5*a^2 + 9*a + 12)*x^14 + (7*a^3 + 12*a^2 + 13*a + 9)*x^13 + (2*a^3 + 8*a^2 + 7*a + 2)*x^12 + (3*a^3 + 15*a^2 + 9*a + 7)*x^11 + (11*a^3 + 5*a^2 + a + 5)*x^10 + (3*a^3 + 12*a^2 + 15*a + 8)*x^9 + (6*a^3 + 10*a^2 + 8*a + 1)*x^8 + (12*a^3 + 14*a + 13)*x^7 + (5*a^3 + 3*a^2 + 2*a + 3)*x^6 + (2*a^3 + a^2 + 15*a + 4)*x^5 + (11*a^3 + 6*a^2 + 16*a + 2)*x^4 + (6*a^3 + 11*a^2 + 5*a + 15)*x^3 + (13*a^2 + 3*a + 1)*x^2 + (a^3 + 3*a^2 + 5*a + 10)*x + 9*a^3 + 8*a^2 + 13*a + 1,	a^4 + 7*a^2 + 10*a + 3
19!,	x^24 + (15*a^3 + 15*a^2 + 9*a + 6)*x^23 + (8*a^3 + 5*a^2 + 2*a + 4)*x^22 + (7*a^3 + 7*a^2 + 2*a + 5)*x^21 + (18*a^3 + 4*a^2 + 5*a + 6)*x^20 + (6*a^3 + 9*a^2 + a + 2)*x^19 + (2*a^2 + 11*a + 4)*x^18 + (a^3 + 3*a^2 + 15*a + 10)*x^17 + (17*a^2 + 4*a + 2)*x^16 + (3*a^3 + 14*a^2 + 11*a + 13)*x^15 + (a^2 + 4*a + 7)*x^14 + (17*a^3 + 6*a^2 + 15*a + 1)*x^13 + (12*a^3 + 2*a^2 + 18*a)*x^12 + (16*a^3 + 8*a^2 + 12*a + 9)*x^11 + (16*a^3 + 8*a^2 + 2*a + 5)*x^10 + (2*a^3 + 18*a^2 + a + 18)*x^9 + (13*a^3 + 11*a^2 + 15*a + 6)*x^8 + (18*a^3 + 10*a^2 + 8*a + 13)*x^7 + (2*a^3 + 10*a^2 + 6*a + 18)*x^6 + (12*a^3 + 9*a^2 + 4*a + 9)*x^5 + (17*a^3 + 12*a^2 + 18*a + 2)*x^4 + (13*a^3 + 8*a^2 + 14*a)*x^3 + (a^3 + 13*a + 1)*x^2 + (15*a^3 + 13*a^2 + 11*a + 12)*x + 17*a^3 + 13*a^2 + 13*a + 16,	a^4 + 2*a^2 + 11*a + 2
23!,	x^24 + (9*a^3 + 17*a^2 + 11*a + 8)*x^23 + (3*a^3 + 5*a^2 + 11*a + 11)*x^22 + (8*a^3 + 12*a^2 + 18*a + 11)*x^21 + (12*a^3 + 19*a^2 + 18*a + 14)*x^20 + (6*a^3 + 11*a^2 + 3*a + 4)*x^19 + (11*a^3 + 22*a^2 + 20*a + 14)*x^18 + (3*a^3 + 16*a^2 + 18*a + 21)*x^17 + (2*a^3 + 10*a^2 + 6*a + 11)*x^16 + (21*a^3 + 17*a^2 + 13*a + 21)*x^15 + (12*a^3 + 4*a^2 + 15*a + 13)*x^14 + (3*a^3 + 5*a^2 + 3)*x^13 + (21*a^3 + 6*a^2 + 11*a + 16)*x^12 + (4*a^3 + 14*a^2 + 6*a + 9)*x^11 + (22*a^3 + 21*a^2 + 21*a + 9)*x^10 + (9*a^3 + 10*a^2 + 20*a + 4)*x^9 + (20*a^3 + 11*a^2 + 17*a + 10)*x^8 + (8*a^3 + 16*a^2 + 2*a + 7)*x^7 + (15*a^3 + 11*a^2 + 6*a + 16)*x^6 + (3*a^3 + 9*a^2 + 6*a + 20)*x^5 + (6*a^3 + 5*a^2 + 21)*x^4 + (14*a^3 + 9*a^2 + 12*a + 14)*x^3 + (19*a^3 + 20*a^2 + 13*a + 8)*x^2 + (22*a^3 + a^2 + 18*a + 18)*x + 7*a^3 + 17*a^2 + 6*a + 16,	a^4 + 3*a^2 + 19*a + 5
