p,	poly,	modulus
2,	x^28 + x^27 + x + a,	a^2 + a + 1
3,	x^28 + x^27 + a*x^3 + 2*a,	a^2 + 2*a + 2
5,	x^28 + x^27 + (2*a + 4)*x + 3*a,	a^2 + 4*a + 2
7,	x^28 + x^27 + 5*x + 6*a,	a^2 + 6*a + 3
11,	x^28 + 2*x^27 + 3*a + 8,	a^2 + 7*a + 2
13,	x^28 + x^27 + x + 4*a + 8,	a^2 + 12*a + 2
17,	x^28 + a*x^27 + 2*a,	a^2 + 16*a + 3
19,	x^28 + x^27 + 3*a + 6,	a^2 + 18*a + 2
23,	x^28 + x^27 + 7*a + 11,	a^2 + 21*a + 5
29,	x^28 + x^27 + 5*a,	a^2 + 24*a + 2
31,	x^28 + x^27 + a + 27,	a^2 + 29*a + 3
37,	x^28 + x^27 + 10*a,	a^2 + 33*a + 2
41,	x^28 + x^27 + a + 6,	a^2 + 38*a + 6
43,	x^28 + x^27 + a + 37,	a^2 + 42*a + 3
47,	x^28 + x^27 + 43*a,	a^2 + 45*a + 5
53,	x^28 + x^27 + 38*a,	a^2 + 49*a + 2
59,	x^28 + x^27 + 56*a,	a^2 + 58*a + 2
61,	x^28 + x^27 + 3*a + 40,	a^2 + 60*a + 2
67,	x^28 + x^27 + 7*a,	a^2 + 63*a + 2
71,	x^28 + x^27 + 24*a,	a^2 + 69*a + 7
73,	x^28 + x^27 + 56*a,	a^2 + 70*a + 5
79,	x^28 + x^27 + 17*a,	a^2 + 78*a + 3
83,	x^28 + x^27 + 20*a,	a^2 + 82*a + 2
89,	x^28 + x^27 + a,	a^2 + 82*a + 3
97,	x^28 + x^27 + 21*a,	a^2 + 96*a + 5
101,	x^28 + x^27 + 3*a,	a^2 + 97*a + 2
103,	x^28 + x^27 + 85*a,	a^2 + 102*a + 5
107,	x^28 + x^27 + 2*a,	a^2 + 103*a + 2
109,	x^28 + x^27 + a + 44,	a^2 + 108*a + 6
113,	x^28 + x^27 + 26*a,	a^2 + 101*a + 3
127,	x^28 + x^27 + 123*a,	a^2 + 126*a + 3
131,	x^28 + x^27 + 53*a,	a^2 + 127*a + 2
137,	x^28 + x^27 + 83*a,	a^2 + 131*a + 3
139,	x^28 + x^27 + 36*a,	a^2 + 138*a + 2
149,	x^28 + x^27 + 11*a,	a^2 + 145*a + 2
151,	x^28 + x^27 + 35*a,	a^2 + 149*a + 6
157,	x^28 + x^27 + 43*a,	a^2 + 152*a + 5
163,	x^28 + x^27 + 73*a,	a^2 + 159*a + 2
167,	x^28 + x^27 + 22*a,	a^2 + 166*a + 5
173,	x^28 + x^27 + 10*a,	a^2 + 169*a + 2
179,	x^28 + x^27 + 34*a,	a^2 + 172*a + 2
181,	x^28 + x^27 + a,	a^2 + 177*a + 2
191,	x^28 + x^27 + 127*a,	a^2 + 190*a + 19
193,	x^28 + x^27 + 32*a,	a^2 + 192*a + 5
197,	x^28 + x^27 + 5*a,	a^2 + 192*a + 2
199,	x^28 + x^27 + 17*a,	a^2 + 193*a + 3
211,	x^28 + x^27 + 13*a,	a^2 + 207*a + 2
223,	x^28 + x^27 + 53*a,	a^2 + 221*a + 3
227,	x^28 + x^27 + 17*a,	a^2 + 220*a + 2
229,	x^28 + x^27 + 47*a,	a^2 + 228*a + 6
233,	x^28 + x^27 + 27*a,	a^2 + 232*a + 3
239,	x^28 + x^27 + 38*a,	a^2 + 237*a + 7
